,Name,Team,Comp,avg_goal,w_percentage,l_percentage,Min_sd,Gls_sd,Ast_sd,PK_sd,PKatt_sd,Sh_sd,SoT_sd,CrdY_sd,CrdR_sd,Fls_sd,Fld_sd,Off_sd,Crs_sd,TklW_sd,Int_sd,OG_sd,Min_n,Gls_n,Ast_n,PK_n,PKatt_n,CrdY_n,CrdR_n,Sh_n,SoT_n,Fls_n,Fld_n,Off_n,Crs_n,Int_n,TklW_n,OG_n,competition,position,min_norm,group_min
1,Danovis Banguero,Nacional,1,0.316,0.368,0.211,18.455,0.223,0.223,0.223,0.223,0.678,0.365,0.408,0.0,1.3,0.666,0.488,1.25,1.216,1.182,0.0,1.37,2.25,1.8,9.0,9.0,2.0,3.0,1.125,0.0,1.62,1.62,3.857,3.203,2.189,1.604,0.0,9,D,0.963,1
2,Jonathan Marulanda,Nacional,1,0.733,0.533,0.2,13.437,0.0,0.249,0.0,0.0,0.573,0.249,0.442,0.0,1.011,0.712,0.0,0.966,0.884,1.327,0.0,1.571,0.0,1.8,0.0,0.0,1.0,1.0,1.5,0.0,1.71,1.62,0.0,2.288,1.338,1.604,0.0,9,D,0.557,2
3,Felipe Aguilar,Nacional,0,0.444,0.5,0.278,37.06,0.0,0.0,0.0,0.0,0.373,0.229,0.229,0.0,0.745,0.471,0.229,0.0,0.448,1.202,0.229,0.379,0.0,0.0,1e-05,1e-05,0.326,0.435,0.37,0.0,0.25,0.275,0.0,0.0,0.213,0.693,5.0,10,D,0.281,3
4,Yeison Guzmán,Nacional,1,-0.342,0.211,0.368,14.359,0.483,0.45,0.223,0.223,1.697,0.916,0.307,0.16,0.699,1.569,0.338,2.35,0.567,0.75,0.0,1.927,3.947,6.0,3.75,3.75,3.642,4.426,1.184,5.0,0.824,3.312,0.556,7.3,0.952,1.353,0.0,15,AM,0.252,3
5,Jefferson Duque,Nacional,1,0.364,0.485,0.303,28.168,0.477,0.287,0.171,0.171,1.743,0.919,0.458,0.171,1.403,1.094,0.386,0.591,0.494,0.386,0.0,1.583,2.5,2.571,0.0,0.0,1.683,1.962,1.0,0.0,1.159,0.892,0.517,0.323,0.857,1.5,1e-05,6,A,0.813,1
6,Fabián González Lasso,Nacional,1,0.182,0.455,0.303,30.073,0.458,0.239,0.0,0.0,1.627,0.919,0.326,0.0,1.273,1.258,0.627,0.326,0.445,0.171,0.0,1.742,0.706,2.667,1e-05,1e-05,1.398,1.306,2.667,1e-05,2.304,1.582,1.0,0.8,2.333,1.333,1e-05,4,A,0.65,3
7,Deiner Quiñónez,Nacional,1,0.04,0.36,0.36,26.84,0.196,0.367,0.0,0.0,1.412,0.625,0.367,0.0,0.742,1.442,0.0,0.665,0.625,0.325,0.0,1.148,0.95,2.036,0.0,0.0,1.618,1.613,0.983,0.0,0.497,1.536,0.0,0.429,0.788,0.308,0.0,19,M,0.616,3
8,Estefano Arango,Nacional,1,-0.062,0.25,0.281,27.656,0.363,0.174,0.0,0.0,1.346,0.704,0.331,0.0,0.909,1.709,0.441,1.581,0.464,0.775,0.0,1.317,2.679,1.364,0.0,0.0,1.77,2.667,0.811,0.0,0.782,1.394,1.293,1.889,0.421,1.115,1e-05,15,AM,0.502,3
9,Geisson Perea,Nacional,1,0.3,0.4,0.25,4.628,0.327,0.154,0.0,0.0,0.736,0.396,0.496,0.0,1.137,0.729,0.327,0.154,0.862,1.431,0.0,2.214,5.455,1.5,0.0,0.0,1.324,1.565,3.913,1e-05,2.226,2.26,5.143,0.052,1.706,2.206,1e-05,12,D,0.466,4
10,Gustavo Torres,Nacional,1,-0.7,0.15,0.45,29.218,0.0,0.3,0.0,0.0,1.249,0.458,0.357,0.0,1.03,0.805,0.622,2.242,0.927,0.433,0.0,0.32,0.647,1.158,0.0,0.0,0.57,0.863,0.0,0.0,0.348,0.092,0.31,0.167,0.0,0.126,1e-05,22,AM,0.268,4
11,Brayan Rovira,Nacional,1,0.077,0.462,0.359,11.037,0.334,0.303,0.0,0.0,1.171,0.53,0.384,0.0,1.148,0.961,0.158,0.552,0.911,1.535,0.0,2.552,2.167,2.261,0.0,0.0,2.03,1.521,1.82,0.0,2.717,1.815,0.0,0.369,3.079,4.817,0.0,13,M,0.79,1
12,Hernán Barcos,Nacional,0,0.35,0.525,0.275,24.408,0.51,0.156,0.263,0.3,1.005,0.648,0.357,0.0,1.072,0.487,0.494,0.441,0.678,0.436,0.0,0.973,0.429,1.2,0.0,1.2,0.773,1.019,0.5,1e-05,0.779,0.403,0.45,0.419,1.167,0.828,1e-05,6,A,0.75,1
13,Sebastián Gómez,Nacional,1,-0.605,0.079,0.579,5.323,0.45,0.16,0.223,0.223,1.076,0.575,0.388,0.0,1.413,1.107,0.16,0.408,1.063,1.249,0.0,2.441,5.056,0.867,8.667,8.667,1.893,2.012,1.784,0.0,1.898,1.74,0.542,0.45,2.965,3.836,1e-05,13,M,0.601,1
14,Jarlan Barrera,Nacional,1,0.306,0.408,0.306,26.331,0.414,0.444,0.0,0.194,1.779,1.071,0.411,0.139,1.125,1.39,0.456,2.719,0.637,0.668,0.0,1.691,2.233,2.581,0.0,0.0,3.394,3.474,2.56,0.0,1.418,2.298,2.75,4.478,1.478,1.698,1e-05,16,AM,0.47,2
15,Daniel Muñoz,Nacional,1,-0.278,0.315,0.37,9.455,0.26,0.345,0.0,0.0,0.863,0.521,0.436,0.134,1.461,1.329,0.345,1.218,1.351,1.962,0.0,1.839,4.714,2.75,1e-05,1e-05,1.701,2.129,2.146,0.0,2.391,2.734,3.0,2.573,3.083,2.179,0.0,11,D,0.436,2
