,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Teófilo Gutiérrez,AD Cali,1,0.5,0.525,0.225,1,22.617,0.414,0.297,0.0,0.0,1.0,0.83,0.376,0.215,1.25,1.036,1.042,0.963,0.904,0.297,0.0,0.0,0.0,1.227,1.167,0.0,0.0,0.0,0.624,0.824,2.258,0.0,1.352,0.953,5.793,0.794,0.667,0.0,0.0,0,0,14,"['MF', 'FW']",0.351,2
1,Harold Preciado,AD Cali,0,0.1,0.4,0.4,0,14.412,0.433,0.3,0.218,0.218,1.314,0.6,0.218,0.0,1.166,1.396,0.477,1.117,0.669,0.433,0.0,0.0,0.0,1.456,0.75,2.0,0.8,0.8,1.636,1.744,0.0,0.0,1.351,1.299,0.0,1.116,1.4,2.0,1e-05,0,0,4,['FW'],0.286,3
2,Gastón Rodríguez Maeso,AD Cali,0,-0.136,0.455,0.409,0,27.259,0.516,0.0,0.0,0.208,2.269,0.819,0.386,0.0,0.862,1.095,0.582,1.024,0.783,0.643,0.0,0.0,0.0,1.431,2.241,0.0,0.0,3.25,1.94,1.893,1.857,1e-05,1.01,1.156,3.095,0.532,1.474,1.169,1e-05,0,0,13,['FW'],0.248,3
3,Yeison Tolosa,AD Cali,1,0.5,0.5,0.0,1,13.952,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.471,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.625,0.0,0.0,0.198,0.217,0.417,0.0,0.432,0.707,0.441,0.362,0.179,0.469,1e-05,0,0,5,['FW'],0.239,3
4,Jhon Vasquez,AD Cali,1,-0.075,0.3,0.325,1,18.215,0.608,0.156,0.399,0.421,1.939,1.03,0.458,0.218,1.216,2.174,0.773,2.799,0.4,0.3,0.0,0.0,0.0,1.865,5.357,1.364,11.25,9.0,3.792,3.167,1.824,5.0,1.6,3.364,4.138,3.523,0.561,0.405,1e-05,0,0,15,"['MF', 'FW']",0.752,1
5,Juan Daniel Roa,AD Cali,1,-0.071,0.25,0.357,1,30.511,0.0,0.258,0.0,0.0,0.824,0.258,0.488,0.186,1.145,1.18,0.0,1.839,1.348,1.771,0.0,0.0,0.0,1.377,0.0,2.24,0.0,0.0,0.966,0.491,2.333,0.0,1.826,1.92,0.0,1.674,2.756,1.6,0.0,0,0,28,"['MF', 'DF']",0.439,3
6,Jhojan Valencia,AD Cali,1,-0.447,0.289,0.447,1,23.216,0.223,0.0,0.0,0.0,1.104,0.518,0.499,0.0,1.517,0.887,0.0,0.223,1.524,1.39,0.16,0.0,0.0,1.729,1.3,0.0,0.0,0.0,1.682,1.566,2.849,0.0,3.03,1.113,0.0,0.056,2.74,2.816,1e-05,0,0,13,['MF'],0.375,3
7,Carlos Lizarazo,AD Cali,1,0.182,0.364,0.545,1,30.121,0.287,0.0,0.287,0.287,2.275,0.782,0.0,0.0,1.164,0.656,0.862,1.164,0.656,0.481,0.0,0.0,0.0,0.338,0.467,0.0,2.0,1.556,0.828,0.718,0.0,0.0,0.386,0.225,0.824,0.358,0.318,0.316,1e-05,0,0,14,['MF'],0.315,4
8,Jhon Mosquera,AD Cali,1,0.24,0.48,0.36,1,30.267,0.192,0.319,0.0,0.0,1.141,0.617,0.192,0.0,1.317,1.55,0.361,2.746,0.901,1.063,0.0,0.0,0.0,1.381,0.0,3.107,0.0,0.0,1.758,2.297,0.0,0.0,1.415,2.379,3.625,4.392,1.136,1.149,1e-05,0,0,29,"['MF', 'DF']",0.697,1
9,Ezequiel Palomeque,AD Cali,1,0.6,0.533,0.333,1,26.185,0.0,0.249,0.0,0.0,1.143,0.4,0.596,0.249,1.36,0.573,0.249,0.249,1.275,2.059,0.0,0.0,0.0,0.958,0.0,1.036,0.0,0.0,0.639,0.574,1.543,9.667,1.111,0.257,0.906,0.056,1.136,1.696,1e-05,0,0,29,"['DF', 'MF']",0.629,1
10,Juan Camilo Angulo,AD Cali,1,-0.123,0.351,0.368,1,6.66,0.281,0.305,0.0,0.0,0.912,0.578,0.492,0.13,1.174,1.133,0.357,2.771,0.984,1.432,0.13,0.0,0.0,1.573,1.333,2.667,1e-05,1e-05,3.01,4.0,1.674,2.0,1.818,2.837,2.133,5.424,1.569,1.72,8.0,0,0,8,['DF'],0.515,2
11,Macnelly Torres,AD Cali,1,0.53,0.53,0.288,1,20.065,0.32,0.352,0.0,0.0,1.178,0.602,0.337,0.0,1.072,1.173,0.168,2.878,0.826,0.878,0.0,0.0,0.0,1.81,0.836,2.156,0.0,0.0,1.372,0.994,1.89,0.0,1.181,1.569,0.333,4.212,1.61,1.523,1e-05,0,0,23,"['MF', 'FW']",0.25,3
