,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Jáider Riquett,Alianza,1,-0.5,0.0,0.5,1,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.349,0.0,0.0,1e-05,1e-05,0.761,0.875,0.5,0.0,0.309,0.0,0.0,0.0,0.108,0.636,1e-05,0,0,7,['DF'],0.53,1
1,Pablo Bueno,Alianza,1,-0.444,0.185,0.481,1,26.648,0.388,0.189,0.0,0.189,1.365,0.823,0.438,0.0,1.257,1.191,0.416,0.262,0.569,0.262,0.0,0.0,0.0,1.232,1.8,0.857,0.0,3.0,1.778,2.195,1.8,1e-05,1.955,1.62,0.828,0.052,0.894,0.4,0.0,0,0,6,['FW'],0.337,2
2,Hanyer Mosquera,Alianza,1,-1.0,0.143,0.571,1,22.789,0.258,0.258,0.0,0.0,0.41,0.41,0.61,0.35,0.845,0.589,0.0,0.258,0.5,1.88,0.0,0.0,0.0,1.174,4.5,4.5,1e-05,1e-05,0.519,1.5,1.286,4.5,0.906,1.406,0.0,0.083,0.677,1.204,1e-05,0,0,9,['DF'],0.156,4
3,Mateo Palacios,Alianza,1,-1.115,0.154,0.692,1,29.465,0.361,0.0,0.0,0.0,1.621,0.625,0.504,0.192,1.063,0.8,0.266,2.257,0.455,0.97,0.0,0.0,0.0,1.138,4.0,0.0,1e-05,1e-05,2.032,2.045,1.184,3.0,0.785,0.938,0.529,2.546,0.297,1.041,1e-05,0,0,9,"['MF', 'FW']",0.161,4
4,César Hinestroza,Alianza,1,-0.038,0.308,0.346,1,21.388,0.192,0.266,0.0,0.0,0.689,0.455,0.421,0.192,1.525,0.98,0.192,2.09,0.917,0.98,0.0,0.0,0.0,1.602,3.0,4.8,1e-05,1e-05,1.148,1.778,2.057,3.0,2.437,2.83,1.714,3.77,1.942,1.435,1e-05,0,0,12,['DF'],1.0,1
5,Hayen Palacios,Alianza,1,0.25,0.5,0.5,1,20.364,0.433,0.0,0.0,0.0,0.5,0.433,0.0,0.0,0.829,1.299,0.0,0.433,0.0,0.0,0.0,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.251,0.286,0.295,0.0,0.424,0.412,0.0,0.276,0.359,0.213,1e-05,0,0,18,['MF'],0.46,2
6,Julián Zea,Alianza,1,-0.5,0.0,0.5,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.359,1.0,0.812,0.0,0.0,0.591,0.707,0.224,0.0,0.545,0.393,1.368,0.583,0.399,0.057,1e-05,0,0,13,['MF'],0.406,3
7,Henry Obando,Alianza,1,0.0,0.412,0.353,1,23.131,0.0,0.0,0.0,0.0,0.424,0.235,0.424,0.0,1.516,1.162,0.381,1.49,0.696,1.643,0.0,0.0,0.0,0.719,0.0,0.0,1e-05,1e-05,0.261,0.312,0.732,0.0,0.877,1.071,2.727,1.436,0.368,0.867,0.0,0,0,10,['DF'],0.331,3
8,Romeesh Ivey,Alianza,1,0.308,0.385,0.231,1,29.823,0.266,0.0,0.0,0.0,1.35,1.136,0.0,0.0,0.634,1.25,0.266,1.73,0.606,1.066,0.0,0.0,0.0,0.75,0.727,0.0,0.0,0.0,0.893,1.554,0.0,0.0,0.261,0.706,0.343,0.772,0.324,1.029,1e-05,0,0,24,"['MF', 'FW']",0.278,3
9,José Erick Correa,Alianza,1,-0.143,0.286,0.429,1,36.86,0.258,0.0,0.0,0.0,1.552,0.41,0.0,0.0,0.958,0.589,0.904,0.41,0.452,0.0,0.0,0.0,0.0,0.32,0.357,0.0,0.0,0.0,0.471,0.363,0.0,0.0,0.419,0.185,1.552,0.089,0.276,0.0,1e-05,0,0,15,"['FW', 'MF']",0.339,3
10,Hárrison Henao,Alianza,1,0.28,0.44,0.32,1,33.114,0.0,0.0,0.0,0.0,0.743,0.266,0.266,0.0,0.948,0.796,0.0,0.423,0.689,1.372,0.0,0.0,0.0,0.733,0.0,0.0,0.0,0.0,0.379,0.479,0.23,0.0,0.343,0.365,0.0,0.124,0.238,1.235,1e-05,0,0,17,['MF'],0.385,3
11,Harold Rivera,Alianza,1,-0.44,0.24,0.44,1,31.35,0.0,0.0,0.0,0.0,1.131,0.367,0.48,0.0,1.261,1.451,0.271,2.843,0.632,1.394,0.0,0.0,0.0,0.608,0.0,0.0,0.0,0.0,1.228,0.785,0.913,0.0,1.108,0.983,0.0,0.924,0.649,0.95,1e-05,0,0,28,"['MF', 'DF']",0.227,3
