,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Yonatan Murillo,Boyacá Patriot,1,-0.182,0.091,0.273,1,5.175,0.0,0.287,0.0,0.0,0.481,0.0,0.287,0.0,1.128,0.953,0.0,0.0,1.135,1.076,0.0,0.0,0.0,0.852,0.0,1.75,1e-05,1e-05,0.549,0.0,0.438,1e-05,0.748,1.222,0.0,0.0,1.101,1.118,1e-05,0,0,7,['DF'],0.938,1
1,Jorge Posada,Boyacá Patriot,1,-0.3,0.3,0.5,1,28.609,0.3,0.0,0.0,0.0,0.663,0.4,0.0,0.0,0.8,0.3,0.3,1.327,0.49,0.663,0.0,0.0,0.0,0.286,0.9,0.0,0.0,0.0,0.283,0.434,0.0,0.0,0.408,0.054,0.486,0.584,0.377,0.309,1e-05,0,0,18,"['DF', 'MF']",0.904,1
2,Edgardo Rito,Boyacá Patriot,0,-0.5,0.333,0.667,0,29.217,0.0,0.0,0.0,0.0,0.373,0.276,0.433,0.0,0.943,1.0,0.276,1.027,1.143,1.0,0.0,0.0,0.0,1.031,0.0,0.0,1e-05,1e-05,0.471,0.8,1.412,1e-05,0.736,1.315,4.0,1.707,1.053,0.696,0.0,0,0,8,['DF'],0.737,2
3,Kevin Aladesanmi,Boyacá Patriot,1,-1.0,0.143,0.571,1,20.9,0.0,0.0,0.0,0.0,1.355,0.35,0.0,0.0,0.728,0.0,0.452,0.452,0.452,0.35,0.35,0.0,0.0,0.451,0.0,0.0,0.0,0.0,0.944,0.675,0.8,0.0,0.45,0.785,0.333,0.922,0.336,0.525,1e-05,0,0,14,"['MF', 'FW']",0.559,2
4,Michael Ordoñez,Boyacá Patriot,1,-0.385,0.154,0.538,1,19.148,0.0,0.0,0.0,0.0,1.099,0.836,0.361,0.0,0.555,0.625,0.266,2.371,1.167,0.863,0.0,0.0,0.0,1.001,0.0,0.0,0.0,0.0,0.865,1.391,0.727,1e-05,0.843,0.347,0.387,3.051,1.417,1.138,1e-05,0,0,12,['MF'],0.407,3
5,Darwin López,Boyacá Patriot,1,-0.4,0.067,0.333,1,28.505,0.249,0.0,0.0,0.0,1.454,0.471,0.249,0.0,0.884,0.884,0.34,1.454,0.442,0.249,0.0,0.0,0.0,0.679,0.684,0.0,0.0,0.0,1.3,0.89,0.283,1e-05,0.507,0.801,0.703,1.107,0.477,0.135,0.0,0,0,13,"['MF', 'FW']",0.257,3
6,Hector Solano,Boyacá Patriot,1,-0.75,0.25,0.625,1,27.731,0.0,0.0,0.0,0.0,0.707,0.331,0.433,0.0,1.0,0.433,0.0,0.433,0.484,0.992,0.0,0.0,0.0,0.521,0.0,0.0,0.0,0.0,0.381,0.312,0.0,0.0,0.197,0.288,0.0,0.362,0.633,0.156,1e-05,0,0,10,['MF'],0.204,4
7,Almir Soto,Boyacá Patriot,1,-0.083,0.25,0.333,1,30.092,0.276,0.0,0.0,0.0,0.64,0.373,0.433,0.0,1.572,0.471,0.0,0.433,1.599,0.862,0.0,0.0,0.0,0.621,0.727,0.0,1e-05,1e-05,0.567,0.395,0.229,0.0,0.733,0.266,0.0,0.099,0.981,0.861,1e-05,0,0,16,['MF'],0.39,2
8,Óscar Iván Balanta,Boyacá Patriot,1,-0.682,0.182,0.545,1,16.554,0.0,0.0,0.0,0.0,0.445,0.208,0.343,0.0,0.651,0.905,0.0,0.343,0.996,0.849,0.0,0.0,0.0,1.789,0.0,0.0,0.0,0.0,0.565,0.354,0.829,0.0,0.51,1.508,0.0,0.15,1.726,1.472,1e-05,0,0,29,"['MF', 'DF']",0.381,3
9,Daniel Briceño,Boyacá Patriot,1,-1.5,0.0,1.0,1,20.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.57,0.0,3.5,1e-05,1e-05,0.56,0.875,0.512,0.0,0.655,0.368,1.4,2.13,0.726,0.524,7.0,0,0,7,['DF'],0.211,3
