,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Álvaro Meléndez,CA Bucaramanga,1,-1.833,0.0,0.833,1,23.678,0.0,0.0,0.0,0.0,0.745,0.745,0.373,0.0,0.577,0.687,0.0,1.572,0.373,0.745,0.0,0.0,0.0,0.375,0.933,0.0,1e-05,1e-05,0.645,1.302,0.0,0.0,0.368,0.774,1.077,1.704,0.237,0.125,1e-05,0,0,14,['MF'],0.781,1
1,Andrés Felipe Correa,CA Bucaramanga,1,0.15,0.35,0.15,1,6.389,0.294,0.0,0.0,0.0,1.362,0.563,0.393,0.0,0.868,0.785,0.426,0.467,0.777,1.327,0.0,0.0,0.0,1.544,3.5,0.0,1e-05,1e-05,2.492,2.211,0.966,0.0,0.855,1.377,7.0,0.148,1.379,1.62,1e-05,0,0,7,['DF'],0.729,1
2,John Édison Hernández,CA Bucaramanga,1,-0.647,0.235,0.588,1,21.712,0.235,0.235,0.0,0.0,0.998,0.771,0.381,0.0,1.326,0.941,0.513,1.349,1.188,0.681,0.0,0.0,0.0,1.623,0.933,1.4,1e-05,1e-05,1.474,2.279,1.448,0.0,1.695,0.774,1.615,1.333,2.017,1.375,1e-05,0,0,14,['MF'],0.523,2
3,Cristian Blanco,CA Bucaramanga,1,-0.231,0.308,0.462,1,31.02,0.0,0.0,0.0,0.0,0.746,0.266,0.0,0.0,0.843,0.499,0.266,1.576,1.026,0.961,0.266,0.0,0.0,0.611,0.0,0.0,0.0,0.0,0.373,0.244,0.0,0.0,0.175,0.382,0.826,0.754,0.743,0.905,4.75,0,0,19,"['DF', 'MF']",0.471,2
4,Carlos Henao,CA Bucaramanga,1,-0.1,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.64,0.4,0.3,0.0,0.5,0.671,0.0,0.0,0.8,1.497,0.0,0.0,0.0,0.665,0.0,0.0,1e-05,1e-05,0.645,0.737,0.318,0.0,0.28,0.254,0.0,0.0,0.322,0.778,0.0,0,0,7,['DF'],0.441,3
5,Andrés Sarmiento,CA Bucaramanga,1,-0.583,0.167,0.5,1,24.415,0.373,0.373,0.0,0.0,1.863,0.624,0.0,0.0,0.759,1.518,0.759,0.595,1.187,0.373,0.0,0.0,0.0,0.714,1.7,3.091,0.0,0.0,2.278,1.172,0.0,0.0,0.556,0.922,2.237,0.773,0.952,0.293,1e-05,0,0,17,"['MF', 'FW']",0.373,4
6,Jair Palacios,CA Bucaramanga,1,0.294,0.471,0.235,1,4.0,0.0,0.0,0.0,0.0,0.471,0.0,0.6,0.235,1.926,1.248,0.0,1.626,1.637,0.963,0.0,0.0,0.0,0.973,0.0,0.0,0.0,0.0,0.274,0.0,1.186,2.5,1.203,2.214,0.0,2.115,1.946,0.57,1e-05,0,0,10,['DF'],0.787,1
7,Cristhian Subero,CA Bucaramanga,1,-0.538,0.231,0.513,1,8.385,0.158,0.379,0.0,0.0,0.613,0.361,0.487,0.158,1.143,0.975,0.361,2.331,0.812,1.533,0.0,0.0,0.0,2.191,2.75,6.286,1e-05,1e-05,3.048,3.056,2.979,2.2,2.26,2.231,2.2,4.216,1.913,2.208,1e-05,0,0,11,['DF'],0.605,2
8,Henry Rojas,CA Bucaramanga,1,0.344,0.375,0.281,1,27.774,0.239,0.287,0.0,0.171,1.013,0.555,0.171,0.0,0.783,1.055,0.239,2.342,1.243,1.273,0.0,0.0,0.0,1.645,0.806,2.417,0.0,0.0,1.963,2.26,0.236,0.0,0.604,1.257,0.492,2.942,1.988,2.175,1e-05,0,0,29,"['DF', 'MF']",0.44,2
9,Nicolás Roa,CA Bucaramanga,1,-0.095,0.238,0.333,1,20.879,0.213,0.213,0.0,0.0,0.642,0.452,0.486,0.0,1.285,1.151,0.0,1.208,1.578,1.327,0.0,0.0,0.0,0.968,0.778,0.0,0.0,0.0,0.575,0.667,0.966,0.0,1.046,0.715,0.0,0.204,1.902,2.019,1e-05,0,0,21,['MF'],0.425,2
10,Bryan Castrillón,CA Bucaramanga,1,0.333,0.381,0.238,1,23.83,0.0,0.0,0.0,0.0,0.898,0.587,0.0,0.0,0.583,1.385,0.499,1.498,0.906,0.499,0.0,0.0,0.0,0.949,0.0,0.0,0.0,0.0,0.928,1.163,0.0,0.0,0.466,1.558,1.194,1.887,0.991,0.419,0.0,0,0,20,"['MF', 'FW']",0.32,3
11,Martín Payares,CA Bucaramanga,1,-0.148,0.185,0.37,1,0.0,0.189,0.189,0.0,0.0,0.733,0.314,0.355,0.0,1.198,0.875,0.189,0.0,0.629,1.066,0.0,0.0,0.0,1.362,3.0,2.4,1e-05,1e-05,1.252,0.444,1.029,0.0,1.462,1.245,1.714,0.0,0.832,1.378,1e-05,0,0,12,['DF'],0.403,3
