,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Juan Guillermo Arboleda,Independiente,1,0.15,0.4,0.35,1,19.476,0.0,0.0,0.0,0.0,0.357,0.0,0.433,0.0,1.108,0.477,0.3,2.681,1.023,0.973,0.0,0.0,0.0,1.154,0.0,0.0,1e-05,1e-05,0.533,0.0,1.538,0.0,1.794,0.571,2.667,3.623,1.676,1.248,0.0,0,0,8,['DF'],0.94,1
1,Germán Andrés Gutiérrez,Independiente,1,-0.429,0.286,0.429,1,6.249,0.208,0.0,0.0,0.0,0.962,0.287,0.419,0.0,1.11,0.984,0.208,0.95,0.853,1.716,0.0,0.0,0.0,1.491,7.0,0.0,1e-05,1e-05,1.719,1.167,1.061,0.0,1.38,2.079,0.7,1.838,1.324,1.724,1e-05,0,0,7,['DF'],0.866,1
2,Agustín Vuletich,Independiente,1,-0.824,0.176,0.588,1,28.253,0.424,0.322,0.0,0.235,1.707,0.904,0.424,0.0,2.438,1.072,0.696,0.546,0.588,0.588,0.0,0.0,0.0,1.295,1.333,1.143,0.0,1.333,1.349,1.467,1.0,1e-05,1.617,1.074,2.909,0.308,0.857,2.0,1e-05,0,0,4,['FW'],0.592,1
3,Víctor Moreno,Independiente,1,-0.375,0.312,0.562,1,24.519,0.242,0.0,0.0,0.0,0.781,0.39,0.484,0.242,1.102,0.559,0.242,0.242,0.857,1.275,0.0,0.0,0.0,1.241,0.889,0.0,0.0,0.0,1.039,0.889,1.655,4.0,1.113,1.116,0.667,0.042,1.217,1.15,0.0,0,0,8,['DF'],0.472,2
4,Jaen Pineda,Independiente,1,-0.533,0.2,0.533,1,14.731,0.0,0.249,0.0,0.0,0.854,0.4,0.442,0.249,1.123,0.884,0.0,1.482,0.943,1.5,0.0,0.0,0.0,1.559,0.0,1.7,0.0,0.0,2.045,1.214,1.36,4.25,2.46,1.201,0.0,1.367,2.378,3.073,1e-05,0,0,17,"['MF', 'DF']",0.524,2
5,Kevin Londoño,Independiente,1,-0.357,0.214,0.429,1,21.276,0.515,0.0,0.0,0.0,0.972,0.589,0.35,0.0,1.134,0.904,0.35,2.685,0.7,1.134,0.0,0.0,0.0,0.548,1.692,0.0,1e-05,1e-05,0.733,0.702,0.314,0.0,0.393,0.14,1.1,1.083,0.561,0.227,1e-05,0,0,11,['MF'],0.322,4
6,James Sánchez,Independiente,1,0.441,0.5,0.294,1,31.286,0.167,0.232,0.0,0.0,1.108,0.464,0.42,0.0,0.833,0.796,0.167,1.241,0.897,0.8,0.167,0.0,0.0,1.186,0.923,1.714,1e-05,1e-05,1.026,0.923,0.8,0.0,0.963,0.841,0.0,0.85,1.576,1.012,6.0,0,0,12,['MF'],0.088,4
7,Javier Reina,Independiente,1,0.091,0.333,0.364,1,29.036,0.359,0.477,0.287,0.287,1.275,0.46,0.239,0.0,1.167,1.359,0.359,2.373,0.657,0.74,0.0,0.0,0.0,1.477,2.333,4.455,6.0,4.667,1.775,1.197,0.5,0.0,1.234,1.351,1.373,2.757,0.955,1.424,1e-05,0,0,14,['MF'],0.898,1
8,Yulián Gómez,Independiente,1,-0.676,0.189,0.514,1,14.136,0.162,0.162,0.0,0.0,0.752,0.273,0.488,0.162,1.061,0.904,0.638,2.178,1.138,1.086,0.0,0.0,0.0,1.908,0.957,1.048,0.0,0.0,0.948,0.688,1.375,3.143,1.28,1.938,4.475,3.644,1.939,1.578,1e-05,0,0,22,"['DF', 'MF']",0.499,2
9,Bayron Garces,Independiente,1,-0.483,0.172,0.379,1,14.521,0.345,0.378,0.0,0.0,1.019,0.773,0.253,0.0,1.03,1.103,0.558,2.899,0.81,0.447,0.0,0.0,0.0,2.088,3.238,6.538,1e-05,0.0,2.73,3.667,0.486,0.0,1.065,1.427,8.16,5.067,1.147,0.68,1e-05,0,0,17,['MF'],0.46,2
