,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Pablo José Rojas,Jaguares,1,0.1,0.35,0.2,1,22.139,0.213,0.213,0.0,0.0,1.218,0.563,0.35,0.0,1.18,1.137,0.294,1.759,0.642,0.728,0.0,0.0,0.0,1.418,0.542,0.929,0.0,0.0,1.512,1.058,0.975,0.0,1.641,1.981,0.703,2.122,1.67,1.375,1e-05,0,0,13,"['MF', 'FW']",0.928,1
1,Nelino Tapia,Jaguares,1,-0.441,0.265,0.559,1,25.12,0.284,0.235,0.0,0.0,1.187,0.559,0.322,0.169,0.807,1.329,0.403,4.434,0.776,1.0,0.0,0.0,0.0,1.303,1.0,4.5,1e-05,1e-05,1.103,0.614,0.711,3.0,0.738,1.387,0.265,4.127,0.692,1.116,1e-05,0,0,9,"['FW', 'MF']",0.504,2
2,Andrés Rentería,Jaguares,1,0.348,0.348,0.217,1,29.193,0.507,0.282,0.0,0.0,1.463,0.82,0.282,0.0,0.748,1.034,0.706,0.282,0.606,0.606,0.0,0.0,0.0,1.097,2.08,1.0,0.0,0.0,2.177,2.253,0.433,1e-05,0.774,0.653,2.543,0.149,0.516,0.722,1e-05,0,0,13,"['FW', 'MF']",0.369,2
3,Jefferson Montañez,Jaguares,1,-1.167,0.167,0.833,1,28.441,0.471,0.0,0.0,0.0,0.373,0.5,0.745,0.373,0.745,0.5,0.0,0.745,1.067,0.943,0.0,0.0,0.0,0.521,0.0,0.0,0.0,0.0,0.381,0.312,0.0,0.0,0.197,0.288,0.0,0.362,0.633,0.156,1e-05,0,0,10,['MF'],0.187,4
4,José Orlando Pérez,Jaguares,1,-0.125,0.25,0.5,1,27.923,0.331,0.0,0.0,0.0,0.331,0.331,0.484,0.0,0.866,0.707,0.331,0.696,1.0,0.992,0.0,0.0,0.0,0.563,4.5,0.0,1e-05,1e-05,0.173,0.5,0.771,0.0,0.777,0.562,4.5,0.25,0.387,0.287,1e-05,0,0,9,['DF'],0.173,4
5,Israel Alba,Jaguares,1,-0.257,0.314,0.371,1,11.886,0.232,0.167,0.0,0.0,1.051,0.603,0.498,0.167,1.244,0.63,0.232,2.059,1.197,1.295,0.0,0.0,0.0,2.385,6.0,2.4,1e-05,1e-05,5.322,8.0,3.086,3.0,2.619,1.358,3.429,5.277,2.983,2.526,1e-05,0,0,12,['DF'],1.0,1
6,Wilder Guisao,Jaguares,1,-0.273,0.273,0.364,1,27.697,0.0,0.0,0.0,0.0,0.617,0.386,0.386,0.0,1.052,1.192,0.287,1.029,0.643,0.481,0.0,0.0,0.0,0.381,0.0,0.0,1e-05,0.0,0.421,0.387,0.381,0.0,0.467,0.32,0.387,0.443,0.223,0.211,1e-05,0,0,12,['MF'],0.703,1
7,Leonardo Saldaña,Jaguares,1,-0.333,0.167,0.5,1,28.184,0.0,0.373,0.0,0.0,1.067,0.0,0.5,0.0,0.687,1.462,0.0,1.675,0.471,1.067,0.0,0.0,0.0,0.2,0.0,1.75,1e-05,1e-05,0.356,0.0,0.359,0.0,0.249,0.427,0.538,1.058,0.187,0.08,1e-05,0,0,7,['DF'],0.641,2
8,Sergio Esteban Romero,Jaguares,1,0.0,0.312,0.312,1,26.223,0.413,0.291,0.174,0.174,1.556,0.824,0.415,0.174,1.138,0.75,0.922,0.433,0.559,0.363,0.0,0.0,0.0,2.171,2.692,1.875,5.0,5.0,2.453,2.436,2.222,5.0,1.344,1.558,1.447,1.026,2.857,1.562,1e-05,0,0,5,['FW'],0.478,3
9,Roger Lemus,Jaguares,1,0.067,0.267,0.4,1,25.889,0.249,0.0,0.0,0.0,0.884,0.442,0.249,0.0,0.854,0.442,0.0,0.884,0.596,0.772,0.0,0.0,0.0,0.332,0.5,0.0,0.0,0.0,0.615,0.56,0.246,0.0,0.538,0.159,0.0,0.28,0.504,0.271,1e-05,0,0,14,['MF'],0.167,4
10,Jesús Murillo,Jaguares,1,-1.5,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.57,0.0,3.5,1e-05,1e-05,0.56,0.875,0.512,0.0,0.655,0.368,1.4,2.13,0.726,0.524,7.0,0,0,7,['DF'],0.261,3
11,Stiven Rentería,Jaguares,1,-1.5,0.0,0.75,1,30.158,0.0,0.0,0.0,0.0,0.5,0.0,0.433,0.0,1.225,0.433,0.5,0.866,0.0,0.433,0.0,0.0,0.0,0.392,0.5,0.0,1.0,0.8,0.583,0.857,0.727,0.0,0.8,0.578,0.0,0.154,0.364,0.308,1e-05,0,0,4,['FW'],0.189,4
12,Juan Camilo Roa,Jaguares,1,0.8,0.6,0.2,1,21.189,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,1.497,0.49,0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.298,0.455,0.0,0.0,0.0,0.368,0.372,0.0,1e-05,0.328,0.719,0.357,0.239,0.312,0.084,1e-05,0,0,15,['MF'],0.934,1
13,Léiner Escalante,Jaguares,1,0.667,0.481,0.333,1,30.177,0.309,0.309,0.0,0.0,0.859,0.433,0.258,0.0,0.821,1.39,0.906,2.44,0.383,0.749,0.0,0.186,0.0,0.789,0.375,1.688,0.0,0.0,0.786,0.545,0.367,1e-05,0.612,1.008,2.712,1.831,0.243,0.75,1e-05,0,0,18,"['MF', 'FW']",0.106,4
14,Cleider Alzáte,Jaguares,1,0.279,0.442,0.279,1,30.902,0.369,0.321,0.0,0.0,1.096,0.542,0.29,0.0,0.687,1.023,0.151,1.814,0.757,0.428,0.0,0.0,0.0,1.201,2.586,2.308,0.0,0.0,1.279,1.562,0.545,0.0,0.541,1.282,0.395,1.437,0.593,0.423,1e-05,0,0,15,['MF'],0.308,2
15,Rafhael Lucas,Jaguares,0,0.0,0.333,0.333,0,27.044,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.235,0.0,0.0,0.0,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,4,['FW'],0.29,3
16,Olmes García,Jaguares,1,0.1,0.35,0.25,1,23.71,0.499,0.213,0.0,0.0,1.006,0.587,0.35,0.0,1.269,1.53,0.575,1.48,0.713,0.426,0.0,0.0,0.0,0.748,1.846,0.9,0.0,0.0,0.86,1.446,0.257,0.0,0.794,1.12,2.824,1.105,0.529,0.329,1e-05,0,0,18,"['MF', 'FW']",0.178,4
17,Danilson Córdoba,Jaguares,1,0.6,0.7,0.2,1,27.628,0.0,0.3,0.0,0.0,0.917,0.0,0.3,0.0,0.98,0.3,0.0,0.458,1.249,1.269,0.0,0.0,0.0,0.199,0.0,0.556,0.0,0.0,0.158,0.0,0.2,0.0,0.356,0.039,0.0,0.09,0.4,0.374,1e-05,0,0,15,['MF'],0.144,4
