,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Daniel Mantilla,La Equidad,1,-0.522,0.174,0.478,1,16.7,0.204,0.337,0.0,0.0,1.096,0.714,0.379,0.0,0.806,1.76,0.282,1.142,0.507,0.46,0.0,0.0,0.0,1.865,1.3,4.333,0.0,0.0,1.795,2.364,1.677,0.0,1.938,3.25,0.684,1.201,0.765,0.835,1e-05,0,0,13,"['MF', 'FW']",0.981,1
1,Diego Herazo,La Equidad,1,-0.458,0.25,0.417,1,23.007,0.49,0.196,0.367,0.367,1.699,0.88,0.367,0.0,1.209,0.977,1.129,0.546,0.271,0.325,0.0,0.0,0.0,1.671,3.077,0.625,5.0,5.0,2.262,1.63,1.667,0.0,1.728,1.212,3.824,0.58,0.357,0.469,1e-05,0,0,5,['FW'],0.0,4
2,Larry Angulo,La Equidad,1,0.0,0.343,0.457,1,17.616,0.493,0.393,0.0,0.0,1.362,0.826,0.585,0.229,1.35,1.032,0.276,0.546,1.104,1.43,0.0,0.0,0.0,1.264,0.762,0.0,0.0,0.0,1.158,1.315,4.114,8.0,2.182,0.612,0.0,0.108,1.495,2.233,0.0,0,0,16,['MF'],0.308,3
3,Ederson Moreno,La Equidad,1,0.033,0.333,0.233,1,27.996,0.249,0.0,0.0,0.0,1.193,0.458,0.373,0.0,1.345,0.912,0.18,0.823,0.892,0.716,0.0,0.0,0.0,0.853,1.429,0.0,0.0,0.0,0.844,1.111,1.154,0.0,1.592,1.181,0.556,0.338,1.2,1.0,1e-05,0,0,10,['MF'],0.272,2
4,Carlos Mario Arboleda,La Equidad,1,0.532,0.447,0.17,1,7.043,0.0,0.279,0.0,0.0,0.447,0.144,0.411,0.144,1.021,1.36,0.476,1.873,0.806,1.465,0.0,0.0,0.0,1.628,0.0,3.0,1e-05,1e-05,1.14,0.538,0.56,1e-05,1.388,2.944,4.667,2.288,1.658,1.695,1e-05,0,0,7,['DF'],0.263,3
5,Carlos Mario Rodríguez,La Equidad,1,0.125,0.425,0.375,1,31.586,0.331,0.218,0.0,0.0,1.687,0.972,0.218,0.0,0.859,1.603,0.399,1.311,0.572,0.38,0.0,0.0,0.0,0.957,1.0,0.812,0.0,0.0,1.519,1.978,0.224,0.0,0.579,1.61,0.0,1.202,0.444,0.286,1e-05,0,0,13,['MF'],0.307,3
6,Alex Rambal,La Equidad,1,0.455,0.545,0.182,1,29.774,0.287,0.0,0.0,0.0,0.698,0.359,0.521,0.171,1.108,0.477,0.171,0.0,0.888,1.632,0.0,0.0,0.0,1.335,3.0,0.0,0.0,0.0,1.37,1.667,1.525,2.5,1.286,0.305,0.0,0.0,1.405,2.091,1e-05,0,0,10,['DF'],0.228,4
7,Brayhan Torres,La Equidad,1,0.0,0.286,0.429,1,14.36,0.0,0.0,0.0,0.0,0.7,0.0,0.35,0.0,1.03,0.7,0.0,1.641,0.0,0.7,0.0,0.0,0.0,0.314,0.0,0.0,0.0,0.0,0.083,0.0,1.043,1e-05,0.597,0.39,0.0,0.0,0.122,0.176,1e-05,0,0,12,['DF'],0.161,4
8,Danilo Arboleda,La Equidad,1,-0.25,0.312,0.406,1,12.203,0.291,0.0,0.0,0.0,0.545,0.291,0.291,0.0,0.926,0.701,0.174,0.242,1.096,1.637,0.0,0.0,0.0,1.852,3.0,0.0,0.0,0.0,1.459,1.0,0.771,1e-05,1.264,1.083,1.125,0.054,2.338,1.982,1e-05,0,0,9,['DF'],0.771,1
9,Cristian Palomeque,La Equidad,1,-0.588,0.235,0.471,1,30.829,0.322,0.0,0.0,0.0,1.678,1.262,0.513,0.235,0.9,0.9,0.381,3.104,0.478,0.6,0.0,0.0,0.0,0.852,1.2,0.0,0.0,0.0,1.402,2.5,0.714,3.75,0.801,0.71,1.125,1.344,0.466,0.574,0.0,0,0,15,['MF'],0.316,3
10,Matías Mier,La Equidad,1,0.412,0.441,0.324,1,26.923,0.28,0.167,0.0,0.0,1.298,0.59,0.377,0.0,0.943,0.769,0.167,1.54,0.483,0.622,0.0,0.0,0.0,0.379,0.909,0.0,0.0,0.0,0.736,0.992,0.769,1e-05,0.547,0.36,0.357,0.638,0.234,0.503,1e-05,0,0,15,['MF'],0.346,3
11,Mariano Vázquez,La Equidad,1,0.389,0.5,0.333,1,20.785,0.0,0.223,0.0,0.0,0.939,0.307,0.365,0.0,1.071,1.293,0.0,0.788,1.039,0.365,0.0,0.0,0.0,0.302,0.0,0.778,0.0,0.0,0.372,0.0,0.618,0.0,0.252,0.676,0.0,0.185,0.717,0.072,1e-05,0,0,21,['MF'],0.244,4
