,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Daniel Giraldo,Millonarios,1,0.46,0.44,0.22,1,8.467,0.325,0.14,0.0,0.0,1.109,0.668,0.52,0.14,1.302,1.238,0.361,0.755,0.865,0.811,0.0,0.0,0.0,2.001,2.444,0.647,0.0,0.0,1.532,1.93,1.333,0.0,2.078,1.515,1.1,0.328,2.268,1.932,1e-05,0,0,11,['MF'],0.433,3
1,Harrison Mojica,Millonarios,1,-0.4,0.2,0.467,1,6.465,0.499,0.4,0.0,0.0,1.147,0.718,0.442,0.0,0.611,1.526,0.499,2.294,0.442,0.4,0.0,0.0,0.0,1.522,1.692,3.3,1e-05,1e-05,2.366,1.692,1.128,1e-05,0.596,1.634,0.815,4.45,0.458,0.355,0.0,0,0,11,['MF'],0.345,3
2,Andrés Murillo,Millonarios,1,0.476,0.476,0.238,1,13.357,0.0,0.294,0.0,0.0,0.563,0.0,0.294,0.0,0.639,0.794,0.213,0.393,1.019,1.191,0.0,0.0,0.0,1.317,0.0,4.667,1e-05,1e-05,0.913,0.0,0.5,0.0,0.721,1.25,2.333,0.202,1.615,1.697,1e-05,0,0,7,['DF'],0.253,3
3,Juan Pablo Vargas,Millonarios,1,0.143,0.381,0.381,1,27.579,0.0,0.0,0.0,0.0,0.642,0.426,0.547,0.213,1.327,0.653,0.213,0.294,1.777,1.39,0.0,0.0,0.0,0.843,0.0,0.0,0.0,0.0,0.787,0.783,0.9,3.0,0.843,0.61,1.125,0.083,1.099,1.094,0.0,0,0,9,['DF'],1.0,1
4,Elvis Perlaza,Millonarios,1,0.3,0.367,0.267,1,14.066,0.296,0.335,0.0,0.0,0.666,0.447,0.532,0.177,1.423,1.502,0.0,3.034,1.298,1.062,0.0,0.0,0.0,1.828,4.125,5.5,1e-05,1e-05,2.047,1.897,1.964,11.0,2.101,3.066,0.0,6.417,1.944,1.078,0.0,0,0,11,['DF'],0.961,1
5,Juan Carlos Pereira,Millonarios,1,-0.463,0.268,0.463,1,28.437,0.327,0.26,0.154,0.154,1.593,0.552,0.26,0.0,1.081,0.834,0.537,1.034,1.143,1.228,0.0,0.0,0.0,1.642,3.25,2.438,13.0,13.0,1.955,1.88,0.534,0.0,1.233,0.826,1.936,0.87,1.934,2.217,1e-05,0,0,13,['MF'],0.62,2
6,Ricardo Márquez,Millonarios,1,-0.412,0.265,0.471,1,18.764,0.674,0.235,0.322,0.322,2.082,1.187,0.468,0.169,1.337,1.679,1.313,0.559,0.543,0.452,0.0,0.0,0.0,1.744,3.056,1.0,5.0,5.0,2.37,2.652,1.719,2.5,1.731,1.51,3.5,0.288,0.87,1.0,1e-05,0,0,5,['FW'],0.344,4
7,Felipe Jaramillo,Millonarios,1,-0.611,0.083,0.583,1,16.391,0.0,0.164,0.0,0.0,1.08,0.448,0.487,0.0,1.343,1.09,0.164,0.346,1.064,1.586,0.0,0.0,0.0,2.087,0.0,0.867,0.0,0.0,1.793,1.548,3.569,0.0,2.657,1.535,0.542,0.281,3.421,3.552,1e-05,0,0,13,['MF'],0.984,1
8,Luis Payares,Millonarios,1,0.812,0.625,0.188,1,18.746,0.235,0.235,0.0,0.0,0.847,0.429,0.354,0.0,1.234,1.19,0.284,0.235,1.182,1.567,0.0,0.0,0.0,1.252,1.6,2.0,1e-05,1e-05,1.552,1.778,0.727,0.0,1.204,1.203,2.4,0.078,0.972,1.103,1e-05,0,0,8,['DF'],0.886,1
9,Hansel Zapata,Millonarios,1,0.143,0.375,0.304,1,29.418,0.424,0.424,0.0,0.0,1.339,0.819,0.307,0.131,0.93,1.244,0.614,3.064,0.679,0.365,0.0,0.0,0.0,1.297,3.25,4.789,0.0,0.0,1.768,1.5,0.83,4.333,0.483,0.966,3.421,3.323,0.622,0.37,1e-05,0,0,13,['MF'],0.491,2
10,Deivy Balanta,Millonarios,1,0.105,0.316,0.263,1,23.625,0.0,0.0,0.0,0.0,0.477,0.0,0.218,0.0,1.043,0.669,0.0,0.218,0.698,1.497,0.218,0.0,0.0,0.878,0.0,0.0,1e-05,1e-05,0.559,0.0,0.0,0.0,0.545,0.652,0.0,0.067,0.529,1.366,11.0,0,0,11,['DF'],0.289,3
11,José Luis Moreno Peña,Millonarios,1,-0.375,0.375,0.5,1,27.308,0.0,0.0,0.0,0.0,0.781,0.331,0.484,0.331,0.661,0.433,0.0,0.0,0.5,0.992,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.759,0.393,0.75,3.667,0.368,0.07,0.0,0.0,0.291,0.279,1e-05,0,0,11,['DF'],0.117,4
12,César Carrillo,Millonarios,1,0.095,0.357,0.286,1,11.512,0.373,0.294,0.0,0.0,1.352,0.764,0.491,0.152,1.269,1.354,0.213,0.575,1.022,1.166,0.0,0.0,0.0,2.383,2.6,2.6,0.0,0.0,2.6,2.321,2.889,4.333,3.33,2.438,0.473,0.447,3.041,3.586,1e-05,0,0,13,['MF'],0.58,2
13,Roberto Ovelar,Millonarios,1,0.465,0.488,0.279,1,25.034,0.419,0.208,0.149,0.208,1.963,0.95,0.343,0.0,1.268,1.79,0.657,0.783,0.748,0.538,0.0,0.0,0.0,2.242,1.939,0.889,0.0,2.667,2.326,1.859,2.0,1e-05,2.043,3.016,1.625,0.639,2.847,1.951,1e-05,0,0,8,['FW'],0.457,2
14,Christian Marrugo,Millonarios,1,0.102,0.407,0.373,1,15.747,0.36,0.36,0.129,0.181,0.739,0.431,0.36,0.0,1.257,0.844,0.129,2.143,0.997,0.592,0.0,0.0,0.0,1.159,2.195,1.667,3.0,4.286,0.711,1.007,0.6,0.0,0.89,0.509,0.254,1.563,1.0,0.267,1e-05,0,0,15,['MF'],0.307,3
15,Oscar Barreto,Millonarios,0,0.0,0.462,0.385,0,23.57,0.192,0.0,0.0,0.0,1.001,0.631,0.361,0.0,0.971,1.044,0.361,0.762,0.631,0.887,0.0,0.0,0.0,0.487,0.485,1.455,0.0,0.0,0.646,0.252,1.032,0.0,0.668,0.714,0.195,0.914,0.488,0.222,1e-05,0,0,16,"['MF', 'FW']",0.0,4
16,Santiago Montoya,Millonarios,1,0.133,0.4,0.333,1,26.158,0.4,0.3,0.0,0.0,1.726,0.718,0.373,0.18,1.155,1.309,0.249,3.268,0.663,0.476,0.0,0.0,0.0,1.282,3.103,1.731,0.0,0.0,2.361,2.188,1.091,3.0,1.261,2.179,0.789,2.845,0.593,0.352,1e-05,0,0,15,['MF'],0.145,4
