,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Yoiver González,Once Caldas,1,-0.062,0.375,0.438,1,27.826,0.0,0.0,0.0,0.0,0.527,0.0,0.331,0.242,0.791,0.829,0.242,0.331,0.682,1.58,0.0,0.0,0.0,1.075,0.0,0.0,1e-05,1e-05,0.393,0.0,0.727,4.0,1.231,0.941,1.0,0.086,0.989,1.343,1e-05,0,0,8,['DF'],0.821,1
1,Juan David Pérez,Once Caldas,1,0.087,0.304,0.304,1,24.45,0.282,0.0,0.0,0.0,1.197,0.529,0.0,0.0,0.773,0.712,0.621,1.061,0.282,0.379,0.0,0.0,0.0,0.644,0.389,0.0,0.0,0.0,0.632,0.56,0.0,0.0,0.472,0.412,0.5,0.75,0.311,0.25,1e-05,0,0,7,['FW'],0.496,2
2,Nicolás Giraldo,Once Caldas,1,0.312,0.312,0.188,1,33.712,0.0,0.242,0.0,0.0,0.496,0.242,0.331,0.0,0.829,0.857,0.0,2.603,1.073,1.436,0.0,0.0,0.0,0.317,0.0,0.0,1e-05,1e-05,0.267,0.0,0.0,0.0,0.378,0.353,0.0,0.636,0.606,0.302,1e-05,0,0,8,['DF'],0.314,2
3,Santiago Roa,Once Caldas,1,-0.926,0.148,0.593,1,8.006,0.0,0.0,0.0,0.0,0.483,0.189,0.388,0.262,1.281,1.123,0.0,1.09,0.831,1.232,0.0,0.0,0.0,1.281,0.0,0.0,0.0,0.0,1.143,0.438,1.0,3.5,1.688,1.26,0.0,1.75,1.085,1.694,1e-05,0,0,7,['DF'],0.198,4
4,Félix Micolta,Once Caldas,0,-1.0,0.0,1.0,0,9.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411,1.077,0.0,0.0,0.0,0.359,0.894,0.7,0.0,0.311,0.188,0.0,0.241,0.386,0.662,28.0,0,0,28,"['DF', 'MF']",0.109,4
5,Sebastián Hernández,Once Caldas,1,0.027,0.324,0.297,1,29.929,0.27,0.0,0.0,0.0,0.915,0.468,0.27,0.0,0.714,0.712,0.16,1.743,0.716,0.91,0.0,0.0,0.0,1.124,0.609,0.0,0.0,0.0,0.705,0.308,0.718,0.0,0.902,0.577,0.378,1.448,0.956,0.863,1e-05,0,0,14,['MF'],0.597,2
6,Lewis Ochoa,Once Caldas,1,0.2,0.3,0.3,1,31.651,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,1.3,0.98,0.806,2.326,0.8,1.345,0.0,0.0,0.0,0.499,0.0,1.286,1e-05,1e-05,0.176,0.0,0.0,0.0,0.521,0.537,3.0,1.185,0.286,0.371,0.0,0,0,9,['DF'],0.487,2
7,Harlin Suárez,Once Caldas,1,-0.381,0.286,0.381,1,11.697,0.0,0.0,0.0,0.0,0.722,0.426,0.294,0.0,0.868,0.825,0.0,0.486,0.868,1.037,0.0,0.0,0.0,1.616,0.0,0.0,0.0,0.0,0.846,0.463,0.633,0.0,0.866,0.76,0.0,0.393,1.267,1.932,1e-05,0,0,18,['MF'],0.326,3
8,Jean Carlos Blanco,Once Caldas,1,0.314,0.429,0.314,1,32.219,0.318,0.0,0.0,0.0,1.25,0.483,0.377,0.0,1.781,0.966,0.553,0.542,0.838,0.377,0.0,0.0,0.0,0.319,0.818,0.0,1e-05,1e-05,0.615,0.6,0.346,0.0,0.5,0.184,0.0,0.178,0.238,0.167,1e-05,0,0,18,['MF'],0.259,4
9,Enrique Serje,Once Caldas,1,0.0,0.176,0.176,1,37.927,0.0,0.0,0.0,0.0,0.771,0.322,0.478,0.235,0.876,1.574,0.0,0.235,1.576,1.352,0.0,0.0,0.0,0.321,0.0,0.0,0.0,0.0,0.121,0.0,1.191,0.0,0.531,0.545,0.0,0.037,0.626,1.133,1e-05,0,0,14,['MF'],0.229,4
