,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Daniel Quiñones,Pasto,1,0.421,0.316,0.211,1,31.295,0.0,0.0,0.0,0.0,0.44,0.0,0.223,0.0,0.95,0.591,0.0,1.758,0.832,1.257,0.0,0.0,0.0,0.317,0.0,0.0,1e-05,1e-05,0.267,0.0,0.0,0.0,0.378,0.353,0.0,0.636,0.606,0.302,1e-05,0,0,8,['DF'],0.501,1
1,David Alejandro Gómez,Pasto,1,0.158,0.316,0.158,1,6.538,0.0,0.218,0.0,0.0,0.943,0.433,0.49,0.0,1.005,0.889,0.0,2.844,0.735,0.865,0.0,0.0,0.0,1.467,0.0,1.75,1e-05,1e-05,2.136,1.842,1.69,0.0,1.336,1.951,0.0,3.204,0.742,0.926,1e-05,0,0,7,['DF'],0.222,3
2,Yhormar Hurtado,Pasto,1,0.259,0.407,0.333,1,4.917,0.262,0.0,0.0,0.0,1.04,0.474,0.532,0.262,0.981,0.813,0.388,2.47,1.208,1.397,0.0,0.0,0.0,0.837,1.778,0.0,0.0,0.0,1.351,1.185,0.552,4.0,0.477,1.209,2.0,1.389,0.957,0.766,0.0,0,0,8,['DF'],0.371,2
3,Juan Moreno,Pasto,1,0.8,0.6,0.4,1,26.081,0.0,0.0,0.0,0.0,0.8,0.4,0.4,0.0,0.8,0.8,0.0,1.855,0.632,0.0,0.0,0.0,0.0,0.381,0.84,0.0,0.0,0.0,0.711,0.977,0.0,0.0,0.216,0.506,0.7,0.0,0.127,0.0,0.0,0,0,21,"['DF', 'MF']",0.143,4
4,Jaime Giraldo,Pasto,1,0.0,0.375,0.5,1,32.802,0.0,0.0,0.0,0.0,0.707,0.484,0.242,0.0,1.495,0.464,0.0,1.458,1.218,1.536,0.0,0.0,0.0,0.659,0.0,1e-05,0.0,0.0,0.606,1.067,0.615,1e-05,1.038,0.232,0.0,0.896,1.095,0.851,0.0,0,0,8,['DF'],0.138,4
5,Jerson Malagón,Pasto,1,-0.312,0.25,0.438,1,0.0,0.0,0.0,0.0,0.0,0.484,0.242,0.464,0.0,0.747,0.39,0.242,0.331,0.75,1.031,0.0,0.0,0.0,0.217,0.0,0.0,1e-05,1e-05,0.218,0.0,0.0,0.0,0.335,0.056,0.0,0.0,0.211,0.262,0.0,0,0,12,['DF'],1.0,1
6,Jeison Medina,Pasto,1,-0.16,0.36,0.4,1,30.425,0.4,0.0,0.0,0.0,1.155,0.48,0.271,0.0,0.786,1.286,0.697,0.546,0.4,0.271,0.0,0.0,0.0,0.536,0.973,0.0,0.0,0.0,0.594,0.47,0.281,0.0,0.585,0.719,1.08,0.177,0.391,0.36,1e-05,0,0,9,['FW'],0.522,2
7,Cristián Marcelo Álvarez,Pasto,1,0.296,0.444,0.296,1,28.97,0.314,0.262,0.0,0.0,1.165,0.687,0.355,0.189,0.816,1.177,0.262,1.925,0.786,0.355,0.0,0.0,0.0,0.831,1.556,1.217,0.0,0.0,1.265,1.896,0.724,3.5,0.607,1.143,1.167,1.413,0.879,0.276,1e-05,0,0,14,['MF'],0.375,3
8,Feiver Mercado,Pasto,1,0.244,0.415,0.317,1,29.098,0.469,0.327,0.154,0.154,1.611,0.724,0.327,0.0,1.115,1.201,0.469,1.754,0.747,0.327,0.0,0.0,0.0,1.3,2.333,1.556,4.667,3.5,2.239,1.9,0.8,0.0,1.14,1.526,2.579,1.698,0.537,0.303,1e-05,0,0,14,"['FW', 'MF']",0.382,4
9,Ray Vanegas,Pasto,1,-0.208,0.333,0.417,1,22.61,0.471,0.276,0.0,0.0,1.201,0.764,0.373,0.2,1.353,0.912,0.764,1.594,0.576,0.52,0.0,0.0,0.0,1.105,1.953,1.5,0.0,0.0,1.458,1.593,1.254,0.0,2.155,1.42,4.755,1.489,0.968,0.754,1e-05,0,0,21,"['MF', 'FW']",0.434,2
10,Jown Cardona,Pasto,1,0.579,0.368,0.263,1,26.406,0.223,0.223,0.223,0.223,0.595,0.408,0.365,0.223,1.039,1.196,0.0,2.403,0.985,0.809,0.0,0.0,0.0,0.307,0.0,0.0,0.0,0.0,0.326,0.213,0.755,0.0,0.38,0.361,0.0,0.75,0.55,0.402,0.0,0,0,19,['MF'],0.246,2
