,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,César Arias,Rionegro,1,-0.588,0.294,0.529,1,26.571,0.381,0.235,0.235,0.235,0.963,0.478,0.235,0.0,0.749,0.749,0.762,0.691,0.424,0.322,0.0,0.0,0.0,1.606,1.875,1.667,1.667,1.667,1.25,1.5,1.0,1e-05,1.304,1.017,1.429,1.667,1.053,1.111,1e-05,0,0,5,['FW'],0.636,1
1,Alejandro Artunduaga,Rionegro,1,-0.333,0.222,0.5,1,13.579,0.229,0.229,0.0,0.0,0.756,0.416,0.416,0.0,0.816,1.599,0.229,1.5,1.213,0.994,0.0,0.0,0.0,1.383,0.9,1.5,0.0,0.0,0.78,0.867,1.412,0.0,1.223,2.25,0.486,1.897,1.979,1.236,1e-05,0,0,18,"['MF', 'DF']",0.499,2
2,Juan Salazar,Rionegro,1,0.522,0.522,0.304,1,26.404,0.319,0.361,0.0,0.0,1.344,0.793,0.394,0.0,1.012,1.133,0.192,2.317,0.444,0.266,0.0,0.0,0.0,0.486,0.367,2.062,0.0,0.0,0.737,1.06,0.393,1e-05,0.579,0.737,0.333,1.269,0.328,0.108,1e-05,0,0,11,['MF'],0.381,2
3,Elicer Quiñones,Rionegro,1,0.105,0.368,0.474,1,29.102,0.35,0.0,0.0,0.0,0.471,0.393,0.213,0.0,0.35,0.426,0.0,1.91,0.467,0.294,0.0,0.0,0.0,0.352,0.0,0.0,0.0,0.0,0.211,0.133,0.393,1e-05,0.526,0.227,0.0,0.192,0.575,0.431,1e-05,0,0,11,['MF'],0.0,4
4,Jhon Fredy Miranda,Rionegro,1,-0.667,0.167,0.556,1,26.851,0.314,0.229,0.314,0.314,1.42,0.831,0.577,0.314,1.1,1.242,0.678,4.016,0.448,0.65,0.0,0.0,0.0,1.114,2.6,1.444,8.667,8.667,1.577,1.576,2.516,8.667,1.292,1.066,3.763,5.064,0.765,0.596,1e-05,0,0,13,"['FW', 'MF']",0.216,3
5,John Freddy Pérez,Rionegro,1,-0.282,0.231,0.436,1,25.867,0.458,0.156,0.156,0.156,1.738,0.872,0.38,0.0,0.67,1.243,0.263,2.733,0.418,0.833,0.0,0.0,0.0,1.429,4.333,0.0,1e-05,0.0,2.733,3.059,0.419,0.0,0.616,1.642,0.812,4.368,0.634,0.911,1e-05,0,0,13,['MF'],0.328,2
6,David Valencia,Rionegro,1,-0.64,0.16,0.48,1,24.905,0.0,0.0,0.0,0.0,0.463,0.196,0.427,0.0,1.312,0.574,0.196,0.271,0.993,1.573,0.0,0.0,0.0,1.165,0.0,0.0,0.0,0.0,0.208,0.0,0.276,0.0,0.848,0.651,0.667,0.042,1.13,1.341,0.0,0,0,8,['DF'],0.3,2
7,John Fredy Salazar,Rionegro,1,-0.156,0.375,0.281,1,29.537,0.242,0.291,0.0,0.0,1.031,0.704,0.363,0.0,1.458,1.622,0.65,3.162,1.071,0.643,0.0,0.0,0.0,1.538,1.059,3.176,0.0,0.0,1.663,2.298,1.837,0.0,1.743,2.408,3.176,5.4,2.212,1.145,1e-05,0,0,18,"['MF', 'FW']",0.77,1
8,Mateo Puerta,Rionegro,1,-0.571,0.286,0.571,1,27.432,0.0,0.0,0.0,0.0,0.35,0.35,0.35,0.0,2.07,0.833,0.35,1.05,1.05,0.881,0.0,0.0,0.0,0.347,0.0,0.0,1e-05,1e-05,0.08,0.27,0.196,0.0,0.628,0.375,1.25,0.362,0.561,0.459,0.0,0,0,10,['DF'],0.58,2
9,Geovan Montes,Rionegro,1,-0.5,0.125,0.312,1,18.218,0.0,0.0,0.0,0.0,0.599,0.242,0.609,0.242,1.118,1.116,0.39,1.285,1.09,1.158,0.0,0.0,0.0,0.996,0.0,0.0,1e-05,1e-05,0.878,0.462,1.355,6.0,1.112,1.84,3.273,1.611,0.783,0.988,1e-05,0,0,12,['DF'],0.364,3
10,Jonny Mosquera,Rionegro,1,-0.375,0.375,0.438,1,27.438,0.0,0.0,0.0,0.0,0.433,0.0,0.39,0.0,1.031,1.111,0.0,0.0,0.901,1.495,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.0,0.22,0.0,0.919,0.0,0.436,0.697,0.0,0.0,0.604,1.184,1e-05,0,0,17,['MF'],0.274,3
11,Jáder Obrian,Rionegro,1,0.8,0.6,0.2,1,25.487,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,1.47,1.166,1.2,1.166,0.748,0.8,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.228,0.082,0.5,1e-05,0.409,0.367,0.356,0.338,0.16,0.157,1e-05,0,0,8,['FW'],1.0,1
12,Mauricio Restrepo,Rionegro,1,0.0,0.4,0.371,1,33.591,0.167,0.0,0.0,0.0,0.905,0.318,0.377,0.0,1.245,0.692,0.0,0.553,1.286,1.009,0.0,0.0,0.0,1.814,0.559,0.0,0.0,0.0,0.799,0.603,1.61,0.0,1.773,0.657,0.0,0.28,1.909,2.448,1e-05,0,0,19,['MF'],0.442,1
13,Aldo Leão Ramírez,Rionegro,1,0.576,0.508,0.169,1,30.995,0.246,0.215,0.0,0.0,0.936,0.52,0.272,0.0,1.012,0.907,0.215,1.877,1.035,0.666,0.0,0.0,0.0,1.455,1.889,1.308,0.0,0.0,1.197,0.992,0.911,0.0,1.003,1.208,0.773,1.529,1.352,1.29,0.0,0,0,17,['MF'],0.338,2
14,David Contreras,Rionegro,1,-0.333,0.5,0.333,1,23.735,0.0,0.0,0.0,0.0,0.373,0.0,0.0,0.0,1.118,1.915,0.0,0.0,0.745,0.745,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.0,0.101,0.0,0.39,0.0,0.119,0.235,0.0,0.037,0.332,0.085,1e-05,0,0,16,['MF'],0.242,3
15,Miguel Ángel Murillo,Rionegro,1,-0.375,0.312,0.469,1,31.14,0.39,0.0,0.174,0.174,0.966,0.464,0.413,0.174,0.537,0.931,0.661,0.242,0.242,0.0,0.0,0.0,0.0,0.465,0.75,0.0,1.0,0.8,0.5,0.381,1.091,4.0,0.514,0.627,0.571,0.154,0.364,0.0,1e-05,0,0,4,['FW'],0.219,3
16,Gilberto García,Rionegro,1,-0.405,0.216,0.486,1,8.757,0.273,0.273,0.0,0.162,1.15,0.965,0.392,0.0,0.885,0.916,0.162,4.424,1.038,1.177,0.0,0.0,0.0,2.722,4.0,5.6,0.0,14.0,3.662,5.451,2.202,0.0,1.705,2.297,0.622,10.951,2.715,3.009,1e-05,0,0,28,"['DF', 'MF']",0.177,3
17,Elacio Córdoba,Rionegro,1,-0.333,0.306,0.5,1,14.511,0.0,0.276,0.0,0.0,0.48,0.346,0.55,0.164,1.164,1.08,0.229,1.959,1.584,1.871,0.0,0.0,0.0,1.039,0.0,2.571,0.0,0.0,0.499,1.038,2.667,4.5,1.523,0.95,0.551,2.194,2.041,1.717,1e-05,0,0,26,"['DF', 'MF']",0.172,3
18,Giovanny Martínez,Rionegro,1,-0.25,0.25,0.5,1,28.0,0.0,0.0,0.0,0.0,1.111,0.609,0.39,0.0,0.827,0.857,0.0,0.599,0.966,1.446,0.0,0.0,0.0,0.985,0.0,0.0,0.0,0.0,1.072,1.291,0.864,0.0,1.48,0.649,0.0,0.2,1.591,2.386,1e-05,0,0,19,['MF'],0.166,3
19,Víctor Aquino,Rionegro,1,0.188,0.375,0.312,1,19.71,0.696,0.0,0.353,0.373,0.86,0.586,0.406,0.2,0.699,0.977,0.439,0.317,0.286,0.2,0.0,0.0,0.0,0.811,0.562,0.0,0.0,4.5,0.684,0.703,0.346,0.0,0.854,0.931,0.982,0.169,0.391,0.621,1e-05,0,0,9,['FW'],0.143,4
20,Iván Rivas,Rionegro,1,0.226,0.387,0.29,1,34.54,0.475,0.242,0.242,0.242,1.414,0.75,0.242,0.0,0.926,1.023,0.592,0.363,0.609,0.744,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.524,0.427,0.596,0.0,0.29,0.335,0.0,0.733,0.313,0.243,1e-05,0,0,14,['MF'],0.169,4
21,Alexis Hinestroza,Rionegro,1,-0.574,0.277,0.511,1,23.006,0.0,0.0,0.0,0.0,0.614,0.356,0.457,0.0,1.545,0.862,0.144,0.334,0.914,1.04,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.911,1.043,4.293,0.0,2.844,1.098,0.41,0.185,1.99,2.468,1e-05,0,0,16,['MF'],0.154,4
22,Camilo Ayala,Rionegro,1,0.242,0.364,0.242,1,21.236,0.0,0.0,0.0,0.0,0.555,0.235,0.456,0.169,1.415,0.937,0.169,0.567,1.22,1.375,0.0,0.0,0.0,1.717,0.0,0.0,1e-05,1e-05,0.681,0.382,1.492,2.6,2.194,0.822,0.0,0.305,2.438,2.575,1e-05,0,0,13,['MF'],1.0,1
23,Humberto Osorio,Rionegro,1,0.7,0.4,0.1,1,22.531,0.0,0.0,0.0,0.0,0.49,0.4,0.4,0.0,0.98,1.0,0.3,0.0,0.458,0.64,0.0,0.0,0.0,0.344,0.0,0.0,0.0,0.0,0.312,0.289,0.867,0.0,0.525,0.578,0.232,0.0,0.306,0.722,1e-05,0,0,13,['FW'],0.701,1
24,Carlos Andrés Ramírez,Rionegro,1,0.26,0.44,0.3,1,16.663,0.137,0.295,0.0,0.0,1.193,0.508,0.453,0.137,0.799,0.635,0.0,2.97,0.849,1.531,0.137,0.0,0.0,0.554,2.25,0.0,1e-05,1e-05,1.973,2.7,0.766,2.25,0.517,0.342,0.0,0.938,0.373,0.551,0.0,0,0,9,['DF'],0.564,2
25,Jhonny Alexander Vásquez,Rionegro,1,0.042,0.375,0.292,1,34.492,0.0,0.2,0.0,0.0,0.577,0.276,0.576,0.2,1.825,1.207,0.276,0.829,0.799,1.079,0.0,0.0,0.0,0.955,0.0,0.0,1e-05,1e-05,0.624,0.382,2.77,2.6,1.381,0.94,1.3,0.305,1.0,1.57,1e-05,0,0,13,['MF'],0.437,2
26,Omar Vásquez,Rionegro,1,-0.263,0.211,0.368,1,25.837,0.158,0.303,0.158,0.158,1.15,0.562,0.361,0.0,1.097,1.63,0.221,2.685,0.911,0.827,0.0,0.0,0.0,1.793,0.531,4.0,2.125,1.889,2.095,1.821,1.789,0.0,1.917,3.409,0.708,4.04,2.383,1.517,1e-05,0,0,17,"['MF', 'FW']",0.374,2
27,Edison Toloza,Rionegro,1,0.0,0.316,0.404,1,25.356,0.487,0.347,0.0,0.0,1.769,1.041,0.347,0.131,1.081,0.913,0.899,3.915,0.449,0.541,0.0,0.0,0.0,0.658,1.412,0.6,0.0,0.0,1.28,1.444,0.212,0.0,0.418,0.315,2.069,2.0,0.058,0.307,1e-05,0,0,18,"['MF', 'FW']",0.304,3
28,Daniel Lloreda,Rionegro,1,2.5,1.0,0.0,1,18.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.5,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.302,0.0,0.778,0.0,0.0,0.372,0.0,0.618,0.0,0.252,0.676,0.0,0.185,0.717,0.072,1e-05,0,0,21,['MF'],0.208,3
