,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Leonardo Pico,Santa Fe,1,0.263,0.368,0.158,1,22.978,0.0,0.0,0.0,0.0,0.458,0.218,0.357,0.0,1.043,1.054,0.0,0.3,0.843,1.41,0.0,0.0,0.0,1.284,0.0,0.0,1e-05,1e-05,0.237,0.0,0.8,0.0,1.259,0.688,0.0,0.0,1.212,3.904,0.0,0,0,12,['MF'],0.669,1
1,Johan Caballero,Santa Fe,1,-0.333,0.286,0.381,1,22.476,0.386,0.343,0.0,0.0,1.328,0.924,0.386,0.0,1.125,1.073,0.343,1.527,0.962,0.967,0.0,0.0,0.0,1.575,3.294,4.2,0.0,0.0,1.611,2.53,1.6,0.0,1.734,2.224,1.0,1.574,1.792,1.662,1e-05,0,0,14,"['MF', 'FW']",0.335,3
2,Neyder Moreno,Santa Fe,1,0.091,0.273,0.364,1,32.277,0.466,0.287,0.343,0.343,1.427,0.819,0.0,0.208,0.762,1.23,0.287,1.868,0.555,0.783,0.0,0.0,0.0,0.984,3.947,3.0,11.25,11.25,2.168,1.967,0.0,0.0,0.577,1.429,1.111,2.5,0.714,1.015,0.0,0,0,15,"['MF', 'FW']",0.149,4
3,Jeison Palacios,Santa Fe,1,-0.045,0.318,0.318,1,6.784,0.0,0.0,0.0,0.0,0.555,0.0,0.419,0.0,1.11,1.248,0.358,0.149,1.151,1.572,0.0,0.0,0.0,1.706,0.0,0.0,1e-05,1e-05,1.424,0.0,1.436,0.0,1.988,2.006,1.615,0.041,2.287,2.038,1e-05,0,0,7,['DF'],0.842,1
4,Dairon Mosquera,Santa Fe,1,0.385,0.385,0.154,1,27.107,0.0,0.0,0.0,0.0,0.41,0.35,0.452,0.0,0.99,0.86,0.0,1.052,0.939,1.552,0.0,0.0,0.0,0.679,0.0,0.0,1e-05,1e-05,0.256,0.379,0.589,0.0,0.536,0.601,0.0,0.708,0.833,0.706,0.0,0,0,11,['DF'],0.615,2
5,Kelvin Osorio,Santa Fe,1,-0.216,0.324,0.324,1,22.016,0.412,0.226,0.226,0.226,1.6,0.683,0.392,0.0,1.044,1.57,0.0,1.424,0.843,0.963,0.0,0.0,0.0,2.154,5.455,1.765,15.0,15.0,2.586,2.5,2.561,0.0,1.433,2.285,0.0,1.314,1.951,2.945,1e-05,0,0,15,['MF'],0.565,2
6,Jonathan Herrera,Santa Fe,1,0.667,0.667,0.111,1,23.084,0.0,0.314,0.0,0.0,0.667,0.0,0.416,0.0,0.816,1.1,0.314,2.283,0.956,0.471,0.0,0.0,0.0,0.247,0.0,1.727,0.0,0.0,0.166,0.0,0.373,0.0,0.216,0.319,0.463,0.91,0.218,0.142,1e-05,0,0,19,"['MF', 'DF']",0.402,3
7,Mauricio Gómez Sánchez,Santa Fe,1,-0.29,0.258,0.387,1,27.905,0.331,0.415,0.174,0.174,0.788,0.514,0.363,0.0,0.866,0.857,0.384,1.521,0.5,0.749,0.0,0.0,0.0,1.456,2.0,3.176,3.6,3.6,1.087,1.694,1.304,0.0,1.088,0.725,0.9,2.068,0.754,1.36,1e-05,0,0,18,['MF'],0.295,3
8,Patricio Cucchi,Santa Fe,1,0.429,0.357,0.143,1,26.003,0.41,0.0,0.0,0.0,1.493,0.61,0.41,0.0,0.479,0.479,0.627,0.824,0.35,0.258,0.0,0.0,0.0,0.351,0.444,0.0,0.0,0.0,0.32,0.309,0.9,1e-05,0.231,0.106,0.667,0.127,0.211,0.167,1e-05,0,0,6,['FW'],0.285,4
9,Fainer Torijano,Santa Fe,1,0.12,0.44,0.32,1,21.207,0.0,0.0,0.0,0.0,0.457,0.189,0.516,0.262,0.999,0.687,0.0,0.0,0.886,1.562,0.0,0.0,0.0,0.847,0.0,0.0,1e-05,1e-05,0.478,0.0,0.727,4.0,0.459,0.602,0.0,0.0,0.619,1.003,1e-05,0,0,8,['DF'],1.0,1
