,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Jeison Angulo,Tolima,1,0.1,0.4,0.3,1,32.382,0.0,0.0,0.0,0.0,0.0,0.0,0.663,0.3,1.118,0.3,0.458,1.2,1.0,0.748,0.0,0.0,0.0,0.821,0.0,0.0,1e-05,1e-05,0.0,0.0,1.524,8.0,1.071,0.116,2.4,0.8,1.013,0.571,0.0,0,0,8,['DF'],0.882,1
1,Harold Gómez,Tolima,1,0.172,0.379,0.207,1,31.288,0.0,0.246,0.0,0.0,0.904,0.296,0.296,0.0,0.99,0.698,0.0,3.307,1.184,1.059,0.177,0.0,0.0,0.843,0.0,1.133,0.0,0.0,0.371,0.205,0.773,0.0,1.004,0.497,0.0,2.535,1.288,1.532,17.0,0,0,17,"['DF', 'MF']",0.289,4
2,Yohandry Orozco,Tolima,1,0.833,0.5,0.167,1,25.48,0.0,0.0,0.0,0.0,0.5,0.471,0.0,0.0,0.373,0.471,0.0,2.749,0.5,0.373,0.0,0.0,0.0,0.393,0.0,0.0,0.0,0.0,0.627,0.386,0.0,0.0,0.061,0.132,0.0,0.903,0.34,0.149,1e-05,0,0,11,['MF'],0.278,4
3,José Guillermo Ortiz,Tolima,1,-0.062,0.375,0.375,1,31.152,0.242,0.0,0.0,0.0,2.083,0.864,0.0,0.0,0.609,0.609,0.696,0.583,0.331,0.0,0.0,0.0,0.0,0.569,0.217,0.0,0.0,0.0,0.677,0.645,0.0,0.0,0.242,0.429,0.441,0.233,0.417,0.0,1e-05,0,0,5,['FW'],0.201,4
4,Eduar Caicedo,Tolima,1,0.25,0.469,0.188,1,31.158,0.0,0.169,0.0,0.0,0.697,0.284,0.284,0.0,1.079,0.936,0.0,0.235,0.849,1.479,0.0,0.0,0.0,1.006,0.0,1.333,1e-05,1e-05,0.848,0.5,0.696,0.0,0.945,0.897,0.0,0.103,0.8,1.015,0.0,0,0,8,['DF'],0.181,4
5,Daniel Moreno,Tolima,1,-0.062,0.375,0.375,1,29.08,0.0,0.242,0.0,0.0,0.768,0.331,0.331,0.0,1.031,0.992,0.331,2.128,0.791,0.433,0.0,0.0,0.0,0.418,0.0,0.0,1e-05,1e-05,0.395,0.231,0.0,0.0,0.296,0.688,0.48,0.85,0.242,0.145,0.0,0,0,12,['MF'],0.0,4
6,Andrey Estupiñán,Tolima,1,0.256,0.372,0.302,1,14.521,0.366,0.208,0.208,0.208,1.808,0.908,0.492,0.0,1.579,2.427,0.979,1.184,1.278,0.722,0.0,0.0,0.0,3.039,3.636,2.286,6.857,6.857,4.824,5.007,4.042,0.0,4.922,5.912,8.229,2.372,3.649,1.714,1e-05,0,0,24,"['MF', 'FW']",0.74,1
7,Juan David Ríos,Tolima,1,0.023,0.318,0.273,1,3.111,0.0,0.149,0.0,0.0,1.031,0.343,0.456,0.149,1.418,1.873,0.0,1.069,1.138,0.814,0.0,0.0,0.0,2.492,0.0,1.625,0.0,0.0,1.625,1.099,1.4,4.333,2.522,2.683,0.0,1.048,3.733,2.289,1e-05,0,0,13,['MF'],0.716,2
8,Luis Miranda,Tolima,1,-0.132,0.368,0.421,1,17.691,0.408,0.431,0.0,0.0,1.332,0.636,0.425,0.0,1.184,1.442,0.67,0.887,0.824,1.026,0.0,0.0,0.0,1.885,3.111,3.652,0.0,0.0,2.145,1.915,1.514,0.0,1.545,2.156,2.121,1.286,1.529,2.167,1e-05,0,0,14,"['MF', 'FW']",0.547,2
9,Jean Pestaña,Tolima,1,-0.667,0.095,0.429,1,28.784,0.0,0.0,0.0,0.0,0.547,0.294,0.547,0.213,1.468,0.811,0.0,0.213,1.082,0.849,0.0,0.0,0.0,1.24,0.0,0.0,1e-05,0.0,0.39,0.42,1.389,6.25,1.441,0.872,0.0,0.043,1.592,0.743,1e-05,0,0,25,"['DF', 'MF']",0.453,3
10,Anderson Angulo,Tolima,1,-0.625,0.125,0.5,1,24.546,0.331,0.0,0.0,0.0,1.0,0.331,0.433,0.0,0.696,0.484,0.331,0.0,0.696,0.866,0.0,0.0,0.0,0.375,2.75,0.0,1e-05,1e-05,0.537,0.611,0.31,0.0,0.169,0.128,0.786,0.0,0.257,0.292,1e-05,0,0,11,['DF'],0.293,4
11,Alex Castro,Tolima,1,-0.355,0.323,0.548,1,16.679,0.296,0.395,0.0,0.0,1.121,0.542,0.418,0.177,0.954,1.176,0.438,3.198,0.974,0.698,0.0,0.0,0.0,2.148,1.8,4.286,0.0,0.0,1.951,2.115,1.667,3.75,1.517,1.751,3.0,3.099,1.865,0.902,0.0,0,0,15,['MF'],0.987,1
12,Larry Vásquez,Tolima,1,0.0,0.286,0.214,1,30.684,0.0,0.0,0.0,0.0,1.0,0.41,0.479,0.0,1.178,0.821,0.0,0.558,1.118,0.86,0.0,0.0,0.0,0.751,0.0,0.0,0.0,0.0,0.743,0.509,1.324,0.0,1.109,0.367,0.0,0.144,1.899,1.088,0.0,0,0,18,['MF'],0.943,1
13,José Moya,Tolima,1,0.194,0.306,0.278,1,26.736,0.276,0.229,0.0,0.0,0.896,0.346,0.48,0.0,1.265,0.787,0.419,0.441,1.518,1.235,0.0,0.0,0.0,0.971,3.333,1.667,1e-05,1e-05,0.889,1.0,1.304,0.0,1.053,0.759,3.077,0.256,1.51,0.921,1e-05,0,0,10,['DF'],0.341,3
14,Yeison Gordillo,Tolima,1,0.565,0.435,0.217,1,23.881,0.0,0.2,0.0,0.0,0.968,0.408,0.496,0.0,2.034,1.118,0.0,0.559,1.755,1.505,0.0,0.0,0.0,2.23,0.0,0.842,1e-05,1e-05,1.26,0.79,3.886,0.0,3.746,1.793,0.0,0.329,3.678,4.377,1e-05,0,0,16,['MF'],0.408,2
15,Leyvin Balanta,Tolima,1,0.364,0.455,0.455,1,31.823,0.0,0.204,0.0,0.0,0.547,0.204,0.282,0.204,1.072,0.773,0.204,1.433,0.85,1.521,0.0,0.0,0.0,0.846,0.0,1.667,1e-05,1e-05,0.556,0.0,0.217,1.429,1.1,0.633,0.769,1.41,0.885,0.794,1e-05,0,0,10,['DF'],0.35,3
16,Diego Valdés Giraldo,Tolima,1,-0.6,0.257,0.514,1,4.295,0.645,0.398,0.167,0.167,1.265,0.967,0.377,0.0,1.578,1.413,1.055,0.769,0.962,0.731,0.0,0.0,0.0,2.715,4.5,2.667,2.0,2.0,3.281,4.0,2.571,0.0,3.2,2.659,4.0,2.073,2.52,1.846,1e-05,0,0,6,['FW'],0.424,3
17,Juan Nieto,Tolima,1,0.421,0.447,0.211,1,22.615,0.223,0.431,0.0,0.0,1.208,0.639,0.307,0.0,0.811,1.352,0.27,2.321,1.224,0.785,0.0,0.0,0.0,1.371,0.559,4.75,0.0,0.0,1.291,1.508,0.322,0.0,0.95,1.553,0.463,2.194,1.727,0.466,1e-05,0,0,19,['MF'],0.248,4
18,Maicol Balanta,Tolima,1,0.082,0.429,0.408,1,25.017,0.475,0.385,0.0,0.0,1.088,0.61,0.387,0.0,0.722,1.34,0.912,1.995,0.565,0.67,0.0,0.0,0.0,1.47,3.0,1.429,0.0,0.0,1.707,1.538,0.476,0.0,0.843,1.278,5.625,1.892,0.622,0.82,0.0,0,0,15,['MF'],0.394,2
19,Rafael Robayo,Tolima,1,-0.238,0.19,0.333,1,0.213,0.213,0.0,0.0,0.0,0.898,0.393,0.213,0.213,0.971,0.732,0.0,0.95,1.592,1.651,0.0,0.0,0.0,1.154,0.765,0.0,0.0,0.0,0.876,0.684,0.277,3.25,0.807,0.47,0.0,0.173,1.634,1.579,1e-05,0,0,13,['MF'],1.0,1
20,Carlos Robles Rocha,Tolima,1,-0.088,0.353,0.382,1,10.965,0.235,0.0,0.0,0.0,1.225,0.642,0.456,0.0,1.072,0.885,0.373,0.976,1.15,1.317,0.0,0.0,0.0,2.174,1.529,0.0,0.0,0.0,2.243,2.139,2.6,0.0,2.007,0.908,0.951,0.735,2.955,2.332,1e-05,0,0,13,['MF'],0.945,1
21,Nilson Castrillón,Tolima,1,-0.545,0.273,0.455,1,22.725,0.0,0.0,0.0,0.0,0.386,0.287,0.782,0.386,0.643,1.311,0.0,1.92,0.9,1.772,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.376,0.643,0.0,0.0,0.264,0.287,0.489,0.692,0.633,0.04,0.0,0,0,23,"['MF', 'DF']",0.897,2
22,Robin Ramírez,Tolima,1,0.0,0.4,0.45,1,29.965,0.4,0.218,0.0,0.218,1.245,0.843,0.357,0.0,1.549,1.005,0.583,0.671,0.9,0.458,0.0,0.0,0.0,1.227,0.914,0.727,0.0,0.8,1.194,1.349,1.2,0.0,1.743,0.7,1.939,0.396,1.507,1.333,1e-05,0,0,8,['FW'],0.235,4
23,Andrés Escobar,Tolima,0,-0.765,0.235,0.529,0,19.679,0.322,0.235,0.0,0.0,1.185,0.57,0.471,0.235,0.904,0.941,0.322,1.176,0.456,0.381,0.0,0.0,0.0,0.245,0.765,1.083,1e-05,0.0,0.686,0.677,0.464,1e-05,0.385,0.179,0.0,0.194,0.287,0.485,1e-05,0,0,13,['MF'],0.137,4
