,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera A,Apertura regular season,Home,W 1–0,AD Cali,Jaguares,Y,CB,90,0,0,0,0,0,0,0,0,2,3,0,1,1,3,0,,,Match Report
2,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-01-24,Sun,Primera A,Apertura regular season,Away,W 1–0,AD Cali,Pereira,Y,CB,90,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,,Match Report
3,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-01-29,Fri,Primera A,Apertura regular season,Home,D 1–1,AD Cali,Envigado,Y,CB,90,1,0,0,0,1,1,0,0,1,3,0,0,0,2,0,,,Match Report
4,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-02,Tue,Primera A,Apertura regular season,Away,W 1–0,AD Cali,Boyacá Chicó,Y,CB,45,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,,,Match Report
5,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-07,Sun,Primera A,Apertura regular season,Away,W 1–0,AD Cali,Boyacá Patriot,Y,CB,90,0,0,0,0,0,0,0,0,3,1,0,1,0,5,0,,,Match Report
6,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-13,Sat,Primera A,Apertura regular season,Home,W 1–0,AD Cali,Rionegro,Y,CB,90,0,0,0,0,2,0,1,0,2,2,0,0,1,1,0,,,Match Report
7,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-17,Wed,Primera A,Apertura regular season,Away,W 2–1,AD Cali,Junior,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
8,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-22,Mon,Primera A,Apertura regular season,Home,D 1–1,AD Cali,Alianza,Y,CB,90,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,,,Match Report
9,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-25,Thu,Primera A,Apertura regular season,Away,D 1–1,AD Cali,Independiente,Y,CB,90,1,0,0,0,1,1,0,0,3,0,0,0,1,0,0,,,Match Report
10,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-28,Sun,Primera A,Apertura regular season,Home,D 1–1,AD Cali,Santa Fe,Y,CB,90,0,0,0,0,1,1,1,0,1,0,0,0,2,2,0,,,Match Report
11,Jorge Enrique Arias,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-03-06,Sat,Primera A,Apertura regular season,Away,D 0–0,AD Cali,Once Caldas,Y,CB,77,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,,,Match Report
