,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera A,Apertura regular season,Home,W 1–0,AD Cali,Jaguares,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
2,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-01-24,Sun,Primera A,Apertura regular season,Away,W 1–0,AD Cali,Pereira,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
3,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-01-29,Fri,Primera A,Apertura regular season,Home,D 1–1,AD Cali,Envigado,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
4,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-02,Tue,Primera A,Apertura regular season,Away,W 1–0,AD Cali,Boyacá Chicó,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
5,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-07,Sun,Primera A,Apertura regular season,Away,W 1–0,AD Cali,Boyacá Patriot,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
6,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-13,Sat,Primera A,Apertura regular season,Home,W 1–0,AD Cali,Rionegro,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
7,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-17,Wed,Primera A,Apertura regular season,Away,W 2–1,AD Cali,Junior,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
8,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-22,Mon,Primera A,Apertura regular season,Home,D 1–1,AD Cali,Alianza,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
9,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-25,Thu,Primera A,Apertura regular season,Away,D 1–1,AD Cali,Independiente,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
10,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-02-28,Sun,Primera A,Apertura regular season,Home,D 1–1,AD Cali,Santa Fe,Y,GK,71,3,1,3,100.0,0,1,1,0,0,Match Report
11,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-03-11,Thu,Primera A,Apertura regular season,Home,L 0–2,AD Cali,CD América,Y,GK,90,4,2,3,75.0,0,1,1,0,0,Match Report
12,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-03-16,Tue,Sudamericana,First stage,Away,L 0–3,co AD Cali,co Tolima,Y,GK,90,3,3,1,33.3,0,1,1,0,0,Match Report
13,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-03-21,Sun,Primera A,Apertura regular season,Home,D 0–0,AD Cali,Tolima,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
14,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-03-25,Thu,Primera A,Apertura regular season,Away,L 0–1,AD Cali,CA Bucaramanga,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
15,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-03-29,Mon,Primera A,Apertura regular season,Home,D 1–1,AD Cali,Pasto,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
16,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-04-01,Thu,Primera A,Apertura regular season,Away,W 5–2,AD Cali,La Equidad,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
17,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-04-06,Tue,Sudamericana,First stage,Home,D 0–0,co AD Cali,co Tolima,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
18,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-04-10,Sat,Primera A,Apertura regular season,Home,W 1–0,AD Cali,Nacional,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
19,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-04-18,Sun,Primera A,Apertura regular season,Away,L 1–3,AD Cali,Millonarios,Y,GK,90,6,3,4,66.7,0,1,1,0,0,Match Report
20,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-04-25,Sun,Primera A,Quarter-finals,Away,L 0–3,AD Cali,Tolima,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report
21,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-06-04,Fri,Primera A,Quarter-finals,Home,W 2–0,AD Cali,Tolima,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
22,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-07-17,Sat,Primera A,Finalización regular season,Away,W 2–1,AD Cali,Santa Fe,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
23,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-07-25,Sun,Primera A,Finalización regular season,Home,D 0–0,AD Cali,Independiente,Y,GK,90,2,0,3,100.0,1,1,0,1,0,Match Report
24,Guillermo de Amores,AD Cali,https://www.fbref.com//en/squads/47538775/2021/s10991/AD-Cali-Stats-Categoria-Primera-A,2021-07-31,Sat,Primera A,Finalización regular season,Home,L 1–2,AD Cali,CA Bucaramanga,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report
