,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-01-20,Wed,Primera A,Apertura regular season,Home,D 2–2,Alianza,Pereira,Y,LB,90,0,0,0,0,0,0,1,0,1,2,0,2,1,0,0,,,Match Report
2,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-01-29,Fri,Primera A,Apertura regular season,Away,L 0–2,Alianza,Jaguares,Y,LB,90,0,0,0,0,0,0,1,0,3,1,0,2,0,0,0,,,Match Report
3,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-02-03,Wed,Primera A,Apertura regular season,Home,L 1–2,Alianza,Rionegro,Y,LB,90,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,,,Match Report
4,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-02-06,Sat,Primera A,Apertura regular season,Away,L 0–2,Alianza,Junior,Y,LB,90,0,0,0,0,2,0,0,0,2,1,0,3,4,1,0,,,Match Report
5,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-02-12,Fri,Primera A,Apertura regular season,Home,D 0–0,Alianza,Once Caldas,Y,LB,90,0,0,0,0,0,0,1,0,3,0,0,1,0,2,0,,,Match Report
6,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-02-16,Tue,Primera A,Apertura regular season,Away,L 1–3,Alianza,Boyacá Patriot,Y,LB,90,0,0,0,0,0,0,1,0,3,1,0,0,4,1,0,,,Match Report
7,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-02-22,Mon,Primera A,Apertura regular season,Away,D 1–1,Alianza,AD Cali,Y,LB,90,0,0,0,0,0,0,0,0,1,3,1,1,1,3,0,,,Match Report
8,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-02-25,Thu,Primera A,Apertura regular season,Home,L 0–5,Alianza,Tolima,Y,LB,90,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,,,Match Report
9,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-02,Tue,Primera A,Apertura regular season,Away,L 0–5,Alianza,Nacional,Y,LB,90,0,0,0,0,0,0,0,0,0,1,0,4,0,5,0,,,Match Report
10,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-09,Tue,Primera A,Apertura regular season,Home,L 0–2,Alianza,Millonarios,Y,LB,90,0,0,0,0,0,0,1,0,2,1,1,1,2,0,0,,,Match Report
11,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-22,Mon,Primera A,Apertura regular season,Home,L 1–3,Alianza,CA Bucaramanga,N,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
12,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-25,Thu,Primera A,Apertura regular season,Away,D 1–1,Alianza,La Equidad,Y,LM,90,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,,,Match Report
13,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-28,Sun,Primera A,Apertura regular season,Home,L 0–2,Alianza,CD América,Y,LB,90,0,0,0,0,2,0,0,0,1,0,0,4,0,1,0,,,Match Report
14,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-04-01,Thu,Primera A,Apertura regular season,Away,L 0–2,Alianza,Boyacá Chicó,Y,LB,90,0,0,0,0,0,0,1,0,2,0,0,4,1,0,1,,,Match Report
15,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-04-06,Tue,Primera A,Apertura regular season,Home,L 0–3,Alianza,Santa Fe,Y,LB,90,0,0,0,0,3,0,1,0,4,1,0,2,2,2,0,,,Match Report
16,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-04-10,Sat,Primera A,Apertura regular season,Away,D 2–2,Alianza,Independiente,Y,LB,67,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,,,Match Report
17,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-07-19,Mon,Primera A,Finalización regular season,Home,W 1–0,Alianza,La Equidad,Y,LB,90,0,0,0,0,0,0,0,0,1,2,0,3,0,1,0,,,Match Report
18,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-07-26,Mon,Primera A,Finalización regular season,Away,W 2–0,Alianza,Pereira,Y,LB,90,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,,,Match Report
19,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-07-31,Sat,Primera A,Finalización regular season,Away,D 1–1,Alianza,Tolima,Y,LB,90,0,1,0,0,0,0,0,0,0,4,0,4,2,0,0,,,Match Report
20,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-08-08,Sun,Primera A,Finalización regular season,Home,W 2–0,Alianza,Pasto,Y,LB,90,0,0,0,0,0,0,0,0,1,0,0,3,1,4,0,,,Match Report
21,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-08-14,Sat,Primera A,Finalización regular season,Away,L 1–2,Alianza,Envigado,Y,LB,90,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,,,Match Report
22,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-08-22,Sun,Primera A,Finalización regular season,Home,L 2–3,Alianza,AD Cali,Y,LB,90,0,0,0,0,0,0,1,0,1,0,2,5,2,2,0,,,Match Report
23,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-08-30,Mon,Primera A,Finalización regular season,Away,W 2–1,Alianza,CA Bucaramanga,Y,LB,90,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,,,Match Report
24,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-09-05,Sun,Primera A,Finalización regular season,Home,L 1–3,Alianza,Nacional,Y,LB,90,0,0,0,0,3,1,0,0,0,1,0,2,1,4,0,,,Match Report
25,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-09-11,Sat,Primera A,Finalización regular season,Away,D 1–1,Alianza,Santa Fe,Y,LB,90,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,,,Match Report
26,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-09-20,Mon,Primera A,Finalización regular season,Home,W 3–0,Alianza,Boyacá Patriot,Y,LB,90,0,0,0,0,1,0,0,0,3,1,1,3,4,3,0,,,Match Report
27,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-09-24,Fri,Primera A,Finalización regular season,Away,D 1–1,Alianza,Once Caldas,Y,LB,90,0,1,0,0,0,0,0,0,2,2,0,3,1,1,0,,,Match Report
28,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-03,Sun,Primera A,Finalización regular season,Home,D 1–1,Alianza,Jaguares,Y,LB,90,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,,,Match Report
29,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-08,Fri,Primera A,Finalización regular season,Away,L 0–1,Alianza,Rionegro,Y,LB,90,0,0,0,0,1,1,0,0,0,5,0,0,1,1,0,,,Match Report
30,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-17,Sun,Primera A,Finalización regular season,Home,W 2–0,Alianza,CA Bucaramanga,Y,LB,90,0,0,0,0,1,0,0,0,1,1,0,3,1,5,0,,,Match Report
31,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-22,Fri,Primera A,Finalización regular season,Away,L 0–1,Alianza,Deportes Quindío,Y,LB,90,0,0,0,0,2,0,0,0,0,0,0,4,2,2,0,,,Match Report
32,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-26,Tue,Primera A,Finalización regular season,Home,W 3–0,Alianza,Independiente,Y,LB,90,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,,,Match Report
33,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-31,Sun,Primera A,Finalización regular season,Away,D 1–1,Alianza,CD América,Y,LB,90,0,0,0,0,1,0,0,0,1,1,0,4,3,2,0,,,Match Report
34,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-11-06,Sat,Primera A,Finalización regular season,Home,W 1–0,Alianza,Atlético Huila,Y,LB,90,0,0,0,0,0,0,0,0,3,2,0,3,2,2,0,,,Match Report
35,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-11-14,Sun,Primera A,Finalización regular season,Away,D 1–1,Alianza,Millonarios,Y,LB,90,0,0,0,0,1,0,0,0,1,3,0,1,3,4,0,,,Match Report
36,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-11-21,Sun,Primera A,Finalización regular season,Home,D 1–1,Alianza,Junior,Y,LB,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,Match Report
37,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-11-28,Sun,Primera A,Semi-finals,Home,L 1–4,Alianza,Tolima,Y,LB,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Match Report
38,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-02,Thu,Primera A,Semi-finals,Away,L 0–3,Alianza,Millonarios,Y,LB,90,0,0,0,0,1,1,1,0,2,0,0,1,0,2,0,,,Match Report
39,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-05,Sun,Primera A,Semi-finals,Home,W 2–1,Alianza,CD América,Y,LB,90,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,,,Match Report
40,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-09,Thu,Primera A,Semi-finals,Away,L 1–2,Alianza,CD América,Y,LB,90,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,,,Match Report
41,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-12,Sun,Primera A,Semi-finals,Home,L 0–1,Alianza,Millonarios,Y,LB,90,0,0,0,0,0,0,0,0,2,1,0,3,2,2,0,,,Match Report
42,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-16,Thu,Primera A,Semi-finals,Away,D 2–2,Alianza,Tolima,Y,LB,90,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,,,Match Report
43,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/024b201d/2020/s10076/Jaguares-Stats-Categoria-Primera-A,2020-09-20,Sun,Primera A,First stage,Away,L 0–2,Jaguares,Pasto,Y,LB,90,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,,,Match Report
44,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/024b201d/2020/s10076/Jaguares-Stats-Categoria-Primera-A,2020-09-25,Fri,Primera A,First stage,Home,W 2–0,Jaguares,La Equidad,Y,LB,90,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,,,Match Report
45,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/024b201d/2020/s10076/Jaguares-Stats-Categoria-Primera-A,2020-10-03,Sat,Primera A,First stage,Home,D 0–0,Jaguares,AD Cali,Y,LB,90,0,0,0,0,0,0,0,0,2,1,1,1,3,1,0,,,Match Report
46,Leonardo Saldaña,Alianza,https://www.fbref.com//en/squads/024b201d/2020/s10076/Jaguares-Stats-Categoria-Primera-A,2020-10-08,Thu,Primera A,First stage,Away,L 0–1,Jaguares,Boyacá Chicó,Y,LB,90,0,0,0,0,0,0,0,0,0,2,0,5,0,2,0,,,Match Report
