,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera A,Apertura regular season,Away,L 0–1,Jaguares,AD Cali,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
2,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-01-24,Sun,Primera A,Apertura regular season,Home,W 2–1,Jaguares,CA Bucaramanga,Y,GK,90,8,1,7,87.5,0,0,0,0,0,Match Report
3,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-01-29,Fri,Primera A,Apertura regular season,Home,W 2–0,Jaguares,Alianza,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
4,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-02-02,Tue,Primera A,Apertura regular season,Away,D 1–1,Jaguares,Envigado,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
5,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-02-07,Sun,Primera A,Apertura regular season,Home,L 0–1,Jaguares,Santa Fe,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
6,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-02-14,Sun,Primera A,Apertura regular season,Away,L 0–1,Jaguares,Independiente,Y,GK,90,6,1,6,100.0,0,1,1,0,0,Match Report
7,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-19,Fri,Primera A,Apertura regular season,Home,L 0–2,Jaguares,Rionegro,Y,GK,90,1,2,0,0.0,0,1,1,0,0,Match Report
8,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-24,Wed,Primera A,Apertura regular season,Away,L 1–3,Jaguares,Nacional,Y,GK,90,5,3,3,60.0,0,1,1,0,0,Match Report
9,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-30,Tue,Primera A,Apertura regular season,Home,L 0–2,Jaguares,Junior,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
10,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-04-05,Mon,Primera A,Apertura regular season,Away,W 2–1,Jaguares,Once Caldas,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
11,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-04-10,Sat,Primera A,Apertura regular season,Home,D 0–0,Jaguares,CD América,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
12,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-04-18,Sun,Primera A,Apertura regular season,Away,D 0–0,Jaguares,Boyacá Chicó,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
13,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-07-19,Mon,Primera A,Finalización regular season,Home,W 1–0,Alianza,La Equidad,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
14,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-07-26,Mon,Primera A,Finalización regular season,Away,W 2–0,Alianza,Pereira,Y,GK,90,2,0,3,100.0,1,1,0,1,0,Match Report
15,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-07-31,Sat,Primera A,Finalización regular season,Away,D 1–1,Alianza,Tolima,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
16,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-08-08,Sun,Primera A,Finalización regular season,Home,W 2–0,Alianza,Pasto,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
17,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-08-14,Sat,Primera A,Finalización regular season,Away,L 1–2,Alianza,Envigado,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
18,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-08-22,Sun,Primera A,Finalización regular season,Home,L 2–3,Alianza,AD Cali,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report
19,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-08-30,Mon,Primera A,Finalización regular season,Away,W 2–1,Alianza,CA Bucaramanga,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
20,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-09-05,Sun,Primera A,Finalización regular season,Home,L 1–3,Alianza,Nacional,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report
21,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-09-11,Sat,Primera A,Finalización regular season,Away,D 1–1,Alianza,Santa Fe,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
