,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-01-30,Sat,Primera A,Apertura regular season,Home,D 1–1,Boyacá Patriot,Boyacá Chicó,Y,CB,90,0,0,0,0,0,0,0,0,3,2,0,4,1,4,0,,,Match Report
2,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-02-04,Thu,Primera A,Apertura regular season,Away,L 0–1,Boyacá Patriot,Santa Fe,Y,LB,78,0,0,0,0,0,0,0,0,0,1,0,2,1,6,0,,,Match Report
3,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-02-07,Sun,Primera A,Apertura regular season,Home,L 0–1,Boyacá Patriot,AD Cali,Y,LB,86,0,0,0,0,3,1,0,0,2,0,0,2,1,1,0,,,Match Report
4,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-02-12,Fri,Primera A,Apertura regular season,Away,W 2–1,Boyacá Patriot,Pereira,Y,LB,90,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,,,Match Report
5,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-02-16,Tue,Primera A,Apertura regular season,Home,W 3–1,Boyacá Patriot,Alianza,Y,LB,90,0,1,0,0,0,0,0,0,1,0,0,3,1,1,0,,,Match Report
6,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-02-19,Fri,Primera A,Apertura regular season,Away,L 1–3,Boyacá Patriot,Tolima,Y,LB,90,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,,,Match Report
7,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-02-27,Sat,Primera A,Apertura regular season,Home,W 1–0,Boyacá Patriot,Junior,Y,LB,90,0,0,0,0,0,0,0,0,2,0,0,4,1,3,0,,,Match Report
8,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-03-03,Wed,Primera A,Apertura regular season,Home,L 0–1,Boyacá Patriot,CD América,Y,LB,90,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,,,Match Report
9,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-03-07,Sun,Primera A,Apertura regular season,Away,L 2–3,Boyacá Patriot,Jaguares,Y,CB,90,1,0,0,0,1,1,0,0,1,0,0,0,2,1,0,,,Match Report
10,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-03-13,Sat,Primera A,Apertura regular season,Home,L 0–2,Boyacá Patriot,Millonarios,Y,LB,90,0,0,0,0,1,0,0,0,0,1,2,1,3,3,0,,,Match Report
11,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-03-22,Mon,Primera A,Apertura regular season,Home,L 1–2,Boyacá Patriot,La Equidad,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,,,Match Report
12,Yonatan Murillo,Boyacá Patriot,https://www.fbref.com//en/squads/b075ba2a/2021/s10991/Boyaca-Patriot-Stats-Categoria-Primera-A,2021-03-25,Thu,Primera A,Apertura regular season,Away,L 0–1,Boyacá Patriot,Pasto,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,,,Match Report
