,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,Carlos Mosquera,Boyacá Patriot,2020-09-26,Sat,Primera A,First stage,Away,D 1–1,Boyacá Patriot,CA Bucaramanga,Y,GK,90,5,1,5,100.0,0,1,1,0,0,Match Report
2,Carlos Mosquera,Boyacá Patriot,2020-10-04,Sun,Primera A,First stage,Home,D 0–0,Boyacá Patriot,Junior,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
3,Carlos Mosquera,Boyacá Patriot,2020-10-08,Thu,Primera A,First stage,Away,L 0–3,Boyacá Patriot,Rionegro,Y,GK,90,7,3,5,71.4,0,1,1,0,0,Match Report
4,Carlos Mosquera,Boyacá Patriot,2020-10-11,Sun,Primera A,First stage,Away,L 0–3,Boyacá Patriot,CD América,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report
5,Carlos Mosquera,Boyacá Patriot,2020-10-14,Wed,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Pasto,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
6,Carlos Mosquera,Boyacá Patriot,2020-10-17,Sat,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Millonarios,Y,GK,90,10,1,9,90.0,0,0,0,0,0,Match Report
7,Carlos Mosquera,Boyacá Patriot,2020-10-25,Sun,Primera A,First stage,Home,W 2–1,Boyacá Patriot,Nacional,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
8,Carlos Mosquera,Boyacá Patriot,2020-11-03,Tue,Primera A,First stage,Away,D 0–0,Boyacá Patriot,Alianza,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
9,Carlos Mosquera,Boyacá Patriot,2020-11-07,Sat,Primera A,First stage,Home,W 1–0,Boyacá Patriot,Pereira,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
10,Carlos Mosquera,Boyacá Patriot,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,Boyacá Patriot,La Equidad,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
11,Carlos Mosquera,Boyacá Patriot,2020-11-14,Sat,Primera A,First stage,Home,W 2–0,Boyacá Patriot,Jaguares,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
12,Carlos Mosquera,Boyacá Patriot,2020-11-30,Mon,Primera A,Liguilla,Away,W 3–1,Boyacá Patriot,Boyacá Chicó,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
13,Carlos Mosquera,Boyacá Patriot,2020-12-04,Fri,Primera A,Liguilla,Home,L 2–3,Boyacá Patriot,Millonarios,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report
14,Eder Chaux,Boyacá Patriot,2019-01-25,Fri,Primera A,Apertura Regular Season,Home,W 2–1,Boyacá Patriot,Independiente,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
15,Eder Chaux,Boyacá Patriot,2019-01-30,Wed,Primera A,Apertura Regular Season,Away,L 1–3,Boyacá Patriot,Junior,Y,GK,90,9,3,6,66.7,0,0,0,0,0,Match Report
16,Eder Chaux,Boyacá Patriot,2019-02-03,Sun,Primera A,Apertura Regular Season,Home,D 1–1,Boyacá Patriot,CD América,Y*,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
17,Eder Chaux,Boyacá Patriot,2019-02-10,Sun,Primera A,Apertura Regular Season,Away,L 1–2,Boyacá Patriot,Rionegro,Y,GK,90,7,2,5,71.4,0,0,0,0,0,Match Report
18,Eder Chaux,Boyacá Patriot,2019-02-17,Sun,Primera A,Apertura Regular Season,Home,D 1–1,Boyacá Patriot,Santa Fe,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
19,Eder Chaux,Boyacá Patriot,2019-02-23,Sat,Primera A,Apertura Regular Season,Away,D 0–0,Boyacá Patriot,Envigado,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
20,Eder Chaux,Boyacá Patriot,2019-02-27,Wed,Primera A,Apertura Regular Season,Home,W 1–0,Boyacá Patriot,Once Caldas,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
21,Eder Chaux,Boyacá Patriot,2019-03-02,Sat,Primera A,Apertura Regular Season,Away,W 1–0,Boyacá Patriot,CA Bucaramanga,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
