,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Germán Andrés Gutiérrez,CA Bucaramanga,2020-01-25,Sat,Primera A,First stage,Home,L 0–2,CA Bucaramanga,AD Cali,Y,LB,90,0,0,0,0,2,1,0,0,1,1,0,2,1,2,0,,,Match Report
2,Germán Andrés Gutiérrez,CA Bucaramanga,2020-01-28,Tue,Primera A,First stage,Away,D 1–1,CA Bucaramanga,Once Caldas,Y,LB,90,0,0,0,0,0,0,0,0,1,1,1,0,1,4,0,,,Match Report
3,Germán Andrés Gutiérrez,CA Bucaramanga,2020-02-01,Sat,Primera A,First stage,Home,D 0–0,CA Bucaramanga,Tolima,Y,LB,90,0,0,0,0,3,0,1,0,3,2,0,2,2,3,0,,,Match Report
4,Germán Andrés Gutiérrez,CA Bucaramanga,2020-02-07,Fri,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Pasto,Y,LB,90,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,,,Match Report
5,Germán Andrés Gutiérrez,CA Bucaramanga,2020-02-16,Sun,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Envigado,Y,LB,90,0,0,0,0,0,0,0,0,2,1,0,2,0,2,0,,,Match Report
6,Germán Andrés Gutiérrez,CA Bucaramanga,2020-02-23,Sun,Primera A,First stage,Home,W 2–0,CA Bucaramanga,Rionegro,Y,LB,90,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,,,Match Report
7,Germán Andrés Gutiérrez,CA Bucaramanga,2020-03-01,Sun,Primera A,First stage,Away,W 1–0,CA Bucaramanga,Cúcuta,Y,LB,90,0,0,0,0,0,0,1,0,3,0,0,2,1,6,0,,,Match Report
8,Germán Andrés Gutiérrez,CA Bucaramanga,2020-03-07,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Junior,Y,LB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,Match Report
9,Germán Andrés Gutiérrez,CA Bucaramanga,2020-09-20,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,CD América,Y*,LB,90,0,0,0,0,1,0,1,0,4,1,0,0,1,2,0,,,Match Report
10,Germán Andrés Gutiérrez,CA Bucaramanga,2020-09-26,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Boyacá Patriot,Y*,LB,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Match Report
11,Germán Andrés Gutiérrez,CA Bucaramanga,2020-10-02,Fri,Primera A,First stage,Away,D 0–0,CA Bucaramanga,Millonarios,Y*,LB,90,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,,,Match Report
12,Germán Andrés Gutiérrez,CA Bucaramanga,2020-10-06,Tue,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Nacional,Y*,LB,90,1,0,0,0,1,1,0,0,2,2,0,1,3,2,0,,,Match Report
13,Germán Andrés Gutiérrez,CA Bucaramanga,2020-10-12,Mon,Primera A,First stage,Away,W 2–1,CA Bucaramanga,Alianza,Y*,LB,90,0,0,0,0,0,0,0,0,0,3,0,1,1,5,0,,,Match Report
14,Germán Andrés Gutiérrez,CA Bucaramanga,2020-10-15,Thu,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Pereira,Y*,LB,90,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,,,Match Report
15,Germán Andrés Gutiérrez,CA Bucaramanga,2020-10-18,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,La Equidad,Y*,LB,90,0,0,0,0,0,0,0,0,3,3,0,0,1,2,0,,,Match Report
16,Germán Andrés Gutiérrez,CA Bucaramanga,2020-10-26,Mon,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Cúcuta,Y*,LB,90,0,0,0,0,1,0,0,0,2,2,0,3,0,5,0,,,Match Report
17,Germán Andrés Gutiérrez,CA Bucaramanga,2020-11-02,Mon,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Boyacá Chicó,Y*,LB,90,0,0,0,0,0,0,1,0,1,2,0,0,1,3,0,,,Match Report
18,Germán Andrés Gutiérrez,CA Bucaramanga,2020-11-07,Sat,Primera A,First stage,Home,D 2–2,CA Bucaramanga,Jaguares,Y*,LB,90,0,0,0,0,3,0,0,0,0,3,0,2,1,2,0,,,Match Report
19,Germán Andrés Gutiérrez,CA Bucaramanga,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Independiente,Y*,LB,90,0,0,0,0,1,0,0,0,0,2,0,3,1,4,0,,,Match Report
20,Germán Andrés Gutiérrez,CA Bucaramanga,2020-11-14,Sat,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Santa Fe,Y*,LB,90,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,,,Match Report
21,Germán Andrés Gutiérrez,CA Bucaramanga,2020-11-26,Thu,Primera A,Liguilla,Home,W 3–2,CA Bucaramanga,Alianza,Y*,LB,90,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,,,Match Report
22,Germán Andrés Gutiérrez,CA Bucaramanga,2020-12-16,Wed,Primera A,Semi-finals,Away,D 1 (2)–1 (3),CA Bucaramanga,Pereira,Y*,LB,120,0,0,0,0,2,0,0,0,2,1,0,1,1,1,0,,,Match Report
23,Homer Martínez,CA Bucaramanga,2020-01-25,Sat,Primera A,First stage,Home,L 0–2,CA Bucaramanga,AD Cali,Y,DM,90,0,0,0,0,2,0,0,0,3,2,1,2,3,3,0,,,Match Report
24,Homer Martínez,CA Bucaramanga,2020-01-28,Tue,Primera A,First stage,Away,D 1–1,CA Bucaramanga,Once Caldas,Y,DM,86,0,0,0,0,0,0,1,0,3,0,0,0,3,1,0,,,Match Report
25,Homer Martínez,CA Bucaramanga,2020-02-01,Sat,Primera A,First stage,Home,D 0–0,CA Bucaramanga,Tolima,Y,DM,90,0,0,0,0,2,1,0,0,3,0,0,0,3,5,0,,,Match Report
