,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,Jefferson Martinez,CA Bucaramanga,2020-02-15,Sat,Primera A,First stage,Home,W 2–1,Millonarios,Boyacá Chicó,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
2,Jefferson Martinez,CA Bucaramanga,2020-09-20,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,CD América,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
3,Jefferson Martinez,CA Bucaramanga,2020-09-26,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Boyacá Patriot,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
4,Jefferson Martinez,CA Bucaramanga,2020-10-02,Fri,Primera A,First stage,Away,D 0–0,CA Bucaramanga,Millonarios,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
5,Jefferson Martinez,CA Bucaramanga,2020-10-06,Tue,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Nacional,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
6,Jefferson Martinez,CA Bucaramanga,2020-10-12,Mon,Primera A,First stage,Away,W 2–1,CA Bucaramanga,Alianza,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
7,Jefferson Martinez,CA Bucaramanga,2020-10-15,Thu,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Pereira,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
8,Jefferson Martinez,CA Bucaramanga,2020-10-18,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,La Equidad,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
9,Jefferson Martinez,CA Bucaramanga,2020-10-26,Mon,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Cúcuta,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
10,Jefferson Martinez,CA Bucaramanga,2020-11-02,Mon,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Boyacá Chicó,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
11,Jefferson Martinez,CA Bucaramanga,2020-11-07,Sat,Primera A,First stage,Home,D 2–2,CA Bucaramanga,Jaguares,Y,GK,90,8,2,6,75.0,0,0,0,0,0,Match Report
