,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Jáder Maza,Envigado,https://www.fbref.com//en/squads/67cdee3a/2021/s10991/Envigado-Stats-Categoria-Primera-A,2021-01-16,Sat,Primera A,Apertura regular season,Away,L 0–1,Envigado,Millonarios,Y,AM,74,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,Match Report
2,Jáder Maza,Envigado,https://www.fbref.com//en/squads/67cdee3a/2021/s10991/Envigado-Stats-Categoria-Primera-A,2021-01-23,Sat,Primera A,Apertura regular season,Home,L 0–1,Envigado,Pasto,Y,AM,67,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,Match Report
3,Jáder Maza,Envigado,https://www.fbref.com//en/squads/67cdee3a/2021/s10991/Envigado-Stats-Categoria-Primera-A,2021-01-29,Fri,Primera A,Apertura regular season,Away,D 1–1,Envigado,AD Cali,Y,FW,77,0,0,0,0,0,0,1,0,3,1,0,3,0,0,0,,,Match Report
4,Jáder Maza,Envigado,https://www.fbref.com//en/squads/67cdee3a/2021/s10991/Envigado-Stats-Categoria-Primera-A,2021-02-02,Tue,Primera A,Apertura regular season,Home,D 1–1,Envigado,Jaguares,Y,AM,82,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,,,Match Report
5,Jáder Maza,Envigado,https://www.fbref.com//en/squads/67cdee3a/2021/s10991/Envigado-Stats-Categoria-Primera-A,2021-02-06,Sat,Primera A,Apertura regular season,Away,L 1–3,Envigado,Once Caldas,Y,AM,90,0,0,0,0,0,0,0,0,1,4,0,1,2,0,0,,,Match Report
6,Jáder Maza,Envigado,https://www.fbref.com//en/squads/67cdee3a/2021/s10991/Envigado-Stats-Categoria-Primera-A,2021-02-13,Sat,Primera A,Apertura regular season,Home,D 2–2,Envigado,Junior,N,,21,1,0,0,0,2,2,0,0,0,0,0,3,0,0,0,,,Match Report
7,Jáder Maza,Envigado,https://www.fbref.com//en/squads/67cdee3a/2021/s10991/Envigado-Stats-Categoria-Primera-A,2021-02-17,Wed,Primera A,Apertura regular season,Away,D 1–1,Envigado,Rionegro,N,,36,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,,,Match Report
8,Jáder Maza,Envigado,https://www.fbref.com//en/squads/67cdee3a/2021/s10991/Envigado-Stats-Categoria-Primera-A,2021-02-20,Sat,Primera A,Apertura regular season,Home,W 1–0,Envigado,CA Bucaramanga,Y,LM,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Match Report
9,Jáder Maza,Envigado,https://www.fbref.com//en/squads/67cdee3a/2021/s10991/Envigado-Stats-Categoria-Primera-A,2021-02-24,Wed,Primera A,Apertura regular season,Away,D 0–0,Envigado,CD América,Y,LM,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Match Report
