,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/67cdee3a/2019/s3927/Envigado-Stats-Categoria-Primera-A,2019-07-27,Sat,Primera A,Regular season,Home,W 4–1,Envigado,Cúcuta,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
2,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/67cdee3a/2019/s3927/Envigado-Stats-Categoria-Primera-A,2019-08-04,Sun,Primera A,Regular season,Away,L 0–1,Envigado,Alianza,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
3,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/67cdee3a/2019/s3927/Envigado-Stats-Categoria-Primera-A,2019-08-10,Sat,Primera A,Regular season,Home,W 2–1,Envigado,Tolima,Y,GK,90,3,1,3,100.0,0,1,1,0,0,Match Report
4,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/67cdee3a/2019/s3927/Envigado-Stats-Categoria-Primera-A,2019-08-16,Fri,Primera A,Regular season,Away,L 0–3,Envigado,Boyacá Patriot,Y,GK,90,4,3,1,25.0,0,0,0,0,0,Match Report
5,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/67cdee3a/2019/s3927/Envigado-Stats-Categoria-Primera-A,2019-08-21,Wed,Primera A,Regular season,Home,D 0–0,Envigado,Junior,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
6,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/67cdee3a/2019/s3927/Envigado-Stats-Categoria-Primera-A,2019-08-25,Sun,Primera A,Regular season,Away,L 0–1,Envigado,CD América,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
7,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/67cdee3a/2019/s3927/Envigado-Stats-Categoria-Primera-A,2019-08-31,Sat,Primera A,Regular season,Home,D 3–3,Envigado,Rionegro,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report
8,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/67cdee3a/2019/s3927/Envigado-Stats-Categoria-Primera-A,2019-09-07,Sat,Primera A,Regular season,Away,D 1–1,Envigado,Rionegro,Y,GK,90,3,1,3,100.0,0,1,1,0,0,Match Report
9,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/67cdee3a/2019/s3927/Envigado-Stats-Categoria-Primera-A,2019-09-15,Sun,Primera A,Regular season,Home,L 2–4,Envigado,Independiente,Y,GK,90,6,4,3,50.0,0,1,1,0,0,Match Report
10,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-02-03,Sat,Primera A,Apertura Regular Season,Away,D 0–0,Pasto,Rionegro,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
11,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-02-11,Sun,Primera A,Apertura Regular Season,Home,W 2–0,Pasto,Junior,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
12,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-02-15,Thu,Primera A,Apertura Regular Season,Away,L 0–3,Pasto,Once Caldas,Y,GK,90,7,3,4,57.1,0,0,0,0,0,Match Report
13,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-02-20,Tue,Primera A,Apertura Regular Season,Home,D 0–0,Pasto,La Equidad,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
14,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-02-23,Fri,Primera A,Apertura Regular Season,Away,L 1–2,Pasto,Leones FC,Y,GK,90,4,2,3,75.0,0,1,1,0,0,Match Report
15,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-03-04,Sun,Primera A,Apertura Regular Season,Home,D 1–1,Pasto,Tolima,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
16,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-03-08,Thu,Primera A,Apertura Regular Season,Away,L 0–1,Pasto,Santa Fe,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
17,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-03-14,Wed,Primera A,Apertura Regular Season,Home,D 1–1,Pasto,Boyacá Patriot,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
18,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-03-17,Sat,Primera A,Apertura Regular Season,Away,L 0–2,Pasto,Nacional,Y,GK,90,9,2,7,77.8,0,0,0,0,0,Match Report
19,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-03-24,Sat,Primera A,Apertura Regular Season,Home,W 2–0,Pasto,CD América,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
20,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-03-29,Thu,Primera A,Apertura Regular Season,Away,W 2–0,Pasto,Alianza,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
21,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-04-01,Sun,Primera A,Apertura Regular Season,Home,L 0–1,Pasto,Jaguares,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
22,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-04-07,Sat,Primera A,Apertura Regular Season,Away,L 1–3,Pasto,CA Bucaramanga,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report
23,Ernesto Hernández,Envigado,https://www.fbref.com//en/squads/72f9f06e/2018/s1765/Pasto-Stats-Categoria-Primera-A,2018-04-10,Tue,Primera A,Apertura Regular Season,Away,L 0–2,Pasto,Millonarios,Y,GK,90,4,2,3,75.0,0,1,1,0,0,Match Report
