,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera A,Apertura regular season,Away,D 2–2,La Equidad,Pasto,Y,AM,85,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,,,Match Report
2,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-01-25,Mon,Primera A,Apertura regular season,Home,W 1–0,La Equidad,Nacional,Y,AM,90,0,1,0,0,1,1,0,0,2,3,0,2,0,0,0,,,Match Report
3,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-01-31,Sun,Primera A,Apertura regular season,Away,L 0–1,La Equidad,Tolima,Y,AM,63,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,,,Match Report
4,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-02-03,Wed,Primera A,Apertura regular season,Home,W 1–0,La Equidad,Junior,Y,AM,80,0,0,0,0,1,1,1,0,2,0,1,1,2,1,0,,,Match Report
5,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-02-08,Mon,Primera A,Apertura regular season,Away,D 0–0,La Equidad,CA Bucaramanga,Y,AM,81,0,0,0,0,1,1,0,0,1,4,0,3,0,0,0,,,Match Report
6,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-02-13,Sat,Primera A,Apertura regular season,Home,W 1–0,La Equidad,Millonarios,Y,LW,90,0,1,0,0,0,0,0,0,1,4,1,2,2,0,0,,,Match Report
7,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-02-18,Thu,Primera A,Apertura regular season,Away,L 1–2,La Equidad,Jaguares,N,,45,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,Match Report
8,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-02-21,Sun,Primera A,Apertura regular season,Home,D 0–0,La Equidad,Once Caldas,Y,LW,85,0,0,0,0,4,0,0,0,0,2,0,2,0,1,0,,,Match Report
9,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-02-24,Wed,Primera A,Apertura regular season,Away,W 2–1,La Equidad,Rionegro,Y,RW,76,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,,,Match Report
10,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-02-27,Sat,Primera A,Apertura regular season,Home,W 2–1,La Equidad,Boyacá Chicó,Y,AM,90,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,,,Match Report
11,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-03-05,Fri,Primera A,Apertura regular season,Away,D 1–1,La Equidad,Independiente,Y,RW,74,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,Match Report
12,Daniel Mantilla,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-03-12,Fri,Primera A,Apertura regular season,Home,W 3–1,La Equidad,Envigado,N,,29,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,Match Report
