,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-04-04,Sun,Primera A,Apertura regular season,Away,W 1–0,La Equidad,CD América,Y,GK,90,7,0,6,100.0,1,0,0,0,0,Match Report
2,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-04-08,Thu,Sudamericana,First stage,Away,W 2–0,co La Equidad,co Pasto,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
3,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-04-18,Sun,Primera A,Apertura regular season,Home,L 1–2,La Equidad,Santa Fe,Y,GK,90,10,2,8,80.0,0,0,0,0,0,Match Report
4,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-04-29,Thu,Sudamericana,Group stage,Home,W 2–1,co La Equidad,ve Aragua,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
5,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-05-13,Thu,Sudamericana,Group stage,Away,W 2–1,co La Equidad,ve Aragua,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
6,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-05-27,Thu,Sudamericana,Group stage,Home,D 0–0,co La Equidad,br Grêmio,Y,GK,90,0,0,0,,1,1,0,1,0,Match Report
7,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-07-19,Mon,Primera A,Finalización regular season,Away,L 0–1,La Equidad,Alianza,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
8,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-09-04,Sat,Primera A,Finalización regular season,Home,W 1–0,La Equidad,Jaguares,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
9,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-09-12,Sun,Primera A,Finalización regular season,Away,L 0–2,La Equidad,Nacional,Y,GK,90,8,2,6,75.0,0,0,0,0,0,Match Report
10,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-09-20,Mon,Primera A,Finalización regular season,Home,D 1–1,La Equidad,Pereira,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
11,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-09-27,Mon,Primera A,Finalización regular season,Away,D 1–1,La Equidad,Atlético Huila,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
12,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-10-27,Wed,Primera A,Finalización regular season,Home,D 2–2,La Equidad,Rionegro,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
13,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-10-30,Sat,Primera A,Finalización regular season,Away,W 1–0,La Equidad,Millonarios,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
14,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-11-06,Sat,Primera A,Finalización regular season,Home,W 2–1,La Equidad,CD América,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
15,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-11-17,Wed,Primera A,Finalización regular season,Away,L 0–1,La Equidad,Junior,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
16,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/16b2606a/2021/s10991/La-Equidad-Stats-Categoria-Primera-A,2021-11-21,Sun,Primera A,Finalización regular season,Home,W 2–0,La Equidad,CA Bucaramanga,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
17,Sergio Roman Palacios,La Equidad,https://www.fbref.com//en/squads/af8be55a/2020/s10076/Once-Caldas-Stats-Categoria-Primera-A,2020-01-24,Fri,Primera A,First stage,Home,D 0–0,Once Caldas,Santa Fe,N,,56,0,0,0,,1,0,0,0,0,Match Report
