,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-01-22,Fri,Primera A,Apertura regular season,Home,W 2–1,Independiente,Boyacá Patriot,Y,RB,90,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,,,Match Report
2,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-02-04,Thu,Primera A,Apertura regular season,Home,D 0–0,Independiente,Millonarios,Y,RB,90,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,,,Match Report
3,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-02-14,Sun,Primera A,Apertura regular season,Home,W 1–0,Independiente,Jaguares,Y,RB,90,0,0,0,0,0,0,0,0,2,2,0,3,4,5,0,,,Match Report
4,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-02-17,Wed,Primera A,Apertura regular season,Home,W 1–0,Independiente,Boyacá Chicó,Y,RB,90,0,0,0,0,0,0,1,0,3,0,0,1,2,4,0,,,Match Report
5,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-02-21,Sun,Primera A,Apertura regular season,Away,D 0–0,Independiente,Santa Fe,Y,RB,90,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,,,Match Report
6,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-02-25,Thu,Primera A,Apertura regular season,Home,D 1–1,Independiente,AD Cali,Y,RB,90,0,0,0,0,1,0,0,0,3,1,0,2,5,0,0,,,Match Report
7,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-02-28,Sun,Primera A,Apertura regular season,Away,D 1–1,Independiente,Envigado,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,,,Match Report
8,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-03-05,Fri,Primera A,Apertura regular season,Home,D 1–1,Independiente,La Equidad,Y,RB,90,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,,,Match Report
9,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-03-14,Sun,Primera A,Apertura regular season,Away,W 2–0,Independiente,Rionegro,Y,RB,90,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,,,Match Report
10,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-03-21,Sun,Primera A,Apertura regular season,Home,D 2–2,Independiente,Pasto,Y,LB,90,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,,,Match Report
11,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-03-24,Wed,Primera A,Apertura regular season,Away,W 2–1,Independiente,CD América,Y,LB,90,0,0,0,0,0,0,0,0,2,2,0,0,2,3,0,,,Match Report
12,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-03-27,Sat,Primera A,Apertura regular season,Home,D 0–0,Independiente,Nacional,Y,LB,90,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,,,Match Report
13,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-04-10,Sat,Primera A,Apertura regular season,Home,D 2–2,Independiente,Alianza,Y,RB,90,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,,,Match Report
14,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-04-18,Sun,Primera A,Apertura regular season,Away,L 0–2,Independiente,Once Caldas,Y,RB,90,0,0,0,0,0,0,0,0,1,2,0,4,2,3,0,,,Match Report
15,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-07-16,Fri,Primera A,Finalización regular season,Home,D 1–1,Independiente,Rionegro,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,,,Match Report
16,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-07-25,Sun,Primera A,Finalización regular season,Away,D 0–0,Independiente,AD Cali,Y,RB,90,0,0,0,0,1,1,0,0,2,1,0,2,1,1,0,,,Match Report
17,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-07-31,Sat,Primera A,Finalización regular season,Home,D 0–0,Independiente,Junior,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0,,,Match Report
18,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-08-08,Sun,Primera A,Finalización regular season,Away,D 0–0,Independiente,La Equidad,Y,RB,90,0,0,0,0,0,0,1,0,4,0,0,0,2,2,0,,,Match Report
19,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-08-14,Sat,Primera A,Finalización regular season,Home,W 2–0,Independiente,CD América,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,4,2,7,0,,,Match Report
20,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-08-21,Sat,Primera A,Finalización regular season,Away,L 0–2,Independiente,Millonarios,Y,RB,90,0,0,0,0,1,1,0,0,1,0,0,2,2,5,0,,,Match Report
21,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-08-28,Sat,Primera A,Finalización regular season,Away,L 1–3,Independiente,Atlético Huila,Y,RB,90,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,,,Match Report
22,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-09-05,Sun,Primera A,Finalización regular season,Home,D 0–0,Independiente,Santa Fe,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,,,Match Report
23,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-09-10,Fri,Primera A,Finalización regular season,Away,W 1–0,Independiente,Jaguares,Y,RB,90,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,,,Match Report
24,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-09-17,Fri,Primera A,Finalización regular season,Home,W 3–1,Independiente,Once Caldas,Y,RB,90,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,,,Match Report
25,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-09-26,Sun,Primera A,Finalización regular season,Away,L 0–1,Independiente,Deportes Quindío,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,,,Match Report
26,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-10-03,Sun,Primera A,Finalización regular season,Home,W 1–0,Independiente,CA Bucaramanga,Y,RB,81,0,0,0,0,0,0,0,1,2,1,0,4,1,1,0,,,Match Report
27,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-10-16,Sat,Primera A,Finalización regular season,Away,D 1–1,Independiente,Nacional,Y,RB,90,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,,,Match Report
28,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-10-23,Sat,Primera A,Finalización regular season,Home,D 2–2,Independiente,Tolima,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,,,Match Report
29,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-10-26,Tue,Primera A,Finalización regular season,Away,L 0–3,Independiente,Alianza,Y,RB,90,0,0,0,0,1,0,0,0,0,0,0,5,2,3,0,,,Match Report
30,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-10-31,Sun,Primera A,Finalización regular season,Home,D 0–0,Independiente,Pereira,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,,,Match Report
31,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-11-07,Sun,Primera A,Finalización regular season,Away,W 1–0,Independiente,Boyacá Patriot,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,Match Report
32,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-11-14,Sun,Primera A,Finalización regular season,Home,D 0–0,Independiente,Nacional,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Match Report
33,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/70068101/2021/s10991/Independiente-Stats-Categoria-Primera-A,2021-11-21,Sun,Primera A,Finalización regular season,Away,D 1–1,Independiente,Pasto,Y,LB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,Match Report
34,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-01-26,Sun,Primera A,First stage,Away,W 2–1,Pasto,Millonarios,Y,RB,90,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,,,Match Report
35,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-03,Mon,Primera A,First stage,Away,W 1–0,Pasto,Alianza,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,,,Match Report
36,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-07,Fri,Primera A,First stage,Home,W 4–0,Pasto,CA Bucaramanga,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,,,Match Report
37,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-12,Wed,Sudamericana,First stage,Away,L 0–1,co Pasto,cl Huachipato,Y,RB,90,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,,,Match Report
38,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-16,Sun,Primera A,First stage,Away,D 0–0,Pasto,Cúcuta,Y,RB,85,0,0,0,0,1,0,0,0,2,0,0,3,2,1,0,,,Match Report
39,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-26,Wed,Sudamericana,First stage,Home,L 0–1,co Pasto,cl Huachipato,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,,,Match Report
40,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-03-01,Sun,Primera A,First stage,Home,L 1–2,Pasto,La Equidad,Y,RB,90,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,,,Match Report
41,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-03-10,Tue,Primera A,First stage,Away,D 1–1,Pasto,La Equidad,Y,RB,84,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,,,Match Report
42,Juan Guillermo Arboleda,Independiente,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-09-13,Sun,Primera A,First stage,Home,L 1–3,Pasto,Tolima,Y,RB,90,0,0,0,0,0,0,0,0,1,1,0,8,1,3,0,,,Match Report
