,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,Andrés Mosquera Marmolejo,Independiente,2020-01-23,Thu,Primera A,First stage,Away,D 2–2,Independiente,Tolima,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
2,Andrés Mosquera Marmolejo,Independiente,2020-01-28,Tue,Primera A,First stage,Home,W 2–1,Independiente,Rionegro,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
3,Andrés Mosquera Marmolejo,Independiente,2020-02-01,Sat,Primera A,First stage,Away,L 0–1,Independiente,Junior,Y,GK,90,2,1,2,100.0,0,1,1,0,0,Match Report
4,Andrés Mosquera Marmolejo,Independiente,2020-02-04,Tue,Libertadores,Second qualifying stage,Home,W 4–0,co Independiente,ve Dep Táchira,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
5,Andrés Mosquera Marmolejo,Independiente,2020-02-07,Fri,Primera A,First stage,Home,W 3–1,Independiente,Boyacá Patriot,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
6,Andrés Mosquera Marmolejo,Independiente,2020-02-11,Tue,Libertadores,Second qualifying stage,Away,L 0–2,co Independiente,ve Dep Táchira,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
7,Andrés Mosquera Marmolejo,Independiente,2020-02-18,Tue,Libertadores,Third qualifying stage,Home,W 1–0,co Independiente,ar Tucumán,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
8,Andrés Mosquera Marmolejo,Independiente,2020-02-22,Sat,Primera A,First stage,Home,L 1–3,Independiente,Nacional,Y,GK,90,9,3,6,66.7,0,0,0,0,0,Match Report
9,Andrés Mosquera Marmolejo,Independiente,2020-02-25,Tue,Libertadores,Third qualifying stage,Away,L 0 (4)–1 (2),co Independiente,ar Tucumán,Y,GK,120,1,1,0,0.0,0,0,0,0,0,Match Report
10,Andrés Mosquera Marmolejo,Independiente,2020-02-29,Sat,Primera A,First stage,Away,D 1–1,Independiente,Nacional,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
11,Andrés Mosquera Marmolejo,Independiente,2020-03-03,Tue,Libertadores,Group stage,Home,L 1–2,co Independiente,py Libertad,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report
12,Andrés Mosquera Marmolejo,Independiente,2020-03-07,Sat,Primera A,First stage,Home,W 1–0,Independiente,Millonarios,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
13,Andrés Mosquera Marmolejo,Independiente,2020-03-10,Tue,Libertadores,Group stage,Away,L 0–3,co Independiente,ar Boca Juniors,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report
14,Andrés Mosquera Marmolejo,Independiente,2020-09-16,Wed,Libertadores,Group stage,Home,L 2–3,co Independiente,ve Caracas,Y,GK,90,4,3,1,25.0,0,0,0,0,0,Match Report
15,Andrés Mosquera Marmolejo,Independiente,2020-09-19,Sat,Primera A,First stage,Away,L 0–1,Independiente,Alianza,Y,GK,90,1,1,1,100.0,0,1,1,0,0,Match Report
16,Andrés Mosquera Marmolejo,Independiente,2020-09-24,Thu,Libertadores,Group stage,Home,L 0–1,co Independiente,ar Boca Juniors,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
17,Andrés Mosquera Marmolejo,Independiente,2020-09-27,Sun,Primera A,First stage,Home,D 1–1,Independiente,Pereira,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
18,Andrés Mosquera Marmolejo,Independiente,2020-09-30,Wed,Libertadores,Group stage,Away,W 2–0,co Independiente,ve Caracas,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
