,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera A,Apertura regular season,Away,L 0–1,Jaguares,AD Cali,N,,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,Match Report
2,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-01-24,Sun,Primera A,Apertura regular season,Home,W 2–1,Jaguares,CA Bucaramanga,Y,AM,82,1,1,1,1,2,1,0,0,1,1,0,2,0,3,0,,,Match Report
3,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-01-29,Fri,Primera A,Apertura regular season,Home,W 2–0,Jaguares,Alianza,Y*,AM,89,0,0,0,0,1,0,0,0,3,1,0,1,4,2,0,,,Match Report
4,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-02,Tue,Primera A,Apertura regular season,Away,D 1–1,Jaguares,Envigado,Y,AM,45,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,Match Report
5,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-07,Sun,Primera A,Apertura regular season,Home,L 0–1,Jaguares,Santa Fe,Y,AM,90,0,0,0,0,1,0,0,0,0,4,1,1,0,1,0,,,Match Report
6,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-14,Sun,Primera A,Apertura regular season,Away,L 0–1,Jaguares,Independiente,Y*,AM,70,0,0,0,0,2,0,0,0,1,4,0,1,0,1,0,,,Match Report
7,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-18,Thu,Primera A,Apertura regular season,Home,W 2–1,Jaguares,La Equidad,Y,AM,84,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,,,Match Report
8,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-21,Sun,Primera A,Apertura regular season,Away,D 2–2,Jaguares,Pasto,N,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
9,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-25,Thu,Primera A,Apertura regular season,Home,W 2–0,Jaguares,Pereira,Y*,AM,90,1,0,0,0,3,1,0,0,1,1,0,1,0,2,0,,,Match Report
10,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-01,Mon,Primera A,Apertura regular season,Away,W 2–0,Jaguares,Millonarios,Y*,AM,73,1,0,0,0,2,1,0,0,1,2,1,0,0,2,0,,,Match Report
11,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-07,Sun,Primera A,Apertura regular season,Home,W 3–2,Jaguares,Boyacá Patriot,Y*,AM,88,2,0,1,1,3,2,1,0,2,2,0,0,0,2,0,,,Match Report
12,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-12,Fri,Primera A,Apertura regular season,Away,L 2–3,Jaguares,Tolima,Y*,AM,90,0,0,0,0,1,1,0,0,3,4,0,0,0,0,0,,,Match Report
13,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-19,Fri,Primera A,Apertura regular season,Home,L 0–2,Jaguares,Rionegro,Y*,AM,90,0,0,0,0,3,0,0,0,1,3,0,4,0,0,0,,,Match Report
14,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-24,Wed,Primera A,Apertura regular season,Away,L 1–3,Jaguares,Nacional,Y,AM,90,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,,,Match Report
15,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-30,Tue,Primera A,Apertura regular season,Home,L 0–2,Jaguares,Junior,Y,DM,90,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,,,Match Report
16,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-04-05,Mon,Primera A,Apertura regular season,Away,W 2–1,Jaguares,Once Caldas,Y*,DM,90,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,Match Report
17,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-04-10,Sat,Primera A,Apertura regular season,Home,D 0–0,Jaguares,CD América,Y*,AM,87,0,0,0,0,5,0,0,0,0,1,0,0,0,3,0,,,Match Report
18,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-04-18,Sun,Primera A,Apertura regular season,Away,D 0–0,Jaguares,Boyacá Chicó,Y,AM,70,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,Match Report
19,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-07-17,Sat,Primera A,Finalización regular season,Away,L 0–2,Jaguares,Deportes Quindío,Y,FW,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
20,Pablo José Rojas,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-07-24,Sat,Primera A,Finalización regular season,Home,D 1–1,Jaguares,Once Caldas,Y,AM,90,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,,,Match Report
