,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-01-19,Tue,Primera A,Apertura regular season,Away,L 0–2,Boyacá Chicó,CA Bucaramanga,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
2,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-01-30,Sat,Primera A,Apertura regular season,Away,D 1–1,Boyacá Chicó,Boyacá Patriot,Y,GK,90,0,1,0,,0,1,1,0,0,Match Report
3,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-02,Tue,Primera A,Apertura regular season,Home,L 0–1,Boyacá Chicó,AD Cali,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
4,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-06,Sat,Primera A,Apertura regular season,Away,L 0–2,Boyacá Chicó,Nacional,Y,GK,90,10,2,8,80.0,0,0,0,0,0,Match Report
5,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-12,Fri,Primera A,Apertura regular season,Home,L 1–2,Boyacá Chicó,CD América,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
6,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-17,Wed,Primera A,Apertura regular season,Away,L 0–1,Boyacá Chicó,Independiente,Y,GK,90,2,1,2,100.0,0,1,1,0,0,Match Report
7,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-20,Sat,Primera A,Apertura regular season,Home,W 2–1,Boyacá Chicó,Junior,Y,GK,90,8,1,7,87.5,0,0,0,0,0,Match Report
8,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-24,Wed,Primera A,Apertura regular season,Away,L 0–2,Boyacá Chicó,Santa Fe,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report
9,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-02-27,Sat,Primera A,Apertura regular season,Away,L 1–2,Boyacá Chicó,La Equidad,Y,GK,90,0,2,0,,0,2,2,0,0,Match Report
10,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-04,Thu,Primera A,Apertura regular season,Home,L 0–1,Boyacá Chicó,Millonarios,Y,GK,90,0,1,0,,0,1,1,0,0,Match Report
11,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-07,Sun,Primera A,Apertura regular season,Home,W 2–1,Boyacá Chicó,Tolima,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
12,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-23,Tue,Primera A,Apertura regular season,Home,W 3–0,Boyacá Chicó,Envigado,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
13,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-03-27,Sat,Primera A,Apertura regular season,Away,L 2–4,Boyacá Chicó,Once Caldas,Y,GK,90,5,4,2,40.0,0,1,1,0,0,Match Report
14,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-04-01,Thu,Primera A,Apertura regular season,Home,W 2–0,Boyacá Chicó,Alianza,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
15,Pablo Mina,Jaguares,https://www.fbref.com//en/squads/024b201d/2021/s10991/Jaguares-Stats-Categoria-Primera-A,2021-04-04,Sun,Primera A,Apertura regular season,Home,D 0–0,Boyacá Chicó,Pasto,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
