,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-01-16,Sat,Primera A,Apertura regular season,Home,W 1–0,Junior,Independiente,Y,RM,90,0,0,0,0,2,0,0,0,1,4,0,7,2,1,0,,,Match Report
2,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-01-25,Mon,Primera A,Apertura regular season,Away,W 2–1,Junior,Once Caldas,Y,RM,75,0,0,0,0,3,0,0,0,0,2,0,3,0,1,0,,,Match Report
3,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-02-13,Sat,Primera A,Apertura regular season,Away,D 2–2,Junior,Envigado,Y,AM,90,0,0,0,0,1,0,0,0,0,5,0,3,1,1,0,,,Match Report
4,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-02-17,Wed,Primera A,Apertura regular season,Home,L 1–2,Junior,AD Cali,Y,AM,90,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Match Report
5,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-02-20,Sat,Primera A,Apertura regular season,Away,L 1–2,Junior,Boyacá Chicó,Y,RM,90,0,0,0,0,2,1,1,0,3,6,1,5,0,0,0,,,Match Report
6,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-02-23,Tue,Primera A,Apertura regular season,Home,W 2–0,Junior,Millonarios,Y,AM,63,0,0,0,0,1,0,0,0,0,3,0,0,2,2,0,,,Match Report
7,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-02-27,Sat,Primera A,Apertura regular season,Away,L 0–1,Junior,Boyacá Patriot,N,,16,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,,Match Report
8,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-03-05,Fri,Primera A,Apertura regular season,Home,D 1–1,Junior,CA Bucaramanga,Y,RW,90,0,0,0,0,0,0,1,0,1,6,0,3,0,2,0,,,Match Report
9,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-03-27,Sat,Primera A,Apertura regular season,Home,D 1–1,Junior,Santa Fe,N,,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,Match Report
10,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-03-30,Tue,Primera A,Apertura regular season,Away,W 2–0,Junior,Jaguares,Y,FW,76,0,0,0,0,2,0,0,0,1,5,0,5,0,0,0,,,Match Report
11,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-04-04,Sun,Primera A,Apertura regular season,Home,D 0–0,Junior,Rionegro,Y,AM,90,0,0,0,0,1,0,1,0,1,1,0,4,2,1,0,,,Match Report
12,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-04-08,Thu,Libertadores,Third qualifying stage,Away,L 1–2,co Junior,bo Bolívar,N,,45,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,,,Match Report
13,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-04-11,Sun,Primera A,Apertura regular season,Away,D 0–0,Junior,Pasto,N,,32,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,,,Match Report
14,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-04-15,Thu,Libertadores,Third qualifying stage,Home,W 3–0,co Junior,bo Bolívar,Y,DM,62,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,,,Match Report
15,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-04-22,Thu,Libertadores,Group stage,Home,D 1–1,co Junior,co Santa Fe,Y,AM,90,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,,,Match Report
16,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-05-18,Tue,Libertadores,Group stage,Away,W 2–1,co Junior,br Fluminense,N,,24,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,,,Match Report
17,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-05-25,Tue,Libertadores,Group stage,Away,D 0–0,co Junior,co Santa Fe,Y,AM,65,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,,,Match Report
18,Fabián Sambueza,Junior,https://www.fbref.com//en/squads/b281fa3b/2021/s10991/Junior-Stats-Categoria-Primera-A,2021-06-10,Thu,Primera A,Semi-finals,Home,W 3–2,Junior,Millonarios,Y,AM,70,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,,,Match Report
