,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-02-04,Thu,Primera A,Apertura regular season,Away,D 0–0,Millonarios,Independiente,Y,CB,90,0,0,0,0,1,1,1,0,2,2,0,0,1,2,0,,,Match Report
2,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-02-07,Sun,Primera A,Apertura regular season,Home,W 3–2,Millonarios,Pereira,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,,,Match Report
3,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-02-13,Sat,Primera A,Apertura regular season,Away,L 0–1,Millonarios,La Equidad,Y,CB,90,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,,,Match Report
4,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-02-18,Thu,Primera A,Apertura regular season,Home,W 3–1,Millonarios,Pasto,Y,CB,90,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,,,Match Report
5,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-02-23,Tue,Primera A,Apertura regular season,Away,L 0–2,Millonarios,Junior,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,,,Match Report
6,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-03-01,Mon,Primera A,Apertura regular season,Home,L 0–2,Millonarios,Jaguares,Y,CB,90,0,0,0,0,2,0,0,0,1,1,0,0,3,6,0,,,Match Report
7,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-03-04,Thu,Primera A,Apertura regular season,Away,W 1–0,Millonarios,Boyacá Chicó,Y,CB,90,0,0,0,0,0,0,1,0,1,3,0,0,3,1,0,,,Match Report
8,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-03-09,Tue,Primera A,Apertura regular season,Away,W 2–0,Millonarios,Alianza,Y,CB,83,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,,,Match Report
9,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-03-13,Sat,Primera A,Apertura regular season,Away,W 2–0,Millonarios,Boyacá Patriot,Y,CB,63,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,,,Match Report
10,Andrés Llinás,Millonarios,https://www.fbref.com//en/squads/4c319052/2021/s10991/Millonarios-Stats-Categoria-Primera-A,2021-03-21,Sun,Primera A,Apertura regular season,Home,L 1–2,Millonarios,Nacional,Y,CB,90,0,0,0,0,0,0,1,0,3,2,0,0,0,4,0,,,Match Report
