,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-01-25,Sat,Primera A,First stage,Home,L 0–2,CA Bucaramanga,AD Cali,Y*,GK,90,3,2,2,66.7,0,1,1,0,0,Match Report
2,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-01-28,Tue,Primera A,First stage,Away,D 1–1,CA Bucaramanga,Once Caldas,Y*,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
3,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-02-01,Sat,Primera A,First stage,Home,D 0–0,CA Bucaramanga,Tolima,Y*,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
4,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-02-07,Fri,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Pasto,Y*,GK,90,4,4,1,25.0,0,1,1,0,0,Match Report
5,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-02-16,Sun,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Envigado,Y*,GK,90,4,4,1,25.0,0,1,1,0,0,Match Report
6,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-02-23,Sun,Primera A,First stage,Home,W 2–0,CA Bucaramanga,Rionegro,Y*,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
7,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-03-01,Sun,Primera A,First stage,Away,W 1–0,CA Bucaramanga,Cúcuta,Y*,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
8,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-03-07,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Junior,Y*,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
9,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-09-12,Sat,Primera A,First stage,Away,D 1–1,Millonarios,AD Cali,Y,GK,90,9,1,8,88.9,0,0,0,0,0,Match Report
10,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-09-19,Sat,Primera A,First stage,Home,L 1–3,Millonarios,Once Caldas,Y,GK,90,3,3,0,0.0,0,0,0,0,0,Match Report
11,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-10-02,Fri,Primera A,First stage,Home,D 0–0,Millonarios,CA Bucaramanga,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
12,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-10-06,Tue,Primera A,First stage,Away,D 2–2,Millonarios,Tolima,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
13,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-10-11,Sun,Primera A,First stage,Home,D 0–0,Millonarios,Rionegro,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
14,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-10-14,Wed,Primera A,First stage,Away,W 2–1,Millonarios,Envigado,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
15,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-10-17,Sat,Primera A,First stage,Home,W 1–0,Millonarios,Boyacá Patriot,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
16,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-10-24,Sat,Primera A,First stage,Away,D 1–1,Millonarios,Junior,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
17,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-10-28,Wed,Sudamericana,Second stage,Home,L 1–2,co Millonarios,co AD Cali,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
18,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/4c319052/2020/s10076/Millonarios-Stats-Categoria-Primera-A,2020-12-09,Wed,Primera A,Liguilla,Home,W 2–0,Millonarios,Boyacá Chicó,N,,45,2,0,2,100.0,1,0,0,0,0,Match Report
19,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-02-10,Sun,Primera A,Apertura Regular Season,Away,D 1–1,Nacional,Huila,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
20,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-02-24,Sun,Primera A,Apertura Regular Season,Away,L 0–1,Nacional,ADU Magdalena,Y*,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
21,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-07-16,Tue,Primera A,Regular season,Home,L 0–1,CA Bucaramanga,AD Cali,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
22,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-07-21,Sun,Primera A,Regular season,Away,D 0–0,CA Bucaramanga,Nacional,Y,GK,90,7,0,7,100.0,1,0,0,0,0,Match Report
23,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-07-27,Sat,Primera A,Regular season,Home,L 1–2,CA Bucaramanga,Millonarios,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
24,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-08-05,Mon,Primera A,Regular season,Away,D 1–1,CA Bucaramanga,Pasto,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
25,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-08-11,Sun,Primera A,Regular season,Home,W 2–0,CA Bucaramanga,Cúcuta,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
26,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-08-18,Sun,Primera A,Regular season,Away,L 0–1,CA Bucaramanga,Alianza,Y,GK,90,1,1,1,100.0,0,1,1,0,0,Match Report
27,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-08-21,Wed,Primera A,Regular season,Home,D 1–1,CA Bucaramanga,Tolima,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
28,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-08-25,Sun,Primera A,Regular season,Away,W 1–0,CA Bucaramanga,Boyacá Patriot,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
29,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-09-01,Sun,Primera A,Regular season,Home,D 0–0,CA Bucaramanga,Junior,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
30,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-09-07,Sat,Primera A,Regular season,Away,L 0–2,CA Bucaramanga,Cúcuta,Y,GK,90,5,2,4,80.0,0,1,1,0,0,Match Report
31,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-09-13,Fri,Primera A,Regular season,Home,W 2–0,CA Bucaramanga,Rionegro,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
32,Christian Vargas,Millonarios,https://www.fbref.com//en/squads/9b9a8c22/2019/s3927/CA-Bucaramanga-Stats-Categoria-Primera-A,2019-09-21,Sat,Primera A,Regular season,Away,D 1–1,CA Bucaramanga,CD América,Y,GK,90,5,1,5,100.0,0,1,1,0,0,Match Report
