,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera A,Apertura regular season,Home,W 2–0,Nacional,Santa Fe,N,,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Match Report
2,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-01-25,Mon,Primera A,Apertura regular season,Away,L 0–1,Nacional,La Equidad,Y,LB,90,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,,,Match Report
3,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-01-30,Sat,Primera A,Apertura regular season,Home,W 5–2,Nacional,Pereira,Y,LB,90,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,Match Report
4,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-02-02,Tue,Primera A,Apertura regular season,Away,D 0–0,Nacional,Pasto,Y,LB,90,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,,,Match Report
5,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-02-06,Sat,Primera A,Apertura regular season,Home,W 2–0,Nacional,Boyacá Chicó,Y,CB,90,0,0,0,0,1,0,0,0,3,1,0,1,4,2,0,,,Match Report
6,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-02-16,Tue,Primera A,Apertura regular season,Away,W 1–0,Nacional,Once Caldas,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,,,Match Report
7,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-02-21,Sun,Primera A,Apertura regular season,Home,D 2–2,Nacional,CD América,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,,,Match Report
8,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-02-24,Wed,Primera A,Apertura regular season,Away,L 2–3,Nacional,CA Bucaramanga,Y,LB,90,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,,,Match Report
9,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-03-02,Tue,Primera A,Apertura regular season,Home,W 5–0,Nacional,Alianza,Y,CB,72,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,,,Match Report
10,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-03-11,Thu,Libertadores,Second qualifying stage,Away,W 2–0,co Nacional,py Guaraní,Y,LB,90,0,0,0,0,1,1,0,0,0,1,0,2,2,4,0,,,Match Report
11,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-03-14,Sun,Primera A,Apertura regular season,Home,W 1–0,Nacional,Junior,N,,31,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,Match Report
12,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-03-18,Thu,Libertadores,Second qualifying stage,Home,W 3–0,co Nacional,py Guaraní,Y,LB,90,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,,,Match Report
13,Danovis Banguero,Nacional,https://www.fbref.com//en/squads/e0b973a6/2021/s10991/Atletico-Nacional-Stats-Categoria-Primera-A,2021-03-21,Sun,Primera A,Apertura regular season,Away,W 2–1,Nacional,Millonarios,Y,LB,90,0,1,0,0,0,0,0,0,1,1,0,2,2,3,0,,,Match Report
