,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,José Cuadrado,Nacional,2019-01-26,Sat,Primera A,Apertura Regular Season,Home,D 0–0,Nacional,Once Caldas,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
2,José Cuadrado,Nacional,2019-01-30,Wed,Primera A,Apertura Regular Season,Away,W 1–0,Nacional,CA Bucaramanga,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
3,José Cuadrado,Nacional,2019-02-02,Sat,Primera A,Apertura Regular Season,Home,W 1–0,Nacional,Jaguares,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
4,José Cuadrado,Nacional,2019-02-07,Thu,Libertadores,Second qualifying stage,Away,W 1–0,co Nacional,ve Dep La Guaira,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
5,José Cuadrado,Nacional,2019-02-14,Thu,Libertadores,Second qualifying stage,Home,D 0–0,co Nacional,ve Dep La Guaira,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
6,José Cuadrado,Nacional,2019-02-17,Sun,Primera A,Apertura Regular Season,Home,D 1–1,Nacional,La Equidad,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
7,José Cuadrado,Nacional,2019-02-21,Thu,Libertadores,Third qualifying stage,Away,L 0–1,co Nacional,py Libertad,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
8,José Cuadrado,Nacional,2019-02-28,Thu,Libertadores,Third qualifying stage,Home,W 1 (4)–0 (5),co Nacional,py Libertad,Y,GK,120,0,0,0,,1,0,0,0,0,Match Report
9,José Cuadrado,Nacional,2019-03-09,Sat,Primera A,Apertura Regular Season,Away,D 1–1,Nacional,Millonarios,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
10,José Cuadrado,Nacional,2019-03-16,Sat,Primera A,Apertura Regular Season,Away,D 2–2,Nacional,Independiente,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
11,José Cuadrado,Nacional,2019-03-20,Wed,Primera A,Apertura Regular Season,Home,D 2–2,Nacional,AD Cali,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
12,José Cuadrado,Nacional,2019-03-23,Sat,Primera A,Apertura Regular Season,Away,W 3–1,Nacional,Cúcuta,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
13,José Cuadrado,Nacional,2019-03-27,Wed,Primera A,Apertura Regular Season,Away,L 1–2,Nacional,Tolima,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
14,José Cuadrado,Nacional,2019-03-30,Sat,Primera A,Apertura Regular Season,Home,L 0–1,Nacional,Pasto,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
15,José Cuadrado,Nacional,2019-04-07,Sun,Primera A,Apertura Regular Season,Home,W 1–0,Nacional,Alianza,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
16,José Cuadrado,Nacional,2019-04-14,Sun,Primera A,Apertura Regular Season,Away,D 0–0,Nacional,Junior,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
17,José Cuadrado,Nacional,2019-04-18,Thu,Primera A,Apertura Regular Season,Home,W 4–0,Nacional,Boyacá Patriot,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
18,José Cuadrado,Nacional,2019-04-21,Sun,Primera A,Apertura Regular Season,Away,L 1–2,Nacional,Rionegro,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
19,José Cuadrado,Nacional,2019-04-24,Wed,Primera A,Apertura Regular Season,Home,W 1–0,Nacional,Independiente,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
20,José Cuadrado,Nacional,2019-04-27,Sat,Primera A,Apertura Regular Season,Home,W 2–0,Nacional,CD América,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
21,José Cuadrado,Nacional,2019-04-30,Tue,Primera A,Apertura Regular Season,Away,L 0–4,Nacional,Envigado,Y,GK,90,6,4,3,50.0,0,1,1,0,0,Match Report
22,José Cuadrado,Nacional,2019-05-05,Sun,Primera A,Apertura Regular Season,Home,W 2–1,Nacional,Santa Fe,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
23,José Cuadrado,Nacional,2019-05-12,Sun,Primera A,Semi-finals,Away,D 0–0,Nacional,Junior,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
24,José Cuadrado,Nacional,2019-05-16,Thu,Primera A,Semi-finals,Home,L 1–2,Nacional,Tolima,Y,GK,90,2,2,1,50.0,0,1,1,0,0,Match Report
25,José Cuadrado,Nacional,2019-05-19,Sun,Primera A,Semi-finals,Home,L 1–3,Nacional,AD Cali,Y,GK,90,13,3,10,76.9,0,0,0,0,0,Match Report
26,José Cuadrado,Nacional,2019-05-23,Thu,Sudamericana,Second stage,Away,L 1–4,co Nacional,br Fluminense,Y,GK,90,10,4,7,60.0,0,1,0,1,0,Match Report
27,José Cuadrado,Nacional,2019-05-26,Sun,Primera A,Semi-finals,Away,W 1–0,Nacional,AD Cali,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
28,José Cuadrado,Nacional,2019-05-29,Wed,Sudamericana,Second stage,Home,W 1–0,co Nacional,br Fluminense,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
29,José Cuadrado,Nacional,2019-06-02,Sun,Primera A,Semi-finals,Away,L 1–2,Nacional,Tolima,Y,GK,90,7,2,5,71.4,0,0,0,0,0,Match Report
30,José Cuadrado,Nacional,2019-06-05,Wed,Primera A,Semi-finals,Home,L 2–3,Nacional,Junior,Y,GK,90,2,3,0,0.0,0,1,1,0,0,Match Report
31,José Cuadrado,Nacional,2019-07-13,Sat,Primera A,Regular season,Away,W 2–1,Nacional,Once Caldas,Y,GK,90,1,1,0,0.0,0,1,0,0,1,Match Report
32,José Cuadrado,Nacional,2019-07-28,Sun,Primera A,Regular season,Away,D 1–1,Nacional,Jaguares,Y,GK,90,2,1,2,100.0,0,1,1,0,0,Match Report
33,José Cuadrado,Nacional,2019-08-10,Sat,Primera A,Regular season,Away,D 0–0,Nacional,La Equidad,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
34,José Cuadrado,Nacional,2019-08-18,Sun,Primera A,Regular season,Home,W 3–1,Nacional,ADU Magdalena,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
35,José Cuadrado,Nacional,2019-08-21,Wed,Primera A,Regular season,Away,D 0–0,Nacional,AD Cali,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
36,José Cuadrado,Nacional,2019-09-01,Sun,Primera A,Regular season,Home,D 1–1,Nacional,Millonarios,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
37,José Cuadrado,Nacional,2019-09-08,Sun,Primera A,Regular season,Away,W 4–1,Nacional,Independiente,Y,GK,90,5,1,5,100.0,0,1,1,0,0,Match Report
38,José Cuadrado,Nacional,2019-09-14,Sat,Primera A,Regular season,Home,L 2–3,Nacional,Cúcuta,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report
39,José Cuadrado,Nacional,2019-09-21,Sat,Primera A,Regular season,Away,W 2–1,Nacional,Pasto,Y,GK,90,3,1,3,100.0,0,1,1,0,0,Match Report
40,José Cuadrado,Nacional,2019-10-02,Wed,Primera A,Regular season,Away,D 0–0,Nacional,Alianza,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
41,José Cuadrado,Nacional,2019-10-06,Sun,Primera A,Regular season,Home,L 0–1,Nacional,Junior,Y,GK,90,3,1,3,100.0,0,1,1,0,0,Match Report
42,José Cuadrado,Nacional,2019-10-10,Thu,Primera A,Regular season,Away,W 2–1,Nacional,Boyacá Patriot,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
43,José Cuadrado,Nacional,2019-10-13,Sun,Primera A,Regular season,Home,W 1–0,Nacional,Rionegro,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
44,José Cuadrado,Nacional,2019-10-19,Sat,Primera A,Regular season,Away,L 1–2,Nacional,CD América,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
45,José Cuadrado,Nacional,2019-10-23,Wed,Primera A,Regular season,Home,D 1–1,Nacional,Envigado,Y,GK,90,2,1,2,100.0,0,1,1,0,0,Match Report
46,José Cuadrado,Nacional,2019-10-29,Tue,Primera A,Regular season,Away,D 0–0,Nacional,Santa Fe,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
47,José Cuadrado,Nacional,2019-11-13,Wed,Primera A,Semi-finals,Away,L 0–1,Nacional,Tolima,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
48,José Cuadrado,Nacional,2019-11-17,Sun,Primera A,Semi-finals,Home,D 2–2,Nacional,Junior,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
49,José Cuadrado,Nacional,2019-11-20,Wed,Primera A,Semi-finals,Away,L 0–2,Nacional,Junior,Y,GK,90,3,2,2,33.3,0,1,0,1,0,Match Report
50,José Cuadrado,Nacional,2019-11-24,Sun,Primera A,Semi-finals,Home,D 1–1,Nacional,Tolima,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
51,Aldair Quintana,Nacional,2019-01-26,Sat,Primera A,Apertura Regular Season,Away,L 0–2,Huila,La Equidad,Y,GK,90,6,2,5,83.3,0,1,1,0,0,Match Report
52,Aldair Quintana,Nacional,2019-01-29,Tue,Primera A,Apertura Regular Season,Home,D 1–1,Huila,ADU Magdalena,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
53,Aldair Quintana,Nacional,2019-02-02,Sat,Primera A,Apertura Regular Season,Away,D 1–1,Huila,AD Cali,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
54,Aldair Quintana,Nacional,2019-02-10,Sun,Primera A,Apertura Regular Season,Home,D 1–1,Huila,Nacional,Y,GK,90,1,1,1,100.0,0,1,1,0,0,Match Report
55,Aldair Quintana,Nacional,2019-02-16,Sat,Primera A,Apertura Regular Season,Away,L 2–3,Huila,Millonarios,Y,GK,90,8,3,5,62.5,0,0,0,0,0,Match Report
56,Aldair Quintana,Nacional,2019-03-29,Fri,Primera A,Apertura Regular Season,Home,D 1–1,Huila,Boyacá Patriot,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
57,Aldair Quintana,Nacional,2019-04-02,Tue,Primera A,Apertura Regular Season,Away,D 0–0,Huila,Rionegro,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
58,Aldair Quintana,Nacional,2019-04-06,Sat,Primera A,Apertura Regular Season,Home,W 2–1,Huila,CD América,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
59,Aldair Quintana,Nacional,2019-04-14,Sun,Primera A,Apertura Regular Season,Away,D 1–1,Huila,Envigado,Y,GK,90,5,1,5,100.0,0,1,1,0,0,Match Report
60,Aldair Quintana,Nacional,2019-04-17,Wed,Primera A,Apertura Regular Season,Home,L 0–3,Huila,Santa Fe,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report
61,Aldair Quintana,Nacional,2019-04-22,Mon,Primera A,Apertura Regular Season,Away,W 4–2,Huila,CA Bucaramanga,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
62,Aldair Quintana,Nacional,2019-04-28,Sun,Primera A,Apertura Regular Season,Home,W 1–0,Huila,Once Caldas,Y,GK,90,4,0,5,100.0,1,1,0,1,0,Match Report
63,Aldair Quintana,Nacional,2019-05-01,Wed,Primera A,Apertura Regular Season,Away,L 1–2,Huila,Independiente,Y,GK,90,7,2,6,85.7,0,1,1,0,0,Match Report
64,Aldair Quintana,Nacional,2019-05-04,Sat,Primera A,Apertura Regular Season,Home,L 0–2,Huila,Jaguares,Y,GK,90,5,2,4,80.0,0,1,1,0,0,Match Report
65,Aldair Quintana,Nacional,2019-07-21,Sun,Primera A,Regular season,Home,D 0–0,Nacional,CA Bucaramanga,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
66,Aldair Quintana,Nacional,2019-08-06,Tue,Primera A,Regular season,Home,W 4–1,Nacional,Huila,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
67,Aldair Quintana,Nacional,2019-08-25,Sun,Primera A,Regular season,Home,W 5–2,Nacional,Independiente,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
68,Aldair Quintana,Nacional,2019-09-29,Sun,Primera A,Regular season,Home,W 1–0,Nacional,Tolima,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
69,Aldair Quintana,Nacional,2019-11-09,Sat,Primera A,Semi-finals,Home,W 3–1,Nacional,Cúcuta,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
70,Aldair Quintana,Nacional,2019-11-27,Wed,Primera A,Semi-finals,Away,W 1–0,Nacional,Cúcuta,Y,GK,90,7,0,7,100.0,1,0,0,0,0,Match Report
71,Fernando Monetti,Nacional,2018-02-04,Sun,Primera A,Apertura Regular Season,Away,W 1–0,Nacional,Tolima,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
72,Fernando Monetti,Nacional,2018-02-10,Sat,Primera A,Apertura Regular Season,Home,W 1–0,Nacional,Santa Fe,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
73,Fernando Monetti,Nacional,2018-02-18,Sun,Primera A,Apertura Regular Season,Away,D 1–1,Nacional,Millonarios,Y,GK,90,1,1,1,100.0,0,1,1,0,0,Match Report
74,Fernando Monetti,Nacional,2018-02-22,Thu,Primera A,Apertura Regular Season,Home,W 2–0,Nacional,CD América,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
75,Fernando Monetti,Nacional,2018-02-27,Tue,Libertadores,Group stage,Away,W 1–0,co Nacional,cl Colo-Colo,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
76,Fernando Monetti,Nacional,2018-03-03,Sat,Primera A,Apertura Regular Season,Away,W 2–1,Nacional,Alianza,Y,GK,90,5,1,4,80.0,0,1,0,0,1,Match Report
77,Fernando Monetti,Nacional,2018-03-07,Wed,Primera A,Apertura Regular Season,Home,W 1–0,Nacional,Jaguares,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
78,Fernando Monetti,Nacional,2018-03-14,Wed,Libertadores,Group stage,Home,W 4–0,co Nacional,ec Delfín SC,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
79,Fernando Monetti,Nacional,2018-03-17,Sat,Primera A,Apertura Regular Season,Home,W 2–0,Nacional,Pasto,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
80,Fernando Monetti,Nacional,2018-03-22,Thu,Primera A,Apertura Regular Season,Away,D 0–0,Nacional,CA Bucaramanga,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
81,Fernando Monetti,Nacional,2018-03-25,Sun,Primera A,Apertura Regular Season,Away,D 2–2,Nacional,Envigado,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
