,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Jesús Murillo,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-01-18,Mon,Primera A,Apertura regular season,Away,D 1–1,Once Caldas,Tolima,Y,RB,90,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,,,Match Report
2,Jesús Murillo,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-01-25,Mon,Primera A,Apertura regular season,Home,L 1–2,Once Caldas,Junior,Y,RB,90,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,,,Match Report
3,Jesús Murillo,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-02-01,Mon,Primera A,Apertura regular season,Away,L 3–4,Once Caldas,Millonarios,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0,3,3,2,0,,,Match Report
4,Jesús Murillo,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-02-06,Sat,Primera A,Apertura regular season,Home,W 3–1,Once Caldas,Envigado,Y,RB,90,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,,,Match Report
5,Jesús Murillo,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-02-12,Fri,Primera A,Apertura regular season,Away,D 0–0,Once Caldas,Alianza,Y,RB,90,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,,,Match Report
6,Jesús Murillo,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-02-16,Tue,Primera A,Apertura regular season,Home,L 0–1,Once Caldas,Nacional,Y,RB,90,0,0,0,0,1,0,1,0,3,0,0,4,1,0,0,,,Match Report
7,Jesús Murillo,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-02-21,Sun,Primera A,Apertura regular season,Away,D 0–0,Once Caldas,La Equidad,Y,RB,90,0,0,0,0,1,0,0,0,0,2,0,2,0,2,0,,,Match Report
8,Jesús Murillo,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-02-25,Thu,Primera A,Apertura regular season,Home,L 0–1,Once Caldas,Pasto,Y,RB,90,0,0,0,0,0,0,1,0,1,2,0,3,1,2,0,,,Match Report
9,Jesús Murillo,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-03-01,Mon,Primera A,Apertura regular season,Away,L 0–2,Once Caldas,Pereira,Y,RB,89,0,0,0,0,0,0,0,1,3,3,0,4,2,5,0,,,Match Report
