,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,José Huber Escobar,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-09-05,Sun,Primera A,Finalización regular season,Home,D 1–1,Once Caldas,CA Bucaramanga,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
2,José Huber Escobar,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-09-11,Sat,Primera A,Finalización regular season,Home,L 2–3,Once Caldas,Rionegro,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report
3,José Huber Escobar,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-09-17,Fri,Primera A,Finalización regular season,Away,L 1–3,Once Caldas,Independiente,Y,GK,90,7,3,4,57.1,0,0,0,0,0,Match Report
4,José Huber Escobar,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-10-09,Sat,Primera A,Finalización regular season,Home,L 0–2,Once Caldas,Tolima,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report
5,José Huber Escobar,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-11-06,Sat,Primera A,Finalización regular season,Away,W 2–1,Once Caldas,Envigado,Y*,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
6,José Huber Escobar,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-11-15,Mon,Primera A,Finalización regular season,Home,W 2–1,Once Caldas,Santa Fe,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
7,José Huber Escobar,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2021/s10991/Once-Caldas-Stats-Categoria-Primera-A,2021-11-21,Sun,Primera A,Finalización regular season,Away,D 0–0,Once Caldas,AD Cali,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
8,José Huber Escobar,Once Caldas,https://www.fbref.com//en/squads/024b201d/2020/s10076/Jaguares-Stats-Categoria-Primera-A,2020-12-03,Thu,Primera A,Liguilla,Home,D 0–0,Jaguares,CA Bucaramanga,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
9,José Huber Escobar,Once Caldas,https://www.fbref.com//en/squads/024b201d/2020/s10076/Jaguares-Stats-Categoria-Primera-A,2020-12-09,Wed,Primera A,Liguilla,Away,D 2–2,Jaguares,Alianza,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
10,Gerardo Amílcar Ortiz,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2019/s3927/Once-Caldas-Stats-Categoria-Primera-A,2019-01-26,Sat,Primera A,Apertura Regular Season,Away,D 0–0,Once Caldas,Nacional,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
11,Gerardo Amílcar Ortiz,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2019/s3927/Once-Caldas-Stats-Categoria-Primera-A,2019-01-31,Thu,Primera A,Apertura Regular Season,Home,W 1–0,Once Caldas,Millonarios,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
12,Gerardo Amílcar Ortiz,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2019/s3927/Once-Caldas-Stats-Categoria-Primera-A,2019-02-07,Thu,Sudamericana,First stage,Away,D 1–1,co Once Caldas,py Santaní,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
13,Gerardo Amílcar Ortiz,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2019/s3927/Once-Caldas-Stats-Categoria-Primera-A,2019-02-11,Mon,Primera A,Apertura Regular Season,Home,L 1–2,Once Caldas,Cúcuta,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
14,Gerardo Amílcar Ortiz,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2019/s3927/Once-Caldas-Stats-Categoria-Primera-A,2019-02-16,Sat,Primera A,Apertura Regular Season,Away,D 1–1,Once Caldas,Alianza,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
15,Gerardo Amílcar Ortiz,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2019/s3927/Once-Caldas-Stats-Categoria-Primera-A,2019-02-21,Thu,Sudamericana,First stage,Home,L 0–2,co Once Caldas,py Santaní,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
16,Gerardo Amílcar Ortiz,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2019/s3927/Once-Caldas-Stats-Categoria-Primera-A,2019-02-24,Sun,Primera A,Apertura Regular Season,Home,W 2–1,Once Caldas,Tolima,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
17,Gerardo Amílcar Ortiz,Once Caldas,https://www.fbref.com//en/squads/af8be55a/2019/s3927/Once-Caldas-Stats-Categoria-Primera-A,2019-02-27,Wed,Primera A,Apertura Regular Season,Away,L 0–1,Once Caldas,Boyacá Patriot,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
