,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-01-24,Sun,Primera A,Apertura regular season,Away,D 1–1,Rionegro,CD América,Y,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,,,Match Report
2,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-01-30,Sat,Primera A,Apertura regular season,Home,L 0–2,Rionegro,Santa Fe,Y,CB,90,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,,,Match Report
3,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-03,Wed,Primera A,Apertura regular season,Away,W 2–1,Rionegro,Alianza,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
4,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-13,Sat,Primera A,Apertura regular season,Away,L 0–1,Rionegro,AD Cali,Y,CB,90,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,,,Match Report
5,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-17,Wed,Primera A,Apertura regular season,Home,D 1–1,Rionegro,Envigado,Y,CB,90,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,,,Match Report
6,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-20,Sat,Primera A,Apertura regular season,Away,D 0–0,Rionegro,Pereira,Y,CB,90,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,,,Match Report
7,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-24,Wed,Primera A,Apertura regular season,Home,L 1–2,Rionegro,La Equidad,Y,CB,90,0,0,0,0,3,2,0,0,0,1,0,0,0,2,0,,,Match Report
8,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-28,Sun,Primera A,Apertura regular season,Away,L 0–1,Rionegro,Tolima,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,,,Match Report
9,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-06,Sat,Primera A,Apertura regular season,Home,D 1–1,Rionegro,Nacional,Y,CB,90,0,0,0,0,3,1,0,0,0,1,0,0,3,0,0,,,Match Report
10,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-14,Sun,Primera A,Apertura regular season,Home,L 0–2,Rionegro,Independiente,Y,CB,90,0,0,0,0,1,1,0,0,2,1,0,0,3,1,0,,,Match Report
11,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-19,Fri,Primera A,Apertura regular season,Away,W 2–0,Rionegro,Jaguares,Y,CB,90,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,,,Match Report
12,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-25,Thu,Primera A,Apertura regular season,Home,D 0–0,Rionegro,Millonarios,Y,CB,90,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,,,Match Report
13,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-28,Sun,Primera A,Apertura regular season,Away,L 1–2,Rionegro,Boyacá Patriot,Y,CB,90,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,,,Match Report
14,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-31,Wed,Primera A,Apertura regular season,Home,D 2–2,Rionegro,Once Caldas,Y,CB,90,1,0,0,0,1,1,1,0,2,0,0,0,1,2,0,,,Match Report
15,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-04-04,Sun,Primera A,Apertura regular season,Away,D 0–0,Rionegro,Junior,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,,Match Report
16,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-04-18,Sun,Primera A,Apertura regular season,Away,L 1–4,Rionegro,CA Bucaramanga,Y,CB,90,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,,,Match Report
17,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-18,Sun,Primera A,Finalización regular season,Home,L 1–3,Pasto,Millonarios,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,Match Report
18,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-27,Tue,Primera A,Finalización regular season,Away,D 0–0,Pasto,La Equidad,Y,CB,90,0,0,0,0,2,0,0,0,0,3,0,0,1,2,0,,,Match Report
19,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-02,Mon,Primera A,Finalización regular season,Home,L 1–2,Pasto,Pereira,Y,CB,90,0,0,0,0,0,0,0,0,0,5,0,1,3,3,0,,,Match Report
20,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-08,Sun,Primera A,Finalización regular season,Away,L 0–2,Pasto,Alianza,Y,CB,90,0,0,0,0,0,0,1,0,2,3,1,0,3,2,0,,,Match Report
21,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-13,Fri,Primera A,Finalización regular season,Away,L 0–1,Pasto,Tolima,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,Match Report
22,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-22,Sun,Primera A,Finalización regular season,Home,L 0–2,Pasto,Envigado,Y,CB,90,0,0,0,0,2,0,0,0,3,2,0,0,0,3,0,,,Match Report
23,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-29,Sun,Primera A,Finalización regular season,Away,D 0–0,Pasto,Boyacá Patriot,Y,CB,90,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,,,Match Report
24,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-05,Sun,Primera A,Finalización regular season,Home,W 2–0,Pasto,AD Cali,Y,CB,90,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,Match Report
25,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-13,Mon,Primera A,Finalización regular season,Away,W 2–1,Pasto,Deportes Quindío,Y,CB,90,0,0,0,0,0,0,1,0,1,1,0,0,3,1,0,,,Match Report
26,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-19,Sun,Primera A,Finalización regular season,Home,L 0–1,Pasto,Santa Fe,Y,CB,90,0,0,0,0,1,0,0,0,2,1,0,0,1,3,0,,,Match Report
27,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-25,Sat,Primera A,Finalización regular season,Away,D 1–1,Pasto,Nacional,Y,CB,90,0,0,0,0,1,0,0,0,1,3,0,0,1,1,0,,,Match Report
28,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-30,Thu,Primera A,Finalización regular season,Home,L 0–1,Pasto,Once Caldas,Y,CB,90,0,0,0,0,4,0,0,0,3,1,0,0,1,0,0,,,Match Report
29,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-08,Fri,Primera A,Finalización regular season,Away,L 1–4,Pasto,Jaguares,Y,CB,90,0,0,0,0,0,0,1,0,2,2,0,0,2,2,0,,,Match Report
30,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-17,Sun,Primera A,Finalización regular season,Home,W 1–0,Pasto,Deportes Quindío,Y,CB,90,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,,,Match Report
31,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-23,Sat,Primera A,Finalización regular season,Away,L 1–2,Pasto,CA Bucaramanga,Y,CB,90,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,,,Match Report
32,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-28,Thu,Primera A,Finalización regular season,Home,W 1–0,Pasto,Atlético Huila,Y,CB,90,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,,,Match Report
33,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-11-01,Mon,Primera A,Finalización regular season,Away,L 1–2,Pasto,Junior,Y,CB,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,,,Match Report
34,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-11-13,Sat,Primera A,Finalización regular season,Away,L 0–3,Pasto,CD América,Y,CB,83,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,,,Match Report
35,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-11-21,Sun,Primera A,Finalización regular season,Home,D 1–1,Pasto,Independiente,Y,CB,90,0,0,0,0,0,0,1,0,3,1,0,0,2,1,0,,,Match Report
36,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-01-24,Fri,Primera A,First stage,Home,W 2–0,Rionegro,Jaguares,Y,CB,90,0,0,0,0,1,0,0,0,1,3,0,0,1,2,0,,,Match Report
37,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-01-28,Tue,Primera A,First stage,Away,L 1–2,Rionegro,Independiente,Y,CB,90,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,,Match Report
38,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-02-03,Mon,Primera A,First stage,Home,W 1–0,Rionegro,Santa Fe,Y,CB,90,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,,,Match Report
39,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-02-10,Mon,Primera A,First stage,Away,D 1–1,Rionegro,Once Caldas,Y,CB,90,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,,,Match Report
40,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-02-14,Fri,Primera A,First stage,Home,D 1–1,Rionegro,Tolima,Y,CB,90,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,,,Match Report
41,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-03-01,Sun,Primera A,First stage,Home,D 1–1,Rionegro,Envigado,Y,CB,90,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,,,Match Report
42,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-03-08,Sun,Primera A,First stage,Away,D 2–2,Rionegro,Envigado,Y,CB,90,0,0,0,0,0,0,0,0,1,3,0,0,2,2,0,,,Match Report
43,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-09-20,Sun,Primera A,First stage,Away,L 1–2,Rionegro,Junior,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,,,Match Report
44,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-09-29,Tue,Primera A,First stage,Home,D 1–1,Rionegro,Pasto,Y,CB,45,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,,,Match Report
45,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-10-08,Thu,Primera A,First stage,Home,W 3–0,Rionegro,Boyacá Patriot,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,Match Report
46,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-10-11,Sun,Primera A,First stage,Away,D 0–0,Rionegro,Millonarios,Y,CB,90,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,,,Match Report
47,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-10-15,Thu,Primera A,First stage,Home,L 2–3,Rionegro,Nacional,Y,CB,90,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,,,Match Report
48,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-10-19,Mon,Primera A,First stage,Away,W 1–0,Rionegro,Alianza,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,,Match Report
49,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-10-26,Mon,Primera A,First stage,Home,W 1–0,Rionegro,Pereira,Y,CB,90,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,,,Match Report
50,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-11-01,Sun,Primera A,First stage,Away,D 0–0,Rionegro,La Equidad,Y,CB,90,0,0,0,0,1,0,0,0,1,3,0,0,1,1,0,,,Match Report
51,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-11-06,Fri,Primera A,First stage,Home,W 2–1,Rionegro,Cúcuta,Y,CB,89,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,,,Match Report
52,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-11-15,Sun,Primera A,First stage,Home,W 4–1,Rionegro,AD Cali,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,Match Report
53,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-11-26,Thu,Primera A,Liguilla,Home,D 1–1,Rionegro,Envigado,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,,,Match Report
54,Jeison Quiñónes,Pasto,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-12-09,Wed,Primera A,Liguilla,Home,W 2–1,Rionegro,Independiente,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,,,Match Report
55,Daniel Quiñones,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-01-24,Sun,Primera A,Apertura regular season,Home,D 1–1,CD América,Rionegro,Y,FW,68,0,0,0,0,1,0,0,0,2,0,0,2,0,2,0,,,Match Report
56,Daniel Quiñones,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-01-30,Sat,Primera A,Apertura regular season,Away,L 1–2,CD América,Junior,Y,FW,54,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,,Match Report
57,Daniel Quiñones,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-02-21,Sun,Primera A,Apertura regular season,Away,D 2–2,CD América,Nacional,N,,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,Match Report
