,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera A,Apertura regular season,Home,D 2–2,Pasto,La Equidad,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
2,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-01-23,Sat,Primera A,Apertura regular season,Away,W 1–0,Pasto,Envigado,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
3,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-02-09,Tue,Primera A,Apertura regular season,Away,D 1–1,Pasto,Rionegro,Y,GK,90,8,1,7,87.5,0,0,0,0,0,Match Report
4,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-02-14,Sun,Primera A,Apertura regular season,Home,L 0–1,Pasto,Tolima,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
5,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-02-18,Thu,Primera A,Apertura regular season,Away,L 1–3,Pasto,Millonarios,Y,GK,90,6,3,4,66.7,0,1,1,0,0,Match Report
6,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-02-21,Sun,Primera A,Apertura regular season,Home,D 2–2,Pasto,Jaguares,Y,GK,90,3,2,2,66.7,0,1,1,0,0,Match Report
7,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-03-29,Mon,Primera A,Apertura regular season,Away,D 1–1,Pasto,AD Cali,Y,GK,90,2,1,2,100.0,0,1,1,0,0,Match Report
8,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-04-08,Thu,Sudamericana,First stage,Home,L 0–2,co Pasto,co La Equidad,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
9,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/72f9f06e/2021/s10991/Pasto-Stats-Categoria-Primera-A,2021-04-11,Sun,Primera A,Apertura regular season,Home,D 0–0,Pasto,Junior,N,,37,2,0,2,100.0,1,0,0,0,0,Match Report
