,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-03,Wed,Primera A,Apertura regular season,Away,W 2–1,Rionegro,Alianza,Y,FW,89,1,0,0,0,4,4,0,0,2,1,0,1,0,0,0,,,Match Report
2,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-09,Tue,Primera A,Apertura regular season,Home,D 1–1,Rionegro,Pasto,Y,FW,86,1,0,0,0,2,2,1,0,2,1,0,0,0,0,0,,,Match Report
3,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-13,Sat,Primera A,Apertura regular season,Away,L 0–1,Rionegro,AD Cali,Y,AM,64,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,Match Report
4,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-17,Wed,Primera A,Apertura regular season,Home,D 1–1,Rionegro,Envigado,Y,FW,56,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,Match Report
5,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-20,Sat,Primera A,Apertura regular season,Away,D 0–0,Rionegro,Pereira,N,,31,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,,Match Report
6,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-24,Wed,Primera A,Apertura regular season,Home,L 1–2,Rionegro,La Equidad,Y,FW,90,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,,,Match Report
7,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-28,Sun,Primera A,Apertura regular season,Away,L 0–1,Rionegro,Tolima,Y,FW,73,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,,,Match Report
8,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-06,Sat,Primera A,Apertura regular season,Home,D 1–1,Rionegro,Nacional,Y,FW,77,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,,,Match Report
9,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-14,Sun,Primera A,Apertura regular season,Home,L 0–2,Rionegro,Independiente,Y,FW,90,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,,,Match Report
10,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-19,Fri,Primera A,Apertura regular season,Away,W 2–0,Rionegro,Jaguares,Y,FW,85,1,0,0,0,3,1,0,0,0,1,1,1,0,0,0,,,Match Report
11,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-25,Thu,Primera A,Apertura regular season,Home,D 0–0,Rionegro,Millonarios,Y,FW,71,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,,,Match Report
12,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-04-04,Sun,Primera A,Apertura regular season,Away,D 0–0,Rionegro,Junior,Y,FW,78,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,,,Match Report
13,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-16,Fri,Primera A,Finalización regular season,Away,D 1–1,Rionegro,Independiente,Y,FW,80,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,,,Match Report
14,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-24,Sat,Primera A,Finalización regular season,Home,L 1–3,Rionegro,CD América,Y,FW,90,0,0,0,0,1,0,0,0,2,3,1,0,1,0,0,,,Match Report
15,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-30,Fri,Primera A,Finalización regular season,Away,L 1–2,Rionegro,Deportes Quindío,N,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
16,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-10,Tue,Primera A,Finalización regular season,Home,W 1–0,Rionegro,Boyacá Patriot,Y,FW,85,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,,,Match Report
17,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-16,Mon,Primera A,Finalización regular season,Away,W 2–0,Rionegro,Atlético Huila,Y,FW,83,1,0,0,0,2,2,0,0,2,1,0,1,0,0,0,,,Match Report
18,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-22,Sun,Primera A,Finalización regular season,Home,L 1–2,Rionegro,Jaguares,Y,FW,45,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,,,Match Report
19,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-30,Mon,Primera A,Finalización regular season,Away,L 0–1,Rionegro,Nacional,Y,FW,90,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,,Match Report
20,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-06,Mon,Primera A,Finalización regular season,Home,L 0–1,Rionegro,Pereira,Y,FW,90,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,,,Match Report
21,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-11,Sat,Primera A,Finalización regular season,Away,W 3–2,Rionegro,Once Caldas,Y,FW,83,0,0,0,0,1,1,0,0,3,1,0,1,0,1,0,,,Match Report
22,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-19,Sun,Primera A,Finalización regular season,Home,W 3–0,Rionegro,CA Bucaramanga,Y,FW,74,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,,,Match Report
23,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-25,Sat,Primera A,Finalización regular season,Home,L 1–2,Rionegro,Junior,Y,FW,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Match Report
24,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-08,Fri,Primera A,Finalización regular season,Home,W 1–0,Rionegro,Alianza,Y,FW,68,0,0,0,0,2,2,1,0,4,1,2,0,0,0,0,,,Match Report
25,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-18,Mon,Primera A,Finalización regular season,Away,L 1–4,Rionegro,Envigado,Y,FW,90,0,0,0,0,0,0,1,0,2,2,1,3,0,0,0,,,Match Report
26,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-24,Sun,Primera A,Finalización regular season,Home,L 1–2,Rionegro,AD Cali,Y,FW,71,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,,,Match Report
27,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-27,Wed,Primera A,Finalización regular season,Away,D 2–2,Rionegro,La Equidad,N,,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Match Report
28,César Arias,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-11-02,Tue,Primera A,Finalización regular season,Home,D 1–1,Rionegro,Tolima,N,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
29,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-01-25,Sat,Primera A,First stage,Away,L 1–3,Alianza,CD América,Y*,FW,90,1,0,0,0,3,1,0,0,2,2,3,1,0,1,0,,,Match Report
30,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-01-30,Thu,Primera A,First stage,Home,W 1–0,Alianza,Pereira,Y*,FW,90,0,0,0,0,2,1,0,0,1,2,0,0,0,1,0,,,Match Report
31,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-02-03,Mon,Primera A,First stage,Home,L 0–1,Alianza,Pasto,Y*,FW,70,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,,,Match Report
32,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-02-08,Sat,Primera A,First stage,Away,W 2–0,Alianza,Cúcuta,Y*,FW,74,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,,,Match Report
33,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-02-14,Fri,Primera A,First stage,Home,W 1–0,Alianza,La Equidad,Y*,FW,63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
34,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-02-24,Mon,Primera A,First stage,Away,W 3–1,Alianza,Jaguares,Y*,FW,77,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,,,Match Report
35,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-02-29,Sat,Primera A,First stage,Home,L 0–1,Alianza,Tolima,Y*,FW,73,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,,,Match Report
36,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-03-08,Sun,Primera A,First stage,Away,D 2–2,Alianza,Boyacá Chicó,N,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
37,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-09-19,Sat,Primera A,First stage,Home,W 1–0,Alianza,Independiente,Y*,FW,81,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,,,Match Report
38,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-09-27,Sun,Primera A,First stage,Away,L 0–2,Alianza,AD Cali,Y*,FW,90,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,,,Match Report
39,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-10-02,Fri,Primera A,First stage,Home,D 1–1,Alianza,Once Caldas,Y*,FW,66,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,Match Report
40,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-10-06,Tue,Primera A,First stage,Away,L 1–4,Alianza,Santa Fe,N,,9,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,,Match Report
41,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-10-25,Sun,Primera A,First stage,Away,D 3–3,Alianza,Envigado,N,,46,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,,Match Report
42,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-11-08,Sun,Primera A,First stage,Away,L 1–2,Alianza,Junior,N,,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,Match Report
43,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-11-11,Wed,Primera A,First stage,Home,L 2–3,Alianza,Nacional,N,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
44,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-11-15,Sun,Primera A,First stage,Away,L 1–6,Alianza,Millonarios,Y,FW,63,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,,,Match Report
45,César Arias,Rionegro,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-11-26,Thu,Primera A,Liguilla,Away,L 2–3,Alianza,CA Bucaramanga,Y,FW,63,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,,Match Report
46,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera División,Torneo Clausura,Away,D 1–1,River Plate,Fénix,Y,,88,0,,0,0,,,1,0,,,,,,,0,,,Match Report
47,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-01-20,Wed,Primera División,Torneo Clausura,Home,L 1–2,River Plate,Cerro,N,,21,0,,0,0,,,0,0,,,,,,,0,,,Match Report
48,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-01-31,Sun,Primera División,Torneo Clausura,Away,W 2–0,River Plate,Defensor,Y,,90,0,,0,0,,,1,0,,,,,,,0,,,Match Report
49,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-07,Sun,Primera División,Torneo Clausura,Away,L 0–3,River Plate,Nacional,Y,,80,0,,0,0,,,0,0,,,,,,,0,,,Match Report
50,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-11,Thu,Primera División,Torneo Clausura,Home,W 3–1,River Plate,Boston River,Y,,52,0,,0,0,,,1,0,,,,,,,0,,,Match Report
51,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-14,Sun,Primera División,Torneo Clausura,Away,W 2–1,River Plate,Maldonado,Y,,90,0,,0,0,,,0,0,,,,,,,0,,,Match Report
52,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-17,Wed,Primera División,Torneo Clausura,Home,D 1–1,River Plate,Rentistas,Y,,61,0,,0,0,,,0,0,,,,,,,0,,,Match Report
53,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-20,Sat,Primera División,Torneo Clausura,Home,W 2–0,River Plate,Cerro Largo,Y,,58,0,,0,0,,,1,0,,,,,,,0,,,Match Report
54,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-27,Sat,Primera División,Torneo Clausura,Home,D 1–1,River Plate,Wanderers,N,,28,0,,0,0,,,1,0,,,,,,,0,,,Match Report
55,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-20,Sat,Primera División,Torneo Clausura,Home,D 1–1,River Plate,Torque,N,,27,0,,0,0,,,0,0,,,,,,,0,,,Match Report
56,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-03-29,Mon,Primera División,Torneo Clausura,Home,W 3–2,River Plate,Progreso,N,,14,0,,0,0,,,0,0,,,,,,,0,,,Match Report
57,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-05-31,Mon,Primera División,Torneo Apertura Regular Season,Away,L 0–2,Fénix,Torque,N,,22,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
58,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-16,Fri,Primera A,Finalización regular season,Away,D 1–1,Rionegro,Independiente,Y,DM,90,0,0,0,0,2,0,0,0,3,1,0,1,2,2,0,,,Match Report
59,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-24,Sat,Primera A,Finalización regular season,Home,L 1–3,Rionegro,CD América,Y,DM,69,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,,,Match Report
60,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-30,Fri,Primera A,Finalización regular season,Away,L 1–2,Rionegro,Deportes Quindío,Y,DM,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
61,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-10,Tue,Primera A,Finalización regular season,Home,W 1–0,Rionegro,Boyacá Patriot,Y,DM,90,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,,,Match Report
62,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-16,Mon,Primera A,Finalización regular season,Away,W 2–0,Rionegro,Atlético Huila,Y,DM,90,0,0,0,0,1,0,1,0,5,1,0,6,1,1,0,,,Match Report
63,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-22,Sun,Primera A,Finalización regular season,Home,L 1–2,Rionegro,Jaguares,Y,DM,82,0,0,0,0,2,0,0,0,2,1,0,3,2,0,0,,,Match Report
64,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-30,Mon,Primera A,Finalización regular season,Away,L 0–1,Rionegro,Nacional,Y,DM,90,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,,,Match Report
65,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-06,Mon,Primera A,Finalización regular season,Home,L 0–1,Rionegro,Pereira,Y,DM,72,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,,,Match Report
66,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-11,Sat,Primera A,Finalización regular season,Away,W 3–2,Rionegro,Once Caldas,Y,DM,90,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,,,Match Report
67,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-19,Sun,Primera A,Finalización regular season,Home,W 3–0,Rionegro,CA Bucaramanga,Y,DM,90,1,0,0,0,2,1,0,0,1,0,0,0,3,1,0,,,Match Report
68,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-09-25,Sat,Primera A,Finalización regular season,Home,L 1–2,Rionegro,Junior,Y,DM,90,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,,,Match Report
69,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-03,Sun,Primera A,Finalización regular season,Away,L 0–1,Rionegro,Millonarios,Y,CM,80,0,0,0,0,1,0,1,0,1,0,0,2,1,2,0,,,Match Report
70,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-08,Fri,Primera A,Finalización regular season,Home,W 1–0,Rionegro,Alianza,Y,DM,90,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,,,Match Report
71,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-18,Mon,Primera A,Finalización regular season,Away,L 1–4,Rionegro,Envigado,Y,DM,56,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,,Match Report
72,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-24,Sun,Primera A,Finalización regular season,Home,L 1–2,Rionegro,AD Cali,Y,DM,90,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,,,Match Report
73,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-10-27,Wed,Primera A,Finalización regular season,Away,D 2–2,Rionegro,La Equidad,Y,DM,90,0,1,0,0,0,0,0,0,3,1,0,0,1,1,0,,,Match Report
74,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-11-02,Tue,Primera A,Finalización regular season,Home,D 1–1,Rionegro,Tolima,Y,DM,90,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,,,Match Report
75,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-11-08,Mon,Primera A,Finalización regular season,Away,W 2–0,Rionegro,Pasto,Y,DM,90,1,0,0,0,1,1,1,0,2,4,0,0,0,1,0,,,Match Report
76,Facundo Ospitaleche,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-11-13,Sat,Primera A,Finalización regular season,Home,D 1–1,Rionegro,Envigado,Y,DM,84,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,,,Match Report
