,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-20,Sat,Primera A,Apertura regular season,Away,D 0–0,Rionegro,Pereira,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
2,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-24,Wed,Primera A,Apertura regular season,Home,L 1–2,Rionegro,La Equidad,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
3,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-02-28,Sun,Primera A,Apertura regular season,Away,L 0–1,Rionegro,Tolima,Y,GK,90,1,1,1,100.0,0,1,1,0,0,Match Report
4,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-04-11,Sun,Primera A,Apertura regular season,Home,L 0–3,Rionegro,Boyacá Chicó,Y,,90,,,,,,,,,,Match Report
5,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-16,Fri,Primera A,Finalización regular season,Away,D 1–1,Rionegro,Independiente,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
6,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-24,Sat,Primera A,Finalización regular season,Home,L 1–3,Rionegro,CD América,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report
7,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-07-30,Fri,Primera A,Finalización regular season,Away,L 1–2,Rionegro,Deportes Quindío,Y,GK,90,0,,0,,0,0,0,0,0,Match Report
8,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-10,Tue,Primera A,Finalización regular season,Home,W 1–0,Rionegro,Boyacá Patriot,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
9,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-16,Mon,Primera A,Finalización regular season,Away,W 2–0,Rionegro,Atlético Huila,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
10,Juan David Valencia,Rionegro,https://www.fbref.com//en/squads/6466f662/2021/s10991/Rionegro-Stats-Categoria-Primera-A,2021-08-22,Sun,Primera A,Finalización regular season,Home,L 1–2,Rionegro,Jaguares,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report
