,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera A,Apertura regular season,Away,L 0–2,Santa Fe,Nacional,N,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Match Report
2,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-01-30,Sat,Primera A,Apertura regular season,Away,W 2–0,Santa Fe,Rionegro,N,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Match Report
3,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-02-04,Thu,Primera A,Apertura regular season,Home,W 1–0,Santa Fe,Boyacá Patriot,N,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Match Report
4,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-02-07,Sun,Primera A,Apertura regular season,Away,W 1–0,Santa Fe,Jaguares,Y,DM,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Match Report
5,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-02-14,Sun,Primera A,Apertura regular season,Home,W 2–0,Santa Fe,CA Bucaramanga,Y,DM,90,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,,,Match Report
6,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-02-18,Thu,Primera A,Apertura regular season,Away,D 0–0,Santa Fe,CD América,Y,DM,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Match Report
7,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-02-24,Wed,Primera A,Apertura regular season,Home,W 2–0,Santa Fe,Boyacá Chicó,Y,DM,90,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,,,Match Report
8,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-02-28,Sun,Primera A,Apertura regular season,Away,D 1–1,Santa Fe,AD Cali,Y,DM,90,0,0,0,0,2,1,0,0,1,1,0,0,1,1,0,,,Match Report
9,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-03-04,Thu,Primera A,Apertura regular season,Home,W 3–2,Santa Fe,Tolima,Y,DM,90,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,,,Match Report
10,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-03-08,Mon,Primera A,Apertura regular season,Home,D 2–2,Santa Fe,Pasto,Y,CM,90,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,,,Match Report
11,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-03-20,Sat,Primera A,Apertura regular season,Away,L 1–2,Santa Fe,Envigado,Y,DM,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
12,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-03-23,Tue,Primera A,Apertura regular season,Home,W 2–0,Santa Fe,Once Caldas,Y,CM,87,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,Match Report
13,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-03-27,Sat,Primera A,Apertura regular season,Away,D 1–1,Santa Fe,Junior,Y,CM,90,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,,,Match Report
14,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-04-02,Fri,Primera A,Apertura regular season,Home,D 1–1,Santa Fe,Pereira,Y,DM,62,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,,,Match Report
15,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-04-06,Tue,Primera A,Apertura regular season,Away,W 3–0,Santa Fe,Alianza,Y,DM,73,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,,,Match Report
16,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-04-11,Sun,Primera A,Apertura regular season,Home,L 1–2,Santa Fe,Millonarios,Y,DM,74,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,,,Match Report
17,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-04-18,Sun,Primera A,Apertura regular season,Away,W 2–1,Santa Fe,La Equidad,N,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
18,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-04-22,Thu,Libertadores,Group stage,Away,D 1–1,co Santa Fe,co Junior,Y,DM,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,Match Report
19,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-04-25,Sun,Primera A,Quarter-finals,Away,L 1–3,Santa Fe,Junior,Y,DM,68,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,,,Match Report
20,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-04-28,Wed,Libertadores,Group stage,Home,L 1–2,co Santa Fe,br Fluminense,Y,DM,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,Match Report
21,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-05-02,Sun,Primera A,Quarter-finals,Home,D 0–0,Santa Fe,Junior,Y,DM,60,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,Match Report
22,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-05-06,Thu,Libertadores,Group stage,Home,D 0–0,co Santa Fe,ar River Plate,Y,DM,90,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,,,Match Report
23,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-05-12,Wed,Libertadores,Group stage,Away,L 1–2,co Santa Fe,br Fluminense,Y,DM,70,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,,,Match Report
24,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-05-19,Wed,Libertadores,Group stage,Away,L 1–2,co Santa Fe,ar River Plate,Y,,90,0,0,0,0,0,0,0,0,1,4,0,0,5,2,0,,,Match Report
25,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-05-25,Tue,Libertadores,Group stage,Home,D 0–0,co Santa Fe,co Junior,Y,DM,90,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,,,Match Report
26,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-07-17,Sat,Primera A,Finalización regular season,Home,L 1–2,Santa Fe,AD Cali,Y,CM,90,0,0,0,0,1,0,0,0,3,1,0,1,1,2,0,,,Match Report
27,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-07-25,Sun,Primera A,Finalización regular season,Away,L 3–4,Santa Fe,CA Bucaramanga,Y,DM,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Match Report
28,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-08-07,Sat,Primera A,Finalización regular season,Away,W 1–0,Santa Fe,Millonarios,N,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
29,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-08-21,Sat,Primera A,Finalización regular season,Away,D 1–1,Santa Fe,Pereira,Y,DM,72,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,,,Match Report
30,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-08-29,Sun,Primera A,Finalización regular season,Home,D 1–1,Santa Fe,CD América,Y,DM,90,0,0,0,0,0,0,1,0,3,1,0,0,0,4,0,,,Match Report
31,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-09-05,Sun,Primera A,Finalización regular season,Away,D 0–0,Santa Fe,Independiente,Y,DM,90,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,,,Match Report
32,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-09-19,Sun,Primera A,Finalización regular season,Away,W 1–0,Santa Fe,Pasto,Y,DM,90,0,0,0,0,2,1,0,0,1,2,0,1,0,2,0,,,Match Report
33,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-09-25,Sat,Primera A,Finalización regular season,Home,W 3–1,Santa Fe,Envigado,Y,DM,68,0,0,0,0,0,0,0,0,0,4,0,1,1,2,0,,,Match Report
34,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-10-01,Fri,Primera A,Finalización regular season,Away,D 0–0,Santa Fe,Tolima,Y,DM,90,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,,,Match Report
35,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-10-24,Sun,Primera A,Finalización regular season,Away,W 2–1,Santa Fe,Atlético Huila,Y,DM,57,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,,,Match Report
36,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-10-28,Thu,Primera A,Finalización regular season,Home,W 3–1,Santa Fe,Jaguares,N,,33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,Match Report
37,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-11-01,Mon,Primera A,Finalización regular season,Away,D 1–1,Santa Fe,Deportes Quindío,N,,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Match Report
38,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-11-15,Mon,Primera A,Finalización regular season,Away,L 1–2,Santa Fe,Once Caldas,N,,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Match Report
39,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-11-21,Sun,Primera A,Finalización regular season,Home,L 0–1,Santa Fe,Rionegro,N,,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
40,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-01-25,Sat,Primera A,First stage,Home,W 2–0,Junior,La Equidad,Y,CM,90,0,0,0,0,1,0,0,0,4,4,0,0,0,4,0,,,Match Report
41,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-01-28,Tue,Primera A,First stage,Away,D 0–0,Junior,AD Cali,Y,DM,90,0,0,0,0,0,0,1,0,3,0,0,0,1,4,0,,,Match Report
42,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-02-01,Sat,Primera A,First stage,Home,W 1–0,Junior,Independiente,Y,DM,90,0,0,0,0,1,0,0,0,1,0,0,0,1,5,0,,,Match Report
43,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-02-08,Sat,Primera A,First stage,Away,L 1–3,Junior,Santa Fe,Y,DM,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
44,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-02-16,Sun,Primera A,First stage,Home,D 0–0,Junior,Once Caldas,N,,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Match Report
45,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-03-07,Sat,Primera A,First stage,Away,D 1–1,Junior,CA Bucaramanga,Y,DM,90,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,,,Match Report
46,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-09-17,Thu,Libertadores,Group stage,Away,W 2–1,co Junior,ec Barcelona SC,Y,CM,90,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,,,Match Report
47,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-09-22,Tue,Libertadores,Group stage,Home,W 4–1,co Junior,ec Independiente,Y,DM,90,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,Match Report
48,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-09-30,Wed,Libertadores,Group stage,Home,L 0–2,co Junior,ec Barcelona SC,Y,DM,85,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,,,Match Report
49,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-10-04,Sun,Primera A,First stage,Away,D 0–0,Junior,Boyacá Patriot,Y,CM,90,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,,,Match Report
50,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-10-10,Sat,Primera A,First stage,Away,D 2–2,Junior,Nacional,Y,DM,90,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,,,Match Report
51,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-10-14,Wed,Primera A,First stage,Home,D 1–1,Junior,CD América,Y,DM,90,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,,,Match Report
52,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-10-18,Sun,Primera A,First stage,Away,W 2–0,Junior,Pereira,N,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
53,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-10-21,Wed,Libertadores,Group stage,Away,L 1–3,co Junior,br Flamengo,Y,DM,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,Match Report
54,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-10-24,Sat,Primera A,First stage,Home,D 1–1,Junior,Millonarios,Y,DM,90,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,,,Match Report
55,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-10-29,Thu,Sudamericana,Second stage,Away,W 1–0,co Junior,uy Plaza Colonia,Y,DM,90,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,Match Report
56,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-11-05,Thu,Sudamericana,Second stage,Home,D 0–0,co Junior,uy Plaza Colonia,Y,DM,84,0,0,0,0,0,0,1,0,2,1,0,0,2,1,0,,,Match Report
57,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-11-08,Sun,Primera A,First stage,Home,W 2–1,Junior,Alianza,Y,DM,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,Match Report
58,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-11-11,Wed,Primera A,First stage,Away,D 2–2,Junior,Jaguares,Y,DM,83,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,,,Match Report
59,Leonardo Pico,Santa Fe,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-12-03,Thu,Sudamericana,Round of 16,Away,L 1 (4)–2 (2),co Junior,cl La Calera,Y,CM,89,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,,,Match Report
60,Juan Pedroza,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-01-17,Sun,Primera A,Apertura regular season,Away,L 0–2,Santa Fe,Nacional,N,,38,0,0,0,0,1,1,0,0,1,0,0,4,0,1,0,,,Match Report
61,Juan Pedroza,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-03-23,Tue,Primera A,Apertura regular season,Home,W 2–0,Santa Fe,Once Caldas,N,,21,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,,,Match Report
62,Juan Pedroza,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-04-02,Fri,Primera A,Apertura regular season,Home,D 1–1,Santa Fe,Pereira,Y,DM,45,0,0,0,0,0,0,1,0,2,1,0,1,1,2,0,,,Match Report
63,Juan Pedroza,Santa Fe,https://www.fbref.com//en/squads/a7854d10/2021/s10991/Santa-Fe-Stats-Categoria-Primera-A,2021-05-12,Wed,Libertadores,Group stage,Away,L 1–2,co Santa Fe,br Fluminense,N,,45,0,0,0,0,1,1,0,0,1,0,0,1,1,2,0,,,Match Report
