,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-01-18,Mon,Primera A,Apertura regular season,Home,D 1–1,Tolima,Once Caldas,Y,LB,90,0,0,0,0,3,1,0,0,2,0,0,3,0,0,0,,,Match Report
2,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-01-31,Sun,Primera A,Apertura regular season,Home,W 1–0,Tolima,La Equidad,Y,LB,90,0,0,0,0,1,0,1,0,3,0,0,2,1,0,0,,,Match Report
3,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-02-03,Wed,Primera A,Apertura regular season,Away,D 0–0,Tolima,Pereira,Y,LB,90,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,,,Match Report
4,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-02-07,Sun,Primera A,Apertura regular season,Home,W 2–1,Tolima,Independiente,Y,LB,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Match Report
5,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-02-25,Thu,Primera A,Apertura regular season,Away,W 5–0,Tolima,Alianza,Y,CB,90,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,,,Match Report
6,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-02-28,Sun,Primera A,Apertura regular season,Home,W 1–0,Tolima,Rionegro,Y,LB,90,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,,,Match Report
7,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-03-04,Thu,Primera A,Apertura regular season,Away,L 2–3,Tolima,Santa Fe,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,Match Report
8,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-03-07,Sun,Primera A,Apertura regular season,Away,L 1–2,Tolima,Boyacá Chicó,Y,LB,90,0,0,0,0,0,0,1,0,4,1,0,1,3,0,0,,,Match Report
9,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-03-12,Fri,Primera A,Apertura regular season,Home,W 3–2,Tolima,Jaguares,Y,LB,90,0,0,0,0,2,1,0,0,0,0,0,2,2,1,0,,,Match Report
10,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-03-21,Sun,Primera A,Apertura regular season,Away,D 0–0,Tolima,AD Cali,Y,LB,90,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,,,Match Report
11,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-03-24,Wed,Primera A,Apertura regular season,Home,L 0–1,Tolima,Junior,Y,LB,90,0,0,0,0,1,0,0,0,4,1,0,2,0,0,0,,,Match Report
12,Jeison Angulo,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2021/s10991/Tolima-Stats-Categoria-Primera-A,2021-03-27,Sat,Primera A,Apertura regular season,Away,D 0–0,Tolima,Envigado,Y,LB,90,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,,,Match Report
