,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Name,Team,Team_Href,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report
1,William Cuesta,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2019/s3927/Tolima-Stats-Categoria-Primera-A,2019-03-23,Sat,Primera A,Apertura Regular Season,Home,W 1–0,Tolima,ADU Magdalena,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
2,William Cuesta,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2019/s3927/Tolima-Stats-Categoria-Primera-A,2019-03-27,Wed,Primera A,Apertura Regular Season,Home,W 2–1,Tolima,Nacional,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
3,William Cuesta,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2019/s3927/Tolima-Stats-Categoria-Primera-A,2019-06-02,Sun,Primera A,Semi-finals,Home,W 2–1,Tolima,Nacional,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
4,William Cuesta,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2019/s3927/Tolima-Stats-Categoria-Primera-A,2019-06-05,Wed,Primera A,Semi-finals,Away,W 2–1,Tolima,AD Cali,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
5,William Cuesta,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2019/s3927/Tolima-Stats-Categoria-Primera-A,2019-09-08,Sun,Primera A,Regular season,Home,D 0–0,Tolima,Huila,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
6,William Cuesta,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2019/s3927/Tolima-Stats-Categoria-Primera-A,2019-10-03,Thu,Primera A,Regular season,Home,W 5–2,Tolima,AD Cali,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
7,William Cuesta,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2019/s3927/Tolima-Stats-Categoria-Primera-A,2019-10-06,Sun,Primera A,Regular season,Away,D 0–0,Tolima,Pasto,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
8,William Cuesta,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2019/s3927/Tolima-Stats-Categoria-Primera-A,2019-10-09,Wed,Primera A,Regular season,Home,W 2–0,Tolima,Millonarios,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
9,William Cuesta,Tolima,https://www.fbref.com//en/squads/9c4c0cc1/2019/s3927/Tolima-Stats-Categoria-Primera-A,2019-10-12,Sat,Primera A,Regular season,Away,W 1–0,Tolima,Alianza,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
