,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
1,Santiago Roa,Boyacá Patriot,2020-01-26,Sun,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Cúcuta,Y,RB,90,0,0,0,0,1,1,0,0,3,0,0,0,0,2,0,,,Match Report
2,Santiago Roa,Boyacá Patriot,2020-01-29,Wed,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Boyacá Chicó,Y,RB,90,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,,,Match Report
3,Santiago Roa,Boyacá Patriot,2020-02-04,Tue,Primera A,First stage,Home,D 0–0,Boyacá Patriot,AD Cali,Y,RB,90,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,,,Match Report
4,Santiago Roa,Boyacá Patriot,2020-02-07,Fri,Primera A,First stage,Away,L 1–3,Boyacá Patriot,Independiente,Y,RB,90,0,0,0,0,1,0,0,0,1,1,0,2,1,1,0,,,Match Report
5,Santiago Roa,Boyacá Patriot,2020-02-16,Sun,Primera A,First stage,Home,L 0–2,Boyacá Patriot,Santa Fe,Y,RB,50,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,,,Match Report
6,Santiago Roa,Boyacá Patriot,2020-03-08,Sun,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Tolima,Y,RB,89,0,0,0,0,0,0,1,1,2,1,0,0,0,3,0,,,Match Report
7,Santiago Roa,Boyacá Patriot,2020-10-08,Thu,Primera A,First stage,Away,L 0–3,Boyacá Patriot,Rionegro,Y,RB,90,0,0,0,0,1,0,0,0,0,2,0,1,1,2,0,,,Match Report
8,Santiago Roa,Boyacá Patriot,2020-10-11,Sun,Primera A,First stage,Away,L 0–3,Boyacá Patriot,CD América,Y,RB,90,0,0,0,0,1,0,1,0,0,3,0,2,0,1,0,,,Match Report
9,Santiago Roa,Boyacá Patriot,2020-10-14,Wed,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Pasto,Y,RB,90,0,0,0,0,0,0,0,0,2,1,0,0,2,5,0,,,Match Report
10,Santiago Roa,Boyacá Patriot,2020-10-17,Sat,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Millonarios,Y,RB,90,0,0,0,0,1,0,0,0,2,4,0,3,1,4,0,,,Match Report
11,Santiago Roa,Boyacá Patriot,2020-10-25,Sun,Primera A,First stage,Home,W 2–1,Boyacá Patriot,Nacional,Y,RB,90,0,0,0,0,0,0,0,0,4,1,0,2,0,3,0,,,Match Report
12,Santiago Roa,Boyacá Patriot,2020-11-03,Tue,Primera A,First stage,Away,D 0–0,Boyacá Patriot,Alianza,Y,RB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,Match Report
13,Santiago Roa,Boyacá Patriot,2020-11-07,Sat,Primera A,First stage,Home,W 1–0,Boyacá Patriot,Pereira,Y,RB,90,0,0,0,0,0,0,0,0,0,1,0,2,2,4,0,,,Match Report
14,Santiago Roa,Boyacá Patriot,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,Boyacá Patriot,La Equidad,Y,RB,90,0,0,0,0,0,0,1,0,5,0,0,1,0,2,0,,,Match Report
15,Santiago Roa,Boyacá Patriot,2020-11-14,Sat,Primera A,First stage,Home,W 2–0,Boyacá Patriot,Jaguares,Y,RB,90,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,,,Match Report
16,Santiago Roa,Boyacá Patriot,2020-11-30,Mon,Primera A,Liguilla,Away,W 3–1,Boyacá Patriot,Boyacá Chicó,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,Match Report
17,Santiago Roa,Boyacá Patriot,2020-12-04,Fri,Primera A,Liguilla,Home,L 2–3,Boyacá Patriot,Millonarios,Y,RB,89,0,0,0,0,1,0,0,0,2,0,0,3,1,1,0,,,Match Report
18,Santiago Roa,Boyacá Patriot,2020-12-09,Wed,Primera A,Liguilla,Away,L 0–2,Boyacá Patriot,Once Caldas,Y,RB,90,0,0,0,0,1,0,0,0,1,1,0,3,1,3,0,,,Match Report
19,Oscar Vanegas,Boyacá Patriot,2020-02-29,Sat,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Boyacá Chicó,Y,CB,90,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,,,Match Report
20,Oscar Vanegas,Boyacá Patriot,2020-03-08,Sun,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Tolima,Y,CB,90,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,,,Match Report
21,Oscar Vanegas,Boyacá Patriot,2020-09-19,Sat,Primera A,First stage,Home,L 0–1,Boyacá Patriot,Envigado,Y,CB,90,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,,,Match Report
22,Oscar Vanegas,Boyacá Patriot,2020-09-26,Sat,Primera A,First stage,Away,D 1–1,Boyacá Patriot,CA Bucaramanga,Y,CB,90,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,,,Match Report
23,Oscar Vanegas,Boyacá Patriot,2020-10-04,Sun,Primera A,First stage,Home,D 0–0,Boyacá Patriot,Junior,Y,CB,90,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,,,Match Report
24,Oscar Vanegas,Boyacá Patriot,2020-10-08,Thu,Primera A,First stage,Away,L 0–3,Boyacá Patriot,Rionegro,Y,CB,90,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,Match Report
25,Oscar Vanegas,Boyacá Patriot,2020-10-11,Sun,Primera A,First stage,Away,L 0–3,Boyacá Patriot,CD América,Y,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,,,Match Report
26,Oscar Vanegas,Boyacá Patriot,2020-10-14,Wed,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Pasto,Y,CB,90,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,,,Match Report
27,Oscar Vanegas,Boyacá Patriot,2020-10-17,Sat,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Millonarios,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,,,Match Report
28,Oscar Vanegas,Boyacá Patriot,2020-10-25,Sun,Primera A,First stage,Home,W 2–1,Boyacá Patriot,Nacional,Y,CB,90,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,,,Match Report
29,Oscar Vanegas,Boyacá Patriot,2020-11-03,Tue,Primera A,First stage,Away,D 0–0,Boyacá Patriot,Alianza,Y,CB,90,0,0,0,0,2,1,1,0,2,1,0,0,0,2,0,,,Match Report
30,Oscar Vanegas,Boyacá Patriot,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,Boyacá Patriot,La Equidad,Y,CB,90,0,0,0,0,0,0,0,0,1,0,2,2,1,2,0,,,Match Report
31,Oscar Vanegas,Boyacá Patriot,2020-11-14,Sat,Primera A,First stage,Home,W 2–0,Boyacá Patriot,Jaguares,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,Match Report
